Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.camel.AlreadyStoppedException,3.0,0.0,0.0,0.0,5.0,0,1.0
org.apache.camel.AsyncCallback,0.0,0.0,0.0,8.0,1.0,0,1.0
org.apache.camel.AsyncProcessor,1.0,0.0,2.0,7.0,2.0,0,1.0
org.apache.camel.Body,0.0,0.0,0.0,0.0,0.0,0,0.0
org.apache.camel.CamelContext,1.0,0.0,9.0,1.0,25.0,0,1.0
org.apache.camel.CamelContextAware,0.0,0.0,1.0,2.0,1.0,0,0.0
org.apache.camel.CamelException,2.0,0.0,0.0,3.0,4.0,0,1.0
org.apache.camel.CamelExchangeException,3.0,0.0,1.0,5.0,6.0,0,1.0
org.apache.camel.CamelTemplate,2.0,88.0,9.0,0.0,32.0,0,2.0
org.apache.camel.Component,0.0,0.0,2.0,4.0,3.0,0,0.0
org.apache.camel.Consumer,1.0,0.0,0.0,3.0,2.0,0,0.0
org.apache.camel.Converter,0.0,0.0,0.0,0.0,0.0,0,0.0
org.apache.camel.Endpoint,0.0,0.0,7.0,3.0,9.0,0,2.0
org.apache.camel.EndpointInject,0.0,0.0,0.0,0.0,2.0,0,0.0
org.apache.camel.Exchange,0.0,0.0,4.0,93.0,21.0,0,2.0
org.apache.camel.ExpectedBodyTypeException,3.0,33.0,2.0,0.0,7.0,0,0.0
org.apache.camel.Expression,0.0,0.0,0.0,27.0,1.0,0,0.0
org.apache.camel.FailedToCreateProducerException,3.0,0.0,1.0,0.0,6.0,0,1.0
org.apache.camel.Header,0.0,0.0,0.0,0.0,1.0,0,0.0
org.apache.camel.Headers,0.0,0.0,0.0,0.0,0.0,0,0.0
org.apache.camel.InvalidHeaderTypeException,3.0,25.0,0.0,0.0,8.0,0,1.0
org.apache.camel.InvalidPayloadException,4.0,0.0,3.0,0.0,8.0,0,1.0
org.apache.camel.InvalidTypeException,4.0,33.0,2.0,0.0,9.0,0,1.0
org.apache.camel.Message,0.0,0.0,1.0,1.0,15.0,0,2.0
org.apache.camel.MessageDriven,0.0,0.0,0.0,0.0,2.0,0,0.0
org.apache.camel.NoSuchEndpointException,3.0,0.0,0.0,0.0,6.0,0,1.0
org.apache.camel.NoSuchLanguageException,3.0,0.0,0.0,0.0,6.0,0,0.0
org.apache.camel.NoSuchPropertyException,4.0,60.0,1.0,0.0,11.0,0,1.0
org.apache.camel.NoTypeConversionAvailableException,3.0,33.0,0.0,0.0,7.0,0,1.0
org.apache.camel.PollingConsumer,2.0,0.0,0.0,1.0,5.0,0,0.0
