Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,PercentLackOfCohesion,bug
org.apache.camel.Body,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org.apache.camel.CamelContext,0,1.0,1.0,6.0,19.0,0.0,0.0,1.0
org.apache.camel.CamelException,4,2.0,1.0,0.0,4.0,4.0,0.0,0.0
org.apache.camel.CamelTemplate,30,2.0,0.0,9.0,32.0,20.0,88.0,0.0
org.apache.camel.Component,0,0.0,4.0,2.0,3.0,0.0,0.0,0.0
org.apache.camel.Consumer,0,1.0,3.0,0.0,2.0,0.0,0.0,0.0
org.apache.camel.Converter,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org.apache.camel.Endpoint,0,0.0,3.0,6.0,9.0,0.0,0.0,0.0
org.apache.camel.EndpointInject,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
org.apache.camel.Exchange,0,0.0,83.0,2.0,15.0,0.0,0.0,0.0
org.apache.camel.ExpectedBodyTypeException,3,3.0,0.0,2.0,7.0,3.0,33.0,0.0
org.apache.camel.Expression,0,0.0,17.0,0.0,1.0,0.0,0.0,0.0
org.apache.camel.FailedToCreateProducerException,2,3.0,0.0,1.0,6.0,2.0,0.0,0.0
org.apache.camel.Header,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
org.apache.camel.InvalidHeaderTypeException,5,3.0,0.0,0.0,8.0,3.0,25.0,0.0
org.apache.camel.Message,0,0.0,1.0,1.0,13.0,4.0,0.0,1.0
org.apache.camel.MessageDriven,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
org.apache.camel.NoSuchEndpointException,2,3.0,0.0,0.0,6.0,2.0,0.0,0.0
org.apache.camel.NoTypeConversionAvailableException,3,3.0,0.0,0.0,7.0,3.0,33.0,0.0
org.apache.camel.PollingConsumer,0,2.0,1.0,0.0,5.0,0.0,0.0,0.0
org.apache.camel.Predicate,0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
org.apache.camel.Processor,0,0.0,25.0,1.0,1.0,0.0,0.0,1.0
org.apache.camel.Producer,0,1.0,1.0,1.0,6.0,0.0,0.0,0.0
org.apache.camel.Property,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
org.apache.camel.ResolveEndpointFailedException,2,3.0,0.0,0.0,6.0,2.0,0.0,0.0
org.apache.camel.Route,7,1.0,3.0,2.0,8.0,7.0,71.0,0.0
org.apache.camel.RuntimeCamelException,4,2.0,10.0,0.0,4.0,4.0,0.0,0.0
org.apache.camel.RuntimeExpressionException,3,3.0,1.0,0.0,7.0,3.0,0.0,0.0
org.apache.camel.RuntimeTransformException,3,3.0,0.0,0.0,7.0,3.0,0.0,0.0
org.apache.camel.Service,0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
org.apache.camel.TypeConverter,0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
org.apache.camel.builder.Builder,8,1.0,0.0,4.0,8.0,8.0,0.0,0.0
org.apache.camel.builder.BuilderSupport,32,1.0,3.0,12.0,27.0,24.0,87.0,0.0
org.apache.camel.builder.ChoiceBuilder,8,3.0,0.0,8.0,80.0,6.0,55.0,0.0
org.apache.camel.builder.ConstantProcessorBuilder,2,1.0,0.0,1.0,2.0,2.0,0.0,0.0
org.apache.camel.builder.DeadLetterChannelBuilder,31,1.0,0.0,10.0,28.0,28.0,91.0,0.0
org.apache.camel.builder.ErrorHandlerBuilder,0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
org.apache.camel.builder.ExpressionBuilder,17,1.0,0.0,4.0,17.0,17.0,0.0,0.0
org.apache.camel.builder.FilterBuilder,5,3.0,1.0,4.0,79.0,5.0,0.0,0.0
