Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.camel.AlreadyStoppedException,1,3.0,0.0,0.0,5.0,1.0,1.0
apache.camel.CamelException,4,2.0,3.0,0.0,4.0,4.0,1.0
apache.camel.CamelExchangeException,4,3.0,7.0,1.0,8.0,3.0,1.0
apache.camel.CamelTemplate,2,3.0,0.0,2.0,62.0,2.0,2.0
apache.camel.ExpectedBodyTypeException,3,3.0,0.0,2.0,7.0,3.0,0.0
apache.camel.FailedToCreateProducerException,2,3.0,0.0,1.0,6.0,2.0,1.0
apache.camel.InvalidHeaderTypeException,5,3.0,0.0,0.0,8.0,3.0,1.0
apache.camel.InvalidPayloadException,3,4.0,0.0,3.0,11.0,3.0,1.0
apache.camel.InvalidTypeException,3,4.0,0.0,2.0,11.0,3.0,1.0
apache.camel.NoSuchEndpointException,2,3.0,0.0,0.0,6.0,2.0,1.0
apache.camel.NoSuchLanguageException,2,3.0,0.0,0.0,6.0,2.0,0.0
apache.camel.NoSuchPropertyException,6,4.0,0.0,1.0,13.0,3.0,1.0
apache.camel.NoTypeConversionAvailableException,6,3.0,0.0,0.0,8.0,4.0,1.0
apache.camel.ResolveEndpointFailedException,3,3.0,0.0,0.0,7.0,3.0,0.0
apache.camel.Route,12,1.0,3.0,2.0,11.0,10.0,2.0
apache.camel.RuntimeCamelException,4,2.0,14.0,0.0,4.0,4.0,1.0
apache.camel.RuntimeExchangeException,3,3.0,1.0,1.0,7.0,3.0,1.0
apache.camel.RuntimeExpressionException,3,3.0,2.0,0.0,7.0,3.0,0.0
apache.camel.RuntimeTransformException,3,3.0,0.0,0.0,7.0,3.0,0.0
apache.camel.ValidationException,2,4.0,2.0,1.0,10.0,2.0,0.0
apache.camel.builder.BinaryPredicateSupport,6,1.0,7.0,2.0,7.0,3.0,0.0
apache.camel.builder.Builder,11,1.0,0.0,3.0,11.0,10.0,0.0
apache.camel.builder.BuilderSupport,37,1.0,1.0,12.0,31.0,28.0,2.0
apache.camel.builder.ConstantProcessorBuilder,2,1.0,0.0,1.0,2.0,2.0,1.0
apache.camel.builder.DeadLetterChannelBuilder,35,2.0,0.0,13.0,35.0,32.0,1.0
apache.camel.builder.ErrorHandlerBuilderSupport,4,1.0,4.0,2.0,3.0,2.0,1.0
apache.camel.builder.ExpressionBuilder,30,1.0,0.0,4.0,30.0,29.0,3.0
apache.camel.builder.ExpressionClause,44,2.0,0.0,7.0,68.0,44.0,5.0
apache.camel.builder.LoggingErrorHandlerBuilder,9,2.0,0.0,5.0,12.0,9.0,0.0
apache.camel.builder.NoErrorHandlerBuilder,2,2.0,0.0,2.0,5.0,2.0,1.0
apache.camel.builder.NoRouteBuilder,2,3.0,0.0,0.0,57.0,2.0,0.0
apache.camel.builder.PredicateBuilder,17,1.0,0.0,4.0,17.0,16.0,0.0
apache.camel.builder.PredicateSupport,3,1.0,6.0,0.0,2.0,1.0,0.0
apache.camel.builder.ProcessorBuilder,13,1.0,0.0,2.0,13.0,12.0,1.0
apache.camel.builder.RouteBuilder,26,2.0,1.0,13.0,55.0,20.0,3.0
apache.camel.builder.ValueBuilder,27,1.0,1.0,3.0,26.0,24.0,0.0
apache.camel.builder.xml.DefaultNamespaceContext,16,1.0,0.0,0.0,8.0,8.0,0.0
apache.camel.builder.xml.DomResultHandler,2,1.0,0.0,1.0,2.0,2.0,0.0
apache.camel.builder.xml.DomResultHandlerFactory,1,1.0,0.0,2.0,1.0,1.0,2.0
apache.camel.builder.xml.InvalidXPathExpression,2,4.0,0.0,0.0,9.0,2.0,0.0
apache.camel.builder.xml.MessageVariableResolver,17,1.0,0.0,3.0,4.0,4.0,2.0
apache.camel.builder.xml.Namespaces,14,1.0,0.0,4.0,11.0,11.0,2.0
apache.camel.builder.xml.StreamResultHandler,2,1.0,0.0,1.0,2.0,2.0,0.0
apache.camel.builder.xml.StreamResultHandlerFactory,1,1.0,0.0,2.0,1.0,1.0,2.0
apache.camel.builder.xml.StringResultHandler,2,1.0,0.0,1.0,2.0,2.0,0.0
apache.camel.builder.xml.StringResultHandlerFactory,1,1.0,0.0,2.0,1.0,1.0,1.0
apache.camel.builder.xml.XPathBuilder,75,1.0,0.0,9.0,46.0,40.0,2.0
apache.camel.builder.xml.XPathLanguage,6,1.0,0.0,3.0,5.0,4.0,1.0
apache.camel.builder.xml.XsltBuilder,37,1.0,0.0,11.0,30.0,27.0,3.0
apache.camel.component.bean.AmbiguousMethodCallException,2,4.0,0.0,1.0,10.0,2.0,1.0
apache.camel.component.bean.BeanComponent,9,3.0,0.0,8.0,44.0,5.0,3.0
apache.camel.component.bean.BeanExchange,5,2.0,0.0,4.0,46.0,5.0,1.0
apache.camel.component.bean.BeanInfo,67,1.0,0.0,26.0,16.0,7.0,9.0
apache.camel.component.bean.BeanInvocation,16,1.0,0.0,5.0,10.0,10.0,1.0
apache.camel.component.bean.BeanProcessor,30,2.0,0.0,12.0,27.0,11.0,9.0
apache.camel.component.bean.CamelInvocationHandler,3,1.0,0.0,8.0,2.0,2.0,0.0
apache.camel.component.bean.DefaultAnnotationExpressionFactory,6,1.0,1.0,5.0,2.0,1.0,2.0
apache.camel.component.bean.DefaultParameterMappingStrategy,4,1.0,0.0,4.0,4.0,4.0,1.0
apache.camel.component.bean.MethodInfo,16,1.0,0.0,5.0,15.0,13.0,2.0
apache.camel.component.bean.NoBeanAvailableException,2,3.0,0.0,0.0,6.0,2.0,1.0
apache.camel.component.bean.ParameterInfo,6,1.0,0.0,1.0,6.0,6.0,2.0
apache.camel.component.bean.ProxyHelper,6,1.0,0.0,3.0,5.0,4.0,0.0
apache.camel.component.bean.XPathAnnotationExpressionFactory,4,2.0,0.0,6.0,3.0,1.0,2.0
apache.camel.component.direct.DirectComponent,1,3.0,0.0,2.0,37.0,0.0,0.0
apache.camel.component.direct.DirectEndpoint,8,2.0,0.0,6.0,35.0,8.0,1.0
apache.camel.component.file.FileComponent,3,3.0,0.0,3.0,39.0,2.0,2.0
apache.camel.component.file.FileConsumer,53,4.0,0.0,7.0,55.0,11.0,6.0
apache.camel.component.file.FileEndpoint,56,3.0,0.0,14.0,77.0,37.0,8.0
apache.camel.component.file.FileExchange,5,2.0,0.0,3.0,46.0,5.0,0.0
apache.camel.component.file.FileMessage,8,3.0,0.0,1.0,42.0,7.0,1.0
apache.camel.component.file.FileProducer,17,3.0,0.0,9.0,27.0,4.0,4.0
apache.camel.component.file.strategy.DefaultFileRenamer,11,1.0,0.0,0.0,8.0,7.0,0.0
apache.camel.component.file.strategy.DeleteFileProcessStrategy,5,2.0,0.0,2.0,12.0,3.0,1.0
apache.camel.component.file.strategy.FileProcessStrategySupport,14,1.0,3.0,5.0,9.0,6.0,1.0
apache.camel.component.file.strategy.NoOpFileProcessStrategy,2,2.0,0.0,0.0,11.0,2.0,1.0
apache.camel.component.file.strategy.RenameFileProcessStrategy,10,2.0,0.0,4.0,16.0,7.0,1.0
apache.camel.component.jmx.JMXComponent,5,3.0,0.0,3.0,41.0,4.0,1.0
apache.camel.component.jmx.JMXConsumer,3,3.0,0.0,2.0,25.0,2.0,2.0
apache.camel.component.jmx.JMXEndpoint,23,2.0,0.0,7.0,47.0,19.0,2.0
apache.camel.component.jmx.JMXExchange,1,2.0,0.0,3.0,42.0,1.0,1.0
apache.camel.component.jmx.JMXMessage,6,3.0,0.0,1.0,40.0,6.0,1.0
apache.camel.component.log.LogComponent,3,3.0,0.0,8.0,38.0,0.0,2.0
apache.camel.component.mock.AssertionClause,10,1.0,2.0,9.0,9.0,7.0,0.0
apache.camel.component.mock.MockComponent,2,3.0,0.0,4.0,37.0,0.0,0.0
apache.camel.component.mock.MockEndpoint,101,2.0,1.0,12.0,85.0,50.0,7.0
apache.camel.component.ref.RefComponent,1,3.0,0.0,3.0,37.0,0.0,0.0
apache.camel.component.seda.QueueComponent,1,4.0,0.0,0.0,39.0,1.0,0.0
apache.camel.component.seda.SedaComponent,2,3.0,2.0,3.0,38.0,1.0,1.0
apache.camel.component.seda.SedaConsumer,10,2.0,0.0,6.0,18.0,3.0,2.0
apache.camel.component.seda.SedaEndpoint,8,2.0,0.0,8.0,35.0,8.0,2.0
apache.camel.component.timer.TimerComponent,6,3.0,0.0,2.0,39.0,1.0,0.0
apache.camel.component.timer.TimerConsumer,11,3.0,0.0,4.0,28.0,1.0,1.0
apache.camel.component.timer.TimerEndpoint,22,2.0,0.0,6.0,47.0,20.0,1.0
apache.camel.component.vm.VmComponent,7,4.0,0.0,2.0,42.0,0.0,4.0
apache.camel.converter.CollectionConverter,11,1.0,0.0,1.0,10.0,9.0,2.0
apache.camel.converter.IOConverter,35,1.0,0.0,2.0,26.0,24.0,1.0
apache.camel.converter.NIOConverter,15,1.0,0.0,2.0,12.0,11.0,1.0
apache.camel.converter.ObjectConverter,35,1.0,0.0,2.0,15.0,14.0,3.0
apache.camel.converter.jaxp.BytesSource,6,2.0,0.0,0.0,6.0,6.0,1.0
apache.camel.converter.jaxp.StringSource,15,2.0,1.0,0.0,13.0,13.0,2.0
apache.camel.converter.jaxp.XmlConverter,85,1.0,0.0,6.0,48.0,48.0,3.0
apache.camel.impl.BinaryPredicateSupport,6,1.0,0.0,2.0,7.0,3.0,0.0
apache.camel.impl.DefaultCamelContext,116,2.0,0.0,36.0,74.0,48.0,7.0
apache.camel.impl.DefaultComponent,35,2.0,11.0,10.0,36.0,16.0,3.0
apache.camel.impl.DefaultComponentResolver,10,1.0,0.0,6.0,1.0,1.0,1.0
apache.camel.impl.DefaultConsumer,12,2.0,6.0,7.0,23.0,7.0,3.0
apache.camel.impl.DefaultEndpoint,39,1.0,7.0,10.0,27.0,20.0,4.0
apache.camel.impl.DefaultExchange,63,1.0,3.0,10.0,41.0,33.0,4.0
apache.camel.impl.DefaultExchangeConverter,1,1.0,0.0,1.0,1.0,1.0,1.0
apache.camel.impl.DefaultLanguageResolver,10,1.0,0.0,6.0,2.0,1.0,1.0
apache.camel.impl.DefaultLifecycleStrategy,5,1.0,0.0,4.0,5.0,5.0,4.0
apache.camel.impl.DefaultMessage,27,2.0,2.0,3.0,34.0,15.0,1.0
apache.camel.impl.DefaultPollingEndpoint,5,3.0,1.0,5.0,40.0,1.0,0.0
apache.camel.impl.DefaultProducer,8,2.0,6.0,2.0,21.0,6.0,0.0
apache.camel.impl.DefaultScheduledPollConsumer,9,4.0,0.0,6.0,42.0,2.0,0.0
apache.camel.impl.DefaultUnitOfWork,13,1.0,0.0,3.0,7.0,7.0,1.0
apache.camel.impl.EventDrivenConsumerRoute,7,2.0,0.0,4.0,16.0,4.0,0.0
apache.camel.impl.EventDrivenPollingConsumer,15,3.0,0.0,5.0,30.0,8.0,0.0
apache.camel.impl.ExpressionSupport,3,1.0,1.0,1.0,3.0,2.0,1.0
apache.camel.impl.JndiRegistry,13,1.0,0.0,1.0,9.0,8.0,0.0
apache.camel.impl.LoggingExceptionHandler,3,1.0,0.0,2.0,3.0,3.0,1.0
apache.camel.impl.MessageSupport,20,1.0,1.0,4.0,14.0,11.0,3.0
apache.camel.impl.NoPolicy,1,1.0,0.0,1.0,1.0,1.0,0.0
apache.camel.impl.PollingConsumerSupport,7,2.0,3.0,3.0,19.0,5.0,0.0
apache.camel.impl.PredicateSupport,3,1.0,0.0,0.0,2.0,1.0,0.0
apache.camel.impl.ProcessorEndpoint,13,4.0,1.0,7.0,52.0,7.0,0.0
apache.camel.impl.ProcessorPollingConsumer,7,3.0,0.0,5.0,25.0,4.0,0.0
apache.camel.impl.ProducerCache,21,2.0,0.0,11.0,24.0,7.0,1.0
apache.camel.impl.ReportingTypeConverterLoader,4,2.0,0.0,3.0,10.0,1.0,0.0
apache.camel.impl.ReportingTypeConverterRegistry,4,1.0,0.0,2.0,3.0,3.0,0.0
apache.camel.impl.ScheduledPollConsumer,18,3.0,2.0,3.0,37.0,11.0,0.0
apache.camel.impl.ScheduledPollEndpoint,10,2.0,2.0,4.0,35.0,3.0,0.0
apache.camel.impl.SerializationDataFormat,2,1.0,0.0,2.0,2.0,2.0,1.0
apache.camel.impl.ServiceSupport,17,1.0,23.0,1.0,13.0,6.0,1.0
apache.camel.impl.converter.AnnotationTypeConverterLoader,27,1.0,1.0,9.0,7.0,2.0,5.0
apache.camel.impl.converter.ArrayTypeConverter,12,1.0,0.0,0.0,1.0,1.0,1.0
apache.camel.impl.converter.AsyncProcessorTypeConverter,7,1.0,0.0,3.0,2.0,2.0,2.0
apache.camel.impl.converter.CachingInjector,4,1.0,0.0,2.0,3.0,2.0,1.0
apache.camel.impl.converter.DefaultTypeConverter,44,1.0,0.0,14.0,11.0,7.0,3.0
apache.camel.impl.converter.EnumTypeConverter,3,1.0,0.0,2.0,1.0,1.0,1.0
apache.camel.impl.converter.InstanceMethodTypeConverter,4,1.0,0.0,3.0,3.0,3.0,1.0
apache.camel.impl.converter.PropertyEditorTypeConverter,7,1.0,0.0,1.0,1.0,1.0,1.0
apache.camel.impl.converter.StaticMethodTypeConverter,3,1.0,0.0,1.0,3.0,3.0,0.0
apache.camel.impl.converter.ToStringTypeConverter,3,1.0,0.0,0.0,1.0,1.0,0.0
apache.camel.language.ExpressionEvaluationException,3,3.0,0.0,2.0,7.0,3.0,1.0
apache.camel.language.IllegalSyntaxException,3,3.0,0.0,1.0,7.0,3.0,0.0
apache.camel.language.simple.SimpleLanguage,24,1.0,0.0,6.0,7.0,3.0,2.0
