Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
bsh.ASCII_UCodeESC_CharStream,1.0,76.0,0.0,0.0,27.0,5,0.0
bsh.BSHAllocationExpression,2.0,0.0,15.0,0.0,27.0,6,0.0
bsh.BSHAmbiguousName,2.0,71.0,7.0,0.0,26.0,0,0.0
bsh.BSHArguments,2.0,0.0,3.0,0.0,21.0,0,0.0
bsh.BSHArrayDimensions,2.0,58.0,6.0,0.0,23.0,0,0.0
bsh.BSHArrayInitializer,2.0,0.0,5.0,0.0,23.0,1,0.0
bsh.BSHAssignment,2.0,66.0,7.0,0.0,22.0,1,0.0
bsh.BSHBinaryExpression,2.0,75.0,8.0,0.0,23.0,2,0.0
bsh.BSHBlock,2.0,0.0,7.0,0.0,22.0,0,0.0
bsh.BSHCastExpression,2.0,0.0,11.0,0.0,25.0,0,0.0
bsh.BSHForStatement,2.0,56.0,8.0,0.0,21.0,0,0.0
bsh.BSHFormalParameter,2.0,75.0,4.0,0.0,21.0,0,0.0
bsh.BSHFormalParameters,2.0,50.0,4.0,0.0,21.0,0,0.0
bsh.BSHIfStatement,2.0,0.0,5.0,0.0,22.0,0,0.0
bsh.BSHImportDeclaration,2.0,50.0,7.0,0.0,21.0,0,0.0
bsh.BSHLHSPrimaryExpression,2.0,0.0,6.0,0.0,21.0,0,0.0
bsh.BSHLHSPrimarySuffix,2.0,85.0,10.0,0.0,24.0,3,0.0
bsh.BSHLiteral,2.0,40.0,5.0,0.0,24.0,1,0.0
bsh.BSHMethodDeclaration,2.0,58.0,8.0,0.0,22.0,0,0.0
bsh.BSHMethodInvocation,2.0,0.0,9.0,0.0,21.0,0,0.0
bsh.BSHPrimaryExpression,2.0,0.0,5.0,0.0,21.0,0,0.0
bsh.BSHPrimarySuffix,2.0,86.0,12.0,0.0,24.0,3,0.0
bsh.BSHPrimitiveType,2.0,50.0,0.0,0.0,21.0,0,0.0
bsh.BSHReturnStatement,2.0,50.0,5.0,0.0,21.0,0,0.0
bsh.BSHReturnType,2.0,50.0,4.0,0.0,21.0,0,0.0
bsh.BSHStatementExpressionList,2.0,0.0,4.0,0.0,21.0,0,0.0
bsh.BSHSwitchLabel,2.0,50.0,3.0,0.0,21.0,0,0.0
bsh.BSHSwitchStatement,2.0,0.0,6.0,0.0,21.0,0,0.0
bsh.BSHTernaryExpression,2.0,0.0,4.0,0.0,21.0,0,0.0
bsh.BSHThrowStatement,2.0,0.0,4.0,0.0,21.0,0,0.0
bsh.BSHTryStatement,2.0,0.0,9.0,0.0,21.0,0,0.0
bsh.BSHType,2.0,55.0,5.0,0.0,25.0,0,0.0
bsh.BSHTypedVariableDeclaration,2.0,66.0,8.0,0.0,22.0,0,0.0
bsh.BSHUnaryExpression,2.0,70.0,7.0,0.0,24.0,3,0.0
bsh.BSHVariableDeclarator,2.0,100.0,6.0,0.0,21.0,0,0.0
bsh.BSHWhileStatement,2.0,50.0,6.0,0.0,21.0,0,0.0
bsh.BlockNameSpace,2.0,0.0,1.0,0.0,52.0,0,0.0
bsh.BshClassManager,1.0,79.0,3.0,0.0,23.0,0,0.0
bsh.BshMethod,1.0,41.0,11.0,0.0,4.0,0,0.0
bsh.CallStack,1.0,19.0,2.0,0.0,10.0,0,0.0
bsh.Capabilities,1.0,70.0,0.0,0.0,5.0,0,0.0
bsh.ClassPathException,3.0,0.0,0.0,0.0,12.0,0,0.0
bsh.CommandLineReader,2.0,75.0,0.0,0.0,4.0,0,0.0
bsh.ConsoleInterface,0.0,0.0,0.0,1.0,6.0,0,0.0
bsh.EvalError,2.0,27.0,1.0,2.0,11.0,0,0.0
bsh.Interpreter,1.0,92.0,18.0,0.0,50.0,4,0.0
bsh.InterpreterError,2.0,0.0,0.0,0.0,1.0,0,0.0
bsh.JJTParserState,1.0,48.0,1.0,0.0,12.0,0,0.0
bsh.JThis,2.0,0.0,5.0,0.0,98.0,1,0.0
bsh.LHS,1.0,48.0,8.0,0.0,8.0,0,0.0
bsh.Name,1.0,77.0,15.0,0.0,18.0,3,0.0
bsh.NameSource,0.0,0.0,1.0,1.0,2.0,0,0.0
bsh.NameSpace,1.0,93.0,16.0,1.0,49.0,6,0.0
bsh.Node,2.0,0.0,0.0,1.0,7.0,0,0.0
bsh.ParseException,2.0,63.0,1.0,0.0,6.0,0,0.0
bsh.Parser,1.0,87.0,44.0,0.0,394.0,311,0.0
bsh.ParserConstants,0.0,0.0,0.0,12.0,0.0,0,0.0
bsh.ParserTokenManager,1.0,78.0,3.0,0.0,49.0,43,0.0
bsh.ParserTreeConstants,0.0,0.0,0.0,1.0,0.0,0,0.0
bsh.Primitive,1.0,79.0,4.0,0.0,43.0,2,0.0
bsh.Reflect,1.0,0.0,13.0,0.0,35.0,9,0.0
bsh.ReflectError,2.0,0.0,0.0,0.0,2.0,0,0.0
bsh.ReflectManager,1.0,50.0,2.0,0.0,3.0,0,0.0
bsh.ReturnControl,1.0,0.0,0.0,0.0,1.0,0,0.0
bsh.SimpleNode,1.0,87.0,6.0,35.0,19.0,0,0.0
bsh.StringUtil,1.0,0.0,0.0,0.0,4.0,0,0.0
bsh.TargetError,3.0,36.0,4.0,0.0,22.0,0,0.0
bsh.This,1.0,66.0,8.0,2.0,11.0,2,0.0
bsh.Token,1.0,93.0,0.0,0.0,2.0,0,1.0
bsh.TokenMgrError,2.0,83.0,0.0,0.0,6.0,1,0.0
bsh.XThis,2.0,80.0,3.0,0.0,16.0,1,0.0
bsh.XThis.Handler,1.0,0.0,7.0,0.0,1.0,0,0.0
bsh.commands.dir,1.0,0.0,2.0,0.0,4.0,0,0.0
com.microstar.xml.HandlerBase,1.0,0.0,1.0,0.0,13.0,0,0.0
com.microstar.xml.XmlException,2.0,60.0,0.0,0.0,5.0,0,0.0
com.microstar.xml.XmlHandler,0.0,0.0,0.0,1.0,13.0,0,0.0
com.microstar.xml.XmlParser,1.0,96.0,1.0,0.0,31.0,1,0.0
gnu.regexp.CharIndexed,0.0,0.0,0.0,5.0,3.0,0,0.0
gnu.regexp.CharIndexedCharArray,1.0,0.0,0.0,0.0,4.0,0,0.0
gnu.regexp.CharIndexedInputStream,1.0,56.0,0.0,0.0,5.0,1,0.0
gnu.regexp.CharIndexedReader,1.0,53.0,0.0,0.0,5.0,1,0.0
gnu.regexp.CharIndexedString,1.0,16.0,0.0,0.0,4.0,0,0.0
gnu.regexp.CharIndexedStringBuffer,1.0,0.0,0.0,0.0,4.0,0,0.0
gnu.regexp.CharUnit,1.0,0.0,0.0,0.0,0.0,0,0.0
gnu.regexp.IntPair,1.0,0.0,0.0,0.0,0.0,0,0.0
gnu.regexp.RE,2.0,90.0,24.0,0.0,52.0,12,0.0
gnu.regexp.REException,2.0,37.0,1.0,0.0,4.0,0,0.0
gnu.regexp.REFilterInputStream,2.0,70.0,4.0,0.0,5.0,0,0.0
gnu.regexp.REFilterReader,2.0,70.0,4.0,0.0,5.0,0,0.0
gnu.regexp.REMatch,1.0,66.0,1.0,0.0,15.0,0,0.0
gnu.regexp.REMatchEnumeration,1.0,66.0,3.0,0.0,6.0,0,0.0
gnu.regexp.RESyntax,1.0,65.0,1.0,0.0,8.0,0,0.0
gnu.regexp.REToken,1.0,71.0,2.0,13.0,8.0,0,0.0
gnu.regexp.RETokenAny,2.0,50.0,2.0,0.0,12.0,0,0.0
gnu.regexp.RETokenBackRef,2.0,33.0,2.0,0.0,11.0,0,0.0
gnu.regexp.RETokenChar,2.0,30.0,2.0,0.0,13.0,0,0.0
gnu.regexp.RETokenEnd,2.0,33.0,3.0,0.0,11.0,0,0.0
gnu.regexp.RETokenEndSub,2.0,0.0,2.0,0.0,11.0,0,0.0
gnu.regexp.RETokenLookAhead,2.0,0.0,5.0,0.0,10.0,0,0.0
gnu.regexp.RETokenOneOf,2.0,9.0,3.0,0.0,13.0,0,0.0
gnu.regexp.RETokenPOSIX,2.0,46.0,2.0,0.0,13.0,0,0.0
gnu.regexp.RETokenRange,2.0,33.0,2.0,0.0,12.0,0,0.0
gnu.regexp.RETokenRepeated,2.0,46.0,2.0,0.0,15.0,1,0.0
gnu.regexp.RETokenStart,2.0,33.0,3.0,0.0,11.0,0,0.0
gnu.regexp.RETokenWordBoundary,2.0,0.0,3.0,0.0,11.0,0,0.0
