Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.log4j.Appender,0.0,0.0,4.0,1.0,9.0,0,1.0
org.apache.log4j.AppenderSkeleton,1.0,82.0,7.0,9.0,16.0,0,0.0
org.apache.log4j.AsyncAppender,2.0,70.0,6.0,0.0,28.0,0,5.0
org.apache.log4j.BasicConfigurator,1.0,100.0,10.0,2.0,12.0,0,1.0
org.apache.log4j.Category,1.0,86.0,7.0,3.0,2.0,0,9.0
org.apache.log4j.CategoryKey,1.0,33.0,0.0,0.0,3.0,0,0.0
org.apache.log4j.DefaultCategoryFactory,1.0,0.0,1.0,0.0,2.0,0,0.0
org.apache.log4j.Dispatcher,2.0,0.0,3.0,0.0,2.0,0,0.0
org.apache.log4j.FileAppender,2.0,79.0,8.0,2.0,36.0,0,1.0
org.apache.log4j.HTMLLayout,2.0,83.0,5.0,0.0,14.0,0,2.0
org.apache.log4j.Hierarchy,1.0,70.0,8.0,0.0,11.0,2,2.0
org.apache.log4j.Layout,1.0,0.0,1.0,5.0,5.0,0,0.0
org.apache.log4j.NDC,1.0,82.0,0.0,0.0,9.0,2,1.0
org.apache.log4j.PatternLayout,2.0,86.0,3.0,0.0,14.0,0,1.0
org.apache.log4j.Priority,1.0,74.0,0.0,2.0,9.0,0,1.0
org.apache.log4j.PropertyConfigurator,2.0,87.0,8.0,0.0,24.0,0,2.0
org.apache.log4j.ProvisionNode,2.0,0.0,1.0,0.0,1.0,0,0.0
org.apache.log4j.RollingFileAppender,3.0,76.0,4.0,1.0,49.0,0,1.0
org.apache.log4j.SimpleLayout,2.0,83.0,2.0,0.0,11.0,0,0.0
org.apache.log4j.StressCategory,1.0,65.0,4.0,0.0,10.0,0,0.0
org.apache.log4j.TTCCLayout,3.0,71.0,3.0,0.0,20.0,0,0.0
org.apache.log4j.gui.AddAction,1.0,50.0,2.0,0.0,2.0,0,0.0
org.apache.log4j.gui.JListView,2.0,77.0,7.0,0.0,3.0,0,0.0
org.apache.log4j.gui.JListViewModel,2.0,0.0,2.0,0.0,4.0,0,0.0
org.apache.log4j.gui.JTableAddAction,1.0,16.0,4.0,0.0,2.0,0,0.0
org.apache.log4j.gui.JTableAppender,2.0,75.0,7.0,0.0,4.0,0,0.0
org.apache.log4j.gui.JTableAppenderModel,2.0,19.0,2.0,0.0,5.0,0,0.0
org.apache.log4j.gui.TextPaneAppender,2.0,87.0,6.0,0.0,35.0,6,0.0
org.apache.log4j.gui.examples.TextPaneAppenderExample,1.0,63.0,4.0,0.0,5.0,0,0.0
org.apache.log4j.helpers.AbsoluteTimeDateFormat,2.0,0.0,0.0,2.0,4.0,0,0.0
org.apache.log4j.helpers.AppenderAttachableImpl,1.0,0.0,2.0,0.0,7.0,0,0.0
org.apache.log4j.helpers.BoundedFIFO,1.0,57.0,1.0,0.0,8.0,0,0.0
org.apache.log4j.helpers.CountingQuietWriter,3.0,25.0,2.0,0.0,8.0,0,0.0
org.apache.log4j.helpers.CyclicBuffer,1.0,31.0,1.0,0.0,7.0,0,1.0
org.apache.log4j.helpers.DateLayout,2.0,71.0,5.0,1.0,12.0,0,0.0
org.apache.log4j.helpers.DateTimeDateFormat,3.0,50.0,0.0,0.0,8.0,0,0.0
