Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.log4j.AppenderSkeleton,25,1.0,10.0,7.0,16.0,15.0,0.0
apache.log4j.AsyncAppender,19,2.0,0.0,6.0,28.0,12.0,5.0
apache.log4j.BasicConfigurator,18,1.0,2.0,10.0,12.0,9.0,1.0
apache.log4j.Category,3,1.0,3.0,7.0,2.0,1.0,9.0
apache.log4j.CategoryKey,5,1.0,0.0,0.0,3.0,2.0,0.0
apache.log4j.DefaultCategoryFactory,2,1.0,0.0,1.0,2.0,1.0,0.0
apache.log4j.Dispatcher,8,2.0,0.0,3.0,2.0,1.0,0.0
apache.log4j.FileAppender,38,2.0,2.0,8.0,36.0,15.0,1.0
apache.log4j.HTMLLayout,17,2.0,0.0,5.0,14.0,8.0,2.0
apache.log4j.Hierarchy,25,1.0,0.0,8.0,11.0,9.0,2.0
apache.log4j.Layout,3,1.0,5.0,1.0,5.0,5.0,0.0
apache.log4j.NDC,16,1.0,0.0,0.0,9.0,5.0,1.0
apache.log4j.PatternLayout,14,2.0,0.0,3.0,14.0,8.0,1.0
apache.log4j.Priority,20,1.0,2.0,0.0,9.0,8.0,1.0
apache.log4j.PropertyConfigurator,23,2.0,0.0,8.0,24.0,8.0,2.0
apache.log4j.ProvisionNode,1,2.0,0.0,1.0,1.0,0.0,0.0
apache.log4j.RollingFileAppender,22,3.0,1.0,4.0,49.0,11.0,1.0
apache.log4j.SimpleLayout,6,2.0,0.0,2.0,11.0,6.0,0.0
apache.log4j.TTCCLayout,15,3.0,0.0,3.0,20.0,8.0,0.0
apache.log4j.gui.TextPaneAppender,45,2.0,0.0,6.0,35.0,13.0,0.0
apache.log4j.helpers.AbsoluteTimeDateFormat,9,2.0,2.0,0.0,4.0,4.0,0.0
apache.log4j.helpers.AppenderAttachableImpl,22,1.0,0.0,2.0,7.0,7.0,0.0
apache.log4j.helpers.BoundedFIFO,13,1.0,0.0,1.0,8.0,8.0,0.0
apache.log4j.helpers.CountingQuietWriter,5,3.0,0.0,2.0,8.0,4.0,0.0
apache.log4j.helpers.CyclicBuffer,19,1.0,0.0,1.0,7.0,7.0,1.0
apache.log4j.helpers.DateLayout,17,2.0,1.0,5.0,12.0,7.0,0.0
apache.log4j.helpers.DateTimeDateFormat,5,3.0,0.0,0.0,8.0,4.0,0.0
apache.log4j.helpers.FileWatchdog,9,2.0,1.0,1.0,5.0,2.0,2.0
apache.log4j.helpers.FormattingInfo,2,1.0,0.0,1.0,2.0,0.0,0.0
apache.log4j.helpers.ISO8601DateFormat,17,3.0,0.0,0.0,8.0,4.0,0.0
apache.log4j.helpers.Loader,5,1.0,0.0,0.0,3.0,3.0,3.0
apache.log4j.helpers.LogLog,9,1.0,0.0,1.0,5.0,5.0,2.0
apache.log4j.helpers.NullEnumeration,4,1.0,0.0,0.0,4.0,3.0,0.0
apache.log4j.helpers.OnlyOnceErrorHandler,7,1.0,0.0,1.0,5.0,5.0,1.0
apache.log4j.helpers.OptionConverter,47,1.0,0.0,5.0,11.0,10.0,3.0
apache.log4j.helpers.PatternConverter,12,1.0,5.0,2.0,5.0,2.0,0.0
apache.log4j.helpers.PatternParser,49,1.0,0.0,14.0,7.0,2.0,1.0
apache.log4j.helpers.QuietWriter,7,2.0,2.0,2.0,4.0,4.0,0.0
apache.log4j.helpers.RelativeTimeDateFormat,3,2.0,0.0,0.0,3.0,3.0,0.0
apache.log4j.helpers.SyslogQuietWriter,4,3.0,0.0,1.0,8.0,4.0,0.0
apache.log4j.helpers.SyslogWriter,8,2.0,0.0,1.0,5.0,5.0,0.0
apache.log4j.helpers.TracerPrintWriter,5,2.0,1.0,2.0,5.0,5.0,0.0
apache.log4j.net.DefaultEvaluator,1,1.0,0.0,2.0,1.0,1.0,0.0
apache.log4j.net.JMSAppender,24,2.0,0.0,5.0,25.0,7.0,0.0
apache.log4j.net.JMSSink,7,1.0,0.0,5.0,3.0,1.0,0.0
apache.log4j.net.SMTPAppender,36,2.0,0.0,9.0,28.0,8.0,3.0
apache.log4j.net.SimpleSocketServer,7,1.0,0.0,3.0,3.0,1.0,0.0
apache.log4j.net.SocketAppender,30,2.0,0.0,5.0,29.0,10.0,1.0
apache.log4j.net.SocketNode,9,1.0,0.0,4.0,2.0,2.0,0.0
apache.log4j.net.SocketServer,18,1.0,0.0,6.0,6.0,2.0,1.0
apache.log4j.net.SyslogAppender,63,2.0,0.0,8.0,28.0,11.0,2.0
apache.log4j.net.SyslogTracerPrintWriter,3,3.0,0.0,1.0,8.0,2.0,0.0
apache.log4j.nt.NTEventLogAppender,15,2.0,0.0,4.0,29.0,10.0,1.0
apache.log4j.or.DefaultRenderer,2,1.0,0.0,0.0,2.0,1.0,0.0
apache.log4j.or.MessageRenderer,6,1.0,0.0,1.0,2.0,2.0,0.0
apache.log4j.or.RendererMap,16,1.0,0.0,2.0,8.0,7.0,0.0
apache.log4j.or.ThreadGroupRenderer,4,1.0,0.0,1.0,2.0,2.0,0.0
apache.log4j.spi.Filter,1,1.0,3.0,1.0,2.0,2.0,1.0
apache.log4j.spi.LocationInfo,24,1.0,0.0,2.0,5.0,5.0,1.0
apache.log4j.spi.LoggingEvent,14,1.0,0.0,4.0,8.0,6.0,2.0
apache.log4j.spi.RootCategory,4,2.0,0.0,2.0,5.0,3.0,0.0
apache.log4j.varia.DenyAllFilter,3,2.0,0.0,1.0,5.0,3.0,0.0
apache.log4j.varia.ExternallyRolledFileAppender,7,4.0,0.0,3.0,53.0,4.0,0.0
apache.log4j.varia.HUP,5,2.0,0.0,3.0,2.0,1.0,0.0
apache.log4j.varia.HUPNode,5,1.0,0.0,3.0,2.0,2.0,0.0
apache.log4j.varia.PriorityMatchFilter,8,2.0,0.0,3.0,5.0,3.0,1.0
apache.log4j.varia.ResilientFileAppender,8,3.0,0.0,2.0,41.0,3.0,0.0
apache.log4j.varia.Roller,9,1.0,0.0,3.0,5.0,1.0,0.0
apache.log4j.varia.StringMatchFilter,9,2.0,0.0,2.0,5.0,3.0,0.0
apache.log4j.xml.DOMConfigurator,75,2.0,0.0,13.0,32.0,8.0,3.0
apache.log4j.xml.XMLLayout,11,2.0,0.0,3.0,10.0,5.0,1.0
apache.log4j.xml.XMLWatchdog,2,3.0,0.0,2.0,7.0,1.0,0.0
