filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.log4j.BasicConfigurator,14,1.0,2.0,10.0,12.0,10.0,2.0
apache.log4j.DefaultCategoryFactory,2,1.0,0.0,1.0,2.0,1.0,0.0
apache.log4j.AppenderSkeleton,28,1.0,9.0,7.0,19.0,18.0,4.0
apache.log4j.AsyncAppender,26,2.0,0.0,6.0,35.0,16.0,5.0
apache.log4j.NDC,16,1.0,0.0,0.0,9.0,5.0,2.0
apache.log4j.Category,3,1.0,2.0,8.0,2.0,1.0,9.0
apache.log4j.SimpleLayout,6,2.0,0.0,2.0,11.0,6.0,0.0
apache.log4j.CategoryKey,5,1.0,0.0,0.0,3.0,2.0,0.0
apache.log4j.Layout,3,1.0,5.0,1.0,5.0,5.0,0.0
apache.log4j.PropertyConfigurator,22,2.0,0.0,7.0,23.0,8.0,6.0
apache.log4j.ProvisionNode,1,2.0,0.0,1.0,1.0,0.0,0.0
apache.log4j.Hierarchy,44,1.0,0.0,11.0,22.0,20.0,3.0
apache.log4j.Dispatcher,10,2.0,0.0,5.0,3.0,1.0,0.0
apache.log4j.HTMLLayout,31,2.0,0.0,4.0,19.0,12.0,2.0
apache.log4j.Priority,21,1.0,1.0,0.0,10.0,9.0,5.0
apache.log4j.FileAppender,28,3.0,2.0,6.0,54.0,13.0,3.0
apache.log4j.PatternLayout,15,2.0,0.0,3.0,15.0,9.0,1.0
apache.log4j.RollingFileAppender,24,4.0,1.0,5.0,69.0,13.0,1.0
apache.log4j.helpers.OnlyOnceErrorHandler,7,1.0,0.0,1.0,5.0,5.0,0.0
apache.log4j.helpers.BoundedFIFO,19,1.0,0.0,1.0,10.0,9.0,0.0
apache.log4j.helpers.PatternConverter,12,1.0,5.0,2.0,5.0,2.0,0.0
apache.log4j.helpers.SyslogWriter,8,2.0,0.0,1.0,5.0,5.0,0.0
apache.log4j.helpers.AbsoluteTimeDateFormat,9,2.0,2.0,0.0,4.0,4.0,0.0
apache.log4j.helpers.Loader,9,1.0,0.0,1.0,2.0,1.0,1.0
apache.log4j.helpers.FileWatchdog,10,2.0,1.0,1.0,5.0,2.0,0.0
apache.log4j.helpers.CyclicBuffer,20,1.0,0.0,1.0,7.0,7.0,0.0
apache.log4j.helpers.DateTimeDateFormat,5,3.0,0.0,0.0,8.0,4.0,0.0
apache.log4j.helpers.SyslogQuietWriter,4,3.0,0.0,1.0,8.0,4.0,0.0
apache.log4j.helpers.PatternParser,49,1.0,0.0,14.0,7.0,2.0,0.0
apache.log4j.helpers.QuietWriter,7,2.0,2.0,2.0,4.0,4.0,0.0
apache.log4j.helpers.LogLog,17,1.0,0.0,1.0,8.0,8.0,0.0
apache.log4j.helpers.CountingQuietWriter,5,3.0,0.0,2.0,8.0,4.0,0.0
apache.log4j.helpers.NullEnumeration,4,1.0,0.0,0.0,4.0,3.0,0.0
apache.log4j.helpers.ISO8601DateFormat,17,3.0,0.0,0.0,8.0,4.0,0.0
apache.log4j.helpers.RelativeTimeDateFormat,3,2.0,0.0,0.0,3.0,3.0,0.0
apache.log4j.helpers.AppenderAttachableImpl,22,1.0,0.0,2.0,7.0,7.0,0.0
apache.log4j.helpers.FormattingInfo,2,1.0,0.0,1.0,2.0,0.0,0.0
apache.log4j.helpers.OptionConverter,59,1.0,0.0,6.0,13.0,12.0,3.0
apache.log4j.helpers.DateLayout,21,2.0,1.0,5.0,15.0,10.0,1.0
apache.log4j.net.SocketAppender,41,2.0,0.0,5.0,40.0,18.0,1.0
apache.log4j.net.SMTPAppender,54,2.0,0.0,9.0,45.0,22.0,3.0
apache.log4j.net.SimpleSocketServer,7,1.0,0.0,3.0,3.0,1.0,1.0
apache.log4j.net.SyslogAppender,73,2.0,0.0,7.0,37.0,17.0,1.0
apache.log4j.net.SocketServer,16,1.0,0.0,6.0,6.0,2.0,1.0
apache.log4j.net.DefaultEvaluator,1,1.0,0.0,2.0,1.0,1.0,0.0
apache.log4j.net.JMSSink,7,1.0,0.0,5.0,3.0,1.0,3.0
apache.log4j.net.JMSAppender,28,2.0,0.0,5.0,32.0,11.0,2.0
apache.log4j.net.SocketNode,9,1.0,0.0,4.0,2.0,2.0,3.0
apache.log4j.nt.NTEventLogAppender,25,2.0,0.0,6.0,37.0,15.0,1.0
apache.log4j.or.MessageRenderer,6,1.0,0.0,1.0,2.0,2.0,0.0
apache.log4j.or.ThreadGroupRenderer,4,1.0,0.0,1.0,2.0,2.0,0.0
apache.log4j.or.DefaultRenderer,2,1.0,0.0,0.0,2.0,1.0,0.0
apache.log4j.or.RendererMap,16,1.0,0.0,2.0,8.0,7.0,0.0
apache.log4j.spi.RootCategory,4,2.0,0.0,2.0,5.0,3.0,0.0
apache.log4j.spi.LoggingEvent,26,1.0,0.0,6.0,13.0,9.0,4.0
apache.log4j.spi.Filter,1,1.0,4.0,1.0,2.0,2.0,0.0
apache.log4j.spi.LocationInfo,25,1.0,0.0,2.0,5.0,5.0,0.0
