Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.lucene.search.MatchAllDocsQuery,2.0,0.0,4.0,0.0,18.0,0,1.0
org.apache.lucene.search.MultiPhraseQuery,2.0,63.0,10.0,0.0,25.0,0,1.0
org.apache.lucene.search.MultiSearcher,2.0,48.0,15.0,1.0,37.0,0,3.0
org.apache.lucene.search.MultiSearcherThread,2.0,53.0,10.0,0.0,6.0,0,0.0
org.apache.lucene.search.MultiTermQuery,2.0,16.0,8.0,2.0,19.0,0,0.0
org.apache.lucene.search.NonMatchingScorer,2.0,0.0,1.0,0.0,15.0,0,0.0
org.apache.lucene.search.ParallelMultiSearcher,3.0,33.0,13.0,0.0,43.0,0,0.0
org.apache.lucene.search.PhrasePositions,1.0,53.0,2.0,0.0,5.0,0,1.0
org.apache.lucene.search.PhraseQuery,2.0,60.0,6.0,0.0,24.0,0,0.0
org.apache.lucene.search.PhraseQueue,2.0,0.0,1.0,0.0,13.0,0,1.0
org.apache.lucene.search.PhraseScorer,2.0,71.0,7.0,2.0,22.0,3,1.0
org.apache.lucene.search.PrefixQuery,2.0,0.0,8.0,0.0,18.0,0,0.0
org.apache.lucene.search.Query,1.0,81.0,7.0,13.0,12.0,0,0.0
org.apache.lucene.search.QueryFilter,2.0,40.0,4.0,0.0,6.0,0,2.0
org.apache.lucene.search.QueryTermVector,1.0,60.0,3.0,0.0,10.0,1,0.0
org.apache.lucene.search.RangeFilter,2.0,28.0,4.0,0.0,8.0,0,0.0
org.apache.lucene.search.RangeQuery,2.0,25.0,8.0,0.0,21.0,0,0.0
org.apache.lucene.search.RemoteSearchable,2.0,8.0,11.0,0.0,12.0,0,2.0
org.apache.lucene.search.ReqExclScorer,2.0,33.0,1.0,0.0,16.0,1,0.0
org.apache.lucene.search.ReqOptSumScorer,2.0,44.0,1.0,0.0,15.0,0,0.0
org.apache.lucene.search.ScoreDoc,1.0,0.0,0.0,1.0,1.0,0,0.0
org.apache.lucene.search.ScoreDocComparator,0.0,0.0,1.0,7.0,3.0,0,0.0
org.apache.lucene.search.Scorer,1.0,50.0,3.0,15.0,9.0,0,0.0
org.apache.lucene.search.Searchable,2.0,0.0,10.0,2.0,10.0,0,2.0
org.apache.lucene.search.Searcher,1.0,84.0,12.0,3.0,22.0,0,1.0
org.apache.lucene.search.Similarity,1.0,75.0,4.0,2.0,14.0,0,3.0
