filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.lucene.LucenePackage,2,1.0,0.0,0.0,2.0,1.0,0.0
apache.lucene.analysis.LowerCaseFilter,3,3.0,0.0,1.0,6.0,2.0,0.0
apache.lucene.analysis.PerFieldAnalyzerWrapper,5,2.0,0.0,1.0,6.0,4.0,1.0
apache.lucene.analysis.StopFilter,12,3.0,0.0,1.0,11.0,7.0,0.0
apache.lucene.analysis.Tokenizer,3,2.0,3.0,0.0,5.0,1.0,0.0
apache.lucene.analysis.TokenStream,1,1.0,2.0,1.0,2.0,2.0,1.0
apache.lucene.analysis.LetterTokenizer,2,4.0,1.0,0.0,11.0,1.0,0.0
apache.lucene.analysis.LowerCaseTokenizer,2,5.0,0.0,0.0,13.0,1.0,0.0
apache.lucene.analysis.Analyzer,1,1.0,6.0,1.0,2.0,2.0,0.0
apache.lucene.analysis.KeywordTokenizer,6,3.0,0.0,1.0,8.0,3.0,0.0
apache.lucene.analysis.StopAnalyzer,6,2.0,0.0,4.0,8.0,6.0,0.0
apache.lucene.analysis.SimpleAnalyzer,1,2.0,0.0,2.0,3.0,1.0,0.0
apache.lucene.analysis.WhitespaceAnalyzer,1,2.0,0.0,2.0,3.0,1.0,0.0
apache.lucene.analysis.Token,12,1.0,0.0,0.0,9.0,9.0,0.0
apache.lucene.analysis.PorterStemmer,160,1.0,0.0,0.0,27.0,13.0,0.0
apache.lucene.analysis.KeywordAnalyzer,1,2.0,0.0,2.0,3.0,1.0,0.0
apache.lucene.analysis.WordlistLoader,8,1.0,0.0,0.0,3.0,2.0,0.0
apache.lucene.analysis.LengthFilter,4,3.0,0.0,1.0,6.0,2.0,0.0
apache.lucene.analysis.TokenFilter,2,2.0,6.0,0.0,4.0,1.0,0.0
apache.lucene.analysis.PorterStemFilter,4,3.0,0.0,2.0,6.0,2.0,0.0
apache.lucene.analysis.WhitespaceTokenizer,2,4.0,0.0,0.0,11.0,1.0,0.0
apache.lucene.analysis.CharTokenizer,11,3.0,2.0,1.0,9.0,2.0,0.0
apache.lucene.analysis.ISOLatin1AccentFilter,70,3.0,0.0,1.0,7.0,3.0,1.0
apache.lucene.document.Document,35,1.0,0.0,1.0,14.0,14.0,1.0
apache.lucene.document.DateField,12,1.0,0.0,0.0,7.0,6.0,0.0
apache.lucene.document.DateTools,28,1.0,0.0,1.0,7.0,6.0,0.0
apache.lucene.document.Field,66,1.0,0.0,4.0,23.0,22.0,1.0
apache.lucene.document.NumberTools,10,1.0,0.0,0.0,2.0,2.0,0.0
apache.lucene.index.MultiReader,49,2.0,0.0,13.0,81.0,17.0,9.0
apache.lucene.index.ParallelReader,48,2.0,0.0,11.0,81.0,21.0,6.0
apache.lucene.index.MultiTermEnum,13,2.0,0.0,5.0,10.0,5.0,0.0
apache.lucene.index.SegmentTermVector,15,1.0,1.0,0.0,8.0,7.0,0.0
apache.lucene.index.TermEnum,3,1.0,5.0,1.0,5.0,5.0,0.0
apache.lucene.index.IndexFileNameFilter,6,1.0,0.0,1.0,1.0,1.0,0.0
apache.lucene.index.MultipleTermPositions,18,1.0,0.0,6.0,10.0,10.0,2.0
apache.lucene.index.Term,15,1.0,0.0,0.0,12.0,9.0,1.0
apache.lucene.index.TermInfosReader,35,1.0,0.0,5.0,16.0,3.0,4.0
apache.lucene.index.FilterIndexReader,24,2.0,0.0,7.0,79.0,19.0,4.0
apache.lucene.index.TermBuffer,17,1.0,0.0,3.0,9.0,6.0,0.0
apache.lucene.index.FieldInfos,41,1.0,0.0,6.0,19.0,15.0,1.0
apache.lucene.index.CompoundFileWriter,22,1.0,0.0,4.0,6.0,5.0,1.0
apache.lucene.index.SegmentTermPositionVector,7,2.0,0.0,1.0,11.0,3.0,1.0
apache.lucene.index.SegmentInfo,1,1.0,0.0,1.0,1.0,1.0,6.0
apache.lucene.index.SegmentTermDocs,31,1.0,1.0,8.0,12.0,8.0,2.0
apache.lucene.index.TermVectorsReader,47,1.0,0.0,8.0,9.0,0.0,2.0
apache.lucene.index.SegmentInfos,14,2.0,0.0,5.0,5.0,5.0,7.0
apache.lucene.index.FieldsReader,17,1.0,0.0,10.0,5.0,0.0,9.0
apache.lucene.index.IndexModifier,41,1.0,0.0,7.0,26.0,22.0,2.0
apache.lucene.index.IndexWriter,88,1.0,0.0,17.0,46.0,32.0,22.0
apache.lucene.index.TermVectorOffsetInfo,12,1.0,0.0,0.0,8.0,8.0,0.0
apache.lucene.index.CompoundFileReader,23,2.0,0.0,5.0,25.0,14.0,1.0
apache.lucene.index.TermVectorsWriter,49,1.0,0.0,10.0,15.0,10.0,0.0
apache.lucene.index.SegmentMergeInfo,12,1.0,0.0,5.0,5.0,0.0,0.0
apache.lucene.index.IndexReader,62,1.0,4.0,17.0,55.0,43.0,11.0
apache.lucene.index.FieldsWriter,15,1.0,0.0,5.0,4.0,0.0,2.0
apache.lucene.index.TermInfosWriter,14,1.0,0.0,6.0,6.0,0.0,2.0
apache.lucene.index.DocumentWriter,62,1.0,0.0,18.0,10.0,0.0,6.0
apache.lucene.index.SegmentMergeQueue,5,2.0,0.0,2.0,14.0,0.0,0.0
apache.lucene.index.Posting,2,1.0,0.0,2.0,1.0,0.0,0.0
apache.lucene.index.TermInfo,5,1.0,0.0,0.0,5.0,0.0,0.0
apache.lucene.index.SegmentReader,88,2.0,0.0,25.0,92.0,19.0,11.0
apache.lucene.index.MultiTermDocs,24,1.0,1.0,3.0,11.0,9.0,0.0
apache.lucene.index.SegmentTermPositions,12,2.0,0.0,3.0,20.0,4.0,4.0
apache.lucene.index.SegmentTermEnum,26,2.0,0.0,6.0,18.0,4.0,2.0
apache.lucene.index.MultiTermPositions,3,2.0,0.0,1.0,14.0,2.0,0.0
