Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.velocity.Template,2.0,75.0,11.0,0.0,21.0,0,2.0
org.apache.velocity.VelocityContext,3.0,30.0,0.0,0.0,33.0,0,1.0
org.apache.velocity.anakia.AnakiaElement,2.0,0.0,2.0,0.0,11.0,0,1.0
org.apache.velocity.anakia.AnakiaJDOMFactory,2.0,0.0,1.0,0.0,5.0,0,1.0
org.apache.velocity.anakia.AnakiaTask,2.0,85.0,12.0,0.0,13.0,3,1.0
org.apache.velocity.anakia.Escape,1.0,0.0,0.0,0.0,2.0,0,1.0
org.apache.velocity.anakia.NodeList,1.0,11.0,2.0,0.0,36.0,2,1.0
org.apache.velocity.anakia.OutputWrapper,2.0,0.0,0.0,0.0,2.0,0,1.0
org.apache.velocity.anakia.TreeWalker,1.0,0.0,1.0,0.0,3.0,1,1.0
org.apache.velocity.anakia.XPathCache,1.0,0.0,0.0,0.0,2.0,1,1.0
org.apache.velocity.anakia.XPathTool,1.0,0.0,2.0,0.0,4.0,0,1.0
org.apache.velocity.app.FieldMethodizer,1.0,71.0,0.0,0.0,7.0,1,1.0
org.apache.velocity.app.Velocity,1.0,0.0,11.0,0.0,24.0,0,2.0
org.apache.velocity.app.VelocityEngine,1.0,4.0,10.0,0.0,23.0,0,3.0
org.apache.velocity.app.event.EventCartridge,1.0,50.0,2.0,0.0,6.0,0,2.0
org.apache.velocity.app.event.EventHandler,0.0,0.0,0.0,3.0,0.0,0,1.0
org.apache.velocity.app.event.MethodExceptionEventHandler,1.0,0.0,0.0,3.0,1.0,0,2.0
org.apache.velocity.app.event.NullSetEventHandler,1.0,0.0,0.0,3.0,1.0,0,2.0
org.apache.velocity.app.event.ReferenceInsertionEventHandler,1.0,0.0,0.0,3.0,1.0,0,2.0
org.apache.velocity.app.tools.VelocityFormatter,1.0,86.0,3.0,0.0,18.0,0,1.0
org.apache.velocity.context.AbstractContext,2.0,62.0,0.0,1.0,23.0,0,1.0
org.apache.velocity.context.Context,0.0,0.0,0.0,2.0,5.0,0,1.0
org.apache.velocity.context.InternalContextAdapter,1.0,0.0,0.0,2.0,17.0,0,1.0
org.apache.velocity.context.InternalContextAdapterImpl,1.0,64.0,4.0,0.0,18.0,0,2.0
org.apache.velocity.context.InternalContextBase,1.0,75.0,3.0,1.0,10.0,0,2.0
org.apache.velocity.context.InternalEventContext,0.0,0.0,1.0,2.0,2.0,0,1.0
org.apache.velocity.context.InternalHousekeepingContext,0.0,0.0,2.0,2.0,8.0,0,1.0
org.apache.velocity.context.InternalWrapperContext,0.0,0.0,2.0,1.0,2.0,0,2.0
org.apache.velocity.context.VMContext,1.0,68.0,6.0,0.0,19.0,0,3.0
org.apache.velocity.convert.WebMacro,1.0,75.0,1.0,0.0,8.0,5,1.0
org.apache.velocity.exception.MethodInvocationException,3.0,60.0,0.0,0.0,6.0,0,2.0
org.apache.velocity.exception.ParseErrorException,3.0,0.0,0.0,0.0,2.0,0,3.0
org.apache.velocity.exception.ResourceNotFoundException,3.0,0.0,0.0,0.0,2.0,0,1.0
org.apache.velocity.exception.VelocityException,2.0,0.0,0.0,3.0,1.0,0,2.0
org.apache.velocity.io.VelocityWriter,2.0,69.0,0.0,0.0,19.0,5,1.0
org.apache.velocity.runtime.Runtime,1.0,0.0,8.0,0.0,29.0,0,1.0
org.apache.velocity.runtime.RuntimeConstants,0.0,0.0,0.0,5.0,0.0,0,3.0
org.apache.velocity.runtime.RuntimeInstance,1.0,91.0,19.0,0.0,45.0,10,3.0
org.apache.velocity.runtime.RuntimeLogger,0.0,0.0,0.0,1.0,4.0,0,1.0
org.apache.velocity.runtime.RuntimeServices,1.0,0.0,9.0,1.0,32.0,0,1.0
org.apache.velocity.runtime.RuntimeSingleton,1.0,0.0,12.0,0.0,35.0,1,1.0
org.apache.velocity.runtime.VelocimacroFactory,1.0,80.0,10.0,0.0,17.0,11,2.0
org.apache.velocity.runtime.VelocimacroManager,1.0,82.0,3.0,0.0,12.0,4,1.0
org.apache.velocity.runtime.compiler.Compiler,1.0,0.0,0.0,0.0,1.0,0,0.0
org.apache.velocity.runtime.configuration.Configuration,2.0,93.0,2.0,0.0,52.0,2,0.0
org.apache.velocity.runtime.directive.Directive,1.0,58.0,6.0,5.0,7.0,0,2.0
org.apache.velocity.runtime.directive.DirectiveConstants,0.0,0.0,0.0,1.0,0.0,0,1.0
org.apache.velocity.runtime.directive.Foreach,2.0,50.0,12.0,0.0,11.0,0,4.0
org.apache.velocity.runtime.directive.Include,3.0,66.0,10.0,0.0,14.0,2,2.0
org.apache.velocity.runtime.directive.InputBase,2.0,0.0,5.0,2.0,8.0,0,1.0
org.apache.velocity.runtime.directive.Literal,2.0,50.0,3.0,0.0,11.0,0,2.0
org.apache.velocity.runtime.directive.Macro,2.0,85.0,9.0,0.0,14.0,2,2.0
org.apache.velocity.runtime.directive.MacroParseException,3.0,0.0,0.0,0.0,6.0,0,1.0
org.apache.velocity.runtime.directive.Parse,3.0,100.0,12.0,0.0,11.0,0,1.0
org.apache.velocity.runtime.directive.ParseDirectiveException,2.0,33.0,0.0,0.0,3.0,0,0.0
org.apache.velocity.runtime.directive.VMProxyArg,1.0,63.0,13.0,0.0,11.0,1,2.0
org.apache.velocity.runtime.directive.VelocimacroProxy,2.0,82.0,12.0,0.0,21.0,3,4.0
org.apache.velocity.runtime.exception.NodeException,2.0,0.0,1.0,0.0,1.0,0,0.0
org.apache.velocity.runtime.exception.ReferenceException,2.0,0.0,1.0,0.0,1.0,0,2.0
org.apache.velocity.runtime.log.AvalonLogSystem,1.0,37.0,3.0,0.0,4.0,0,1.0
org.apache.velocity.runtime.log.Log4JLogSystem,1.0,52.0,2.0,0.0,10.0,5,1.0
org.apache.velocity.runtime.log.LogManager,1.0,0.0,5.0,0.0,1.0,0,1.0
org.apache.velocity.runtime.log.LogSystem,0.0,0.0,1.0,8.0,2.0,0,1.0
org.apache.velocity.runtime.log.NullLogSystem,1.0,0.0,1.0,0.0,3.0,0,1.0
org.apache.velocity.runtime.log.PrimordialLogSystem,1.0,62.0,1.0,0.0,4.0,0,1.0
org.apache.velocity.runtime.log.SimpleLog4JLogSystem,1.0,58.0,2.0,0.0,6.0,1,1.0
org.apache.velocity.runtime.log.VelocityFormatter,2.0,0.0,0.0,0.0,2.0,0,1.0
org.apache.velocity.runtime.parser.CharStream,0.0,0.0,0.0,1.0,12.0,0,0.0
org.apache.velocity.runtime.parser.JJTParserState,1.0,48.0,1.0,0.0,12.0,0,0.0
org.apache.velocity.runtime.parser.ParseException,2.0,56.0,1.0,1.0,5.0,0,0.0
org.apache.velocity.runtime.parser.Parser,1.0,87.0,52.0,0.0,143.0,98,0.0
org.apache.velocity.runtime.parser.ParserConstants,0.0,0.0,0.0,2.0,0.0,0,0.0
org.apache.velocity.runtime.parser.ParserTokenManager,1.0,88.0,3.0,0.0,93.0,80,0.0
org.apache.velocity.runtime.parser.ParserTreeConstants,0.0,0.0,0.0,1.0,0.0,0,0.0
org.apache.velocity.runtime.parser.Token,1.0,93.0,0.0,0.0,2.0,0,0.0
org.apache.velocity.runtime.parser.TokenMgrError,2.0,83.0,0.0,0.0,6.0,1,0.0
org.apache.velocity.runtime.parser.VelocityCharStream,1.0,75.0,0.0,0.0,24.0,3,1.0
org.apache.velocity.runtime.parser.node.ASTAddNode,2.0,0.0,6.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTAndNode,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTAssignment,2.0,0.0,2.0,0.0,32.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTBlock,2.0,0.0,6.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTComment,2.0,60.0,7.0,0.0,34.0,0,2.0
org.apache.velocity.runtime.parser.node.ASTDirective,2.0,61.0,9.0,0.0,36.0,0,3.0
org.apache.velocity.runtime.parser.node.ASTDivNode,2.0,0.0,6.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTEQNode,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTElseIfStatement,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTElseStatement,2.0,0.0,3.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTEscape,2.0,70.0,3.0,0.0,34.0,0,2.0
org.apache.velocity.runtime.parser.node.ASTEscapedDirective,2.0,0.0,4.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTExpression,2.0,0.0,4.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTFalse,2.0,80.0,3.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTGENode,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTGTNode,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTIdentifier,2.0,60.0,14.0,0.0,34.0,0,3.0
org.apache.velocity.runtime.parser.node.ASTIfStatement,2.0,0.0,6.0,0.0,34.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTIncludeStatement,2.0,0.0,2.0,0.0,32.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTIntegerRange,2.0,0.0,6.0,0.0,33.0,0,1.0
org.apache.velocity.runtime.parser.node.ASTLENode,2.0,0.0,6.0,0.0,34.0,0,1.0
