filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.velocity.VelocityContext,12,3.0,0.0,0.0,33.0,10.0,1.0
apache.velocity.Template,11,2.0,0.0,11.0,21.0,4.0,2.0
apache.velocity.anakia.AnakiaElement,11,2.0,0.0,2.0,11.0,11.0,1.0
apache.velocity.anakia.OutputWrapper,3,2.0,0.0,0.0,2.0,2.0,1.0
apache.velocity.anakia.XPathTool,4,1.0,0.0,2.0,4.0,4.0,1.0
apache.velocity.anakia.Escape,9,1.0,0.0,0.0,2.0,2.0,1.0
apache.velocity.anakia.TreeWalker,4,1.0,0.0,1.0,3.0,2.0,1.0
apache.velocity.anakia.NodeList,55,1.0,0.0,2.0,36.0,34.0,1.0
apache.velocity.anakia.AnakiaJDOMFactory,5,2.0,0.0,1.0,5.0,5.0,1.0
apache.velocity.anakia.AnakiaTask,43,2.0,0.0,12.0,13.0,10.0,1.0
apache.velocity.anakia.XPathCache,3,1.0,0.0,0.0,2.0,0.0,1.0
apache.velocity.app.VelocityEngine,32,1.0,0.0,10.0,23.0,23.0,3.0
apache.velocity.app.Velocity,33,1.0,0.0,11.0,24.0,24.0,2.0
apache.velocity.app.FieldMethodizer,13,1.0,0.0,0.0,7.0,6.0,1.0
apache.velocity.app.event.EventCartridge,18,1.0,0.0,2.0,6.0,6.0,2.0
apache.velocity.app.tools.VelocityFormatter,26,1.0,0.0,3.0,18.0,18.0,1.0
apache.velocity.context.InternalContextAdapterImpl,22,1.0,0.0,4.0,18.0,18.0,2.0
apache.velocity.context.VMContext,26,1.0,0.0,6.0,19.0,19.0,3.0
apache.velocity.context.AbstractContext,15,2.0,1.0,0.0,23.0,13.0,1.0
apache.velocity.context.InternalContextBase,11,1.0,1.0,3.0,10.0,10.0,2.0
apache.velocity.convert.WebMacro,22,1.0,0.0,1.0,8.0,3.0,1.0
apache.velocity.exception.MethodInvocationException,5,3.0,0.0,0.0,6.0,5.0,2.0
apache.velocity.exception.ParseErrorException,1,3.0,0.0,0.0,2.0,1.0,3.0
apache.velocity.exception.VelocityException,1,2.0,3.0,0.0,1.0,1.0,2.0
apache.velocity.exception.ResourceNotFoundException,1,3.0,0.0,0.0,2.0,1.0,1.0
apache.velocity.io.VelocityWriter,41,2.0,0.0,0.0,19.0,14.0,1.0
apache.velocity.runtime.RuntimeInstance,76,1.0,0.0,19.0,45.0,35.0,3.0
apache.velocity.runtime.Runtime,29,1.0,0.0,8.0,29.0,29.0,1.0
apache.velocity.runtime.RuntimeSingleton,35,1.0,0.0,12.0,35.0,34.0,1.0
apache.velocity.runtime.VelocimacroFactory,46,1.0,0.0,10.0,17.0,6.0,2.0
apache.velocity.runtime.VelocimacroManager,29,1.0,0.0,3.0,12.0,7.0,1.0
apache.velocity.runtime.compiler.Compiler,2,1.0,0.0,0.0,1.0,1.0,0.0
apache.velocity.runtime.configuration.Configuration,145,2.0,0.0,2.0,52.0,50.0,0.0
apache.velocity.runtime.directive.VMProxyArg,43,1.0,0.0,13.0,11.0,10.0,2.0
apache.velocity.runtime.directive.Literal,4,2.0,0.0,3.0,11.0,4.0,2.0
apache.velocity.runtime.directive.MacroParseException,1,3.0,0.0,0.0,6.0,1.0,1.0
apache.velocity.runtime.directive.Parse,12,3.0,0.0,12.0,11.0,3.0,1.0
apache.velocity.runtime.directive.Include,15,3.0,0.0,10.0,14.0,4.0,2.0
apache.velocity.runtime.directive.VelocimacroProxy,28,2.0,0.0,12.0,21.0,11.0,4.0
apache.velocity.runtime.directive.ParseDirectiveException,5,2.0,0.0,0.0,3.0,2.0,0.0
apache.velocity.runtime.directive.Macro,16,2.0,0.0,9.0,14.0,5.0,2.0
apache.velocity.runtime.directive.Foreach,10,2.0,0.0,12.0,11.0,4.0,4.0
apache.velocity.runtime.directive.InputBase,2,2.0,2.0,5.0,8.0,0.0,1.0
apache.velocity.runtime.directive.Directive,4,1.0,5.0,6.0,7.0,7.0,2.0
apache.velocity.runtime.exception.NodeException,1,2.0,0.0,1.0,1.0,1.0,0.0
apache.velocity.runtime.exception.ReferenceException,1,2.0,0.0,1.0,1.0,1.0,2.0
apache.velocity.runtime.log.VelocityFormatter,2,2.0,0.0,0.0,2.0,1.0,1.0
apache.velocity.runtime.log.LogManager,9,1.0,0.0,5.0,1.0,1.0,1.0
apache.velocity.runtime.log.PrimordialLogSystem,6,1.0,0.0,1.0,4.0,4.0,1.0
apache.velocity.runtime.log.NullLogSystem,3,1.0,0.0,1.0,3.0,3.0,1.0
apache.velocity.runtime.log.SimpleLog4JLogSystem,13,1.0,0.0,2.0,6.0,4.0,1.0
apache.velocity.runtime.log.Log4JLogSystem,21,1.0,0.0,2.0,10.0,4.0,1.0
apache.velocity.runtime.log.AvalonLogSystem,10,1.0,0.0,3.0,4.0,4.0,1.0
apache.velocity.runtime.parser.JJTParserState,17,1.0,0.0,1.0,12.0,0.0,0.0
apache.velocity.runtime.parser.Token,2,1.0,0.0,0.0,2.0,2.0,0.0
apache.velocity.runtime.parser.VelocityCharStream,53,1.0,0.0,0.0,24.0,21.0,1.0
apache.velocity.runtime.parser.ParseException,25,2.0,1.0,1.0,5.0,4.0,0.0
apache.velocity.runtime.parser.ParserTokenManager,1201,1.0,0.0,3.0,93.0,10.0,0.0
apache.velocity.runtime.parser.Parser,1087,1.0,0.0,52.0,143.0,45.0,0.0
apache.velocity.runtime.parser.TokenMgrError,18,2.0,0.0,0.0,6.0,4.0,0.0
apache.velocity.runtime.resource.Resource,17,1.0,2.0,5.0,17.0,17.0,1.0
apache.velocity.runtime.resource.ContentResource,7,2.0,0.0,3.0,19.0,2.0,1.0
apache.velocity.runtime.resource.ResourceManagerImpl,37,1.0,0.0,11.0,7.0,4.0,2.0
apache.velocity.runtime.resource.ResourceCacheImpl,5,1.0,0.0,3.0,5.0,5.0,1.0
apache.velocity.runtime.resource.ResourceFactory,3,1.0,0.0,4.0,1.0,1.0,1.0
apache.velocity.runtime.visitor.VMReferenceMungeVisitor,3,2.0,0.0,2.0,39.0,2.0,1.0
apache.velocity.runtime.visitor.NodeViewMode,39,2.0,0.0,36.0,73.0,34.0,1.0
apache.velocity.runtime.visitor.BaseVisitor,37,1.0,2.0,36.0,37.0,37.0,1.0
apache.velocity.servlet.VelocityServlet,32,2.0,1.0,12.0,16.0,5.0,1.0
apache.velocity.test.ClasspathResourceTest,6,3.0,0.0,5.0,9.0,3.0,0.0
apache.velocity.test.TexenClasspathTestCase,6,3.0,0.0,0.0,10.0,3.0,0.0
apache.velocity.test.BaseTestCase,9,2.0,17.0,2.0,6.0,1.0,0.0
apache.velocity.test.CommonsExtPropTestCase,10,3.0,0.0,0.0,12.0,3.0,0.0
apache.velocity.test.ParserTestCase,8,2.0,0.0,3.0,5.0,5.0,0.0
apache.velocity.test.IntrospectorTestCase3,3,3.0,0.0,2.0,9.0,3.0,0.0
apache.velocity.test.VelocityAppTestCase,6,3.0,0.0,4.0,9.0,3.0,0.0
apache.velocity.test.VelocityServletTest,4,2.0,0.0,6.0,3.0,3.0,0.0
apache.velocity.test.MultiLoaderTestCase,8,3.0,0.0,4.0,9.0,3.0,0.0
apache.velocity.test.EventHandlingTestCase,25,2.0,0.0,8.0,9.0,9.0,0.0
apache.velocity.test.TemplateTestCase,6,3.0,0.0,8.0,10.0,3.0,0.0
apache.velocity.test.MultipleFileResourcePathTest,6,3.0,0.0,5.0,9.0,2.0,0.0
apache.velocity.test.ExternalLoggerTest,11,2.0,0.0,3.0,5.0,5.0,0.0
apache.velocity.test.ContextSafetyTestCase,6,3.0,0.0,6.0,9.0,3.0,0.0
apache.velocity.test.IntrospectorTestCase2,8,3.0,0.0,5.0,10.0,3.0,0.0
apache.velocity.test.TemplateTestSuite,6,2.0,0.0,3.0,3.0,1.0,0.0
apache.velocity.test.AnakiaTestCase,5,3.0,0.0,0.0,9.0,3.0,0.0
apache.velocity.test.MethodInvocationExceptionTest,19,2.0,0.0,4.0,6.0,6.0,0.0
apache.velocity.test.ConfigurationTestCase,10,3.0,0.0,1.0,12.0,3.0,0.0
apache.velocity.test.IntrospectorTestCase,17,3.0,0.0,2.0,10.0,3.0,0.0
apache.velocity.test.VelocimacroTestCase,6,2.0,0.0,3.0,3.0,3.0,0.0
apache.velocity.test.ClassloaderChangeTest,11,2.0,0.0,7.0,5.0,5.0,0.0
apache.velocity.test.MiscTestCase,4,3.0,0.0,1.0,10.0,4.0,0.0
apache.velocity.test.InlineScopeVMTestCase,6,3.0,0.0,5.0,9.0,2.0,0.0
apache.velocity.test.TexenTestCase,6,3.0,0.0,0.0,10.0,3.0,0.0
apache.velocity.test.TestClassloader,3,2.0,0.0,0.0,2.0,2.0,0.0
apache.velocity.test.EncodingTestCase,9,3.0,0.0,4.0,9.0,3.0,0.0
apache.velocity.test.misc.Test,18,1.0,0.0,12.0,5.0,5.0,0.0
apache.velocity.test.provider.BoolObj,2,1.0,0.0,0.0,2.0,2.0,0.0
apache.velocity.test.provider.Child,1,2.0,0.0,0.0,2.0,1.0,0.0
apache.velocity.test.provider.TestProvider,43,1.0,0.0,2.0,37.0,37.0,0.0
apache.velocity.test.provider.Person,1,1.0,1.0,0.0,1.0,1.0,0.0
apache.velocity.test.view.TemplateNodeView,3,1.0,0.0,5.0,2.0,2.0,0.0
apache.velocity.texen.Generator,31,1.0,0.0,4.0,20.0,16.0,1.0
apache.velocity.texen.ant.TexenTask,43,2.0,0.0,9.0,17.0,15.0,1.0
apache.velocity.texen.util.PropertiesUtil,9,1.0,0.0,1.0,3.0,1.0,1.0
apache.velocity.texen.util.FileUtil,5,1.0,0.0,0.0,3.0,3.0,1.0
