Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.velocity.Template,11,2.0,0.0,11.0,21.0,4.0,4.0
apache.velocity.VelocityContext,12,3.0,0.0,0.0,33.0,10.0,0.0
apache.velocity.anakia.AnakiaElement,11,2.0,0.0,2.0,11.0,11.0,0.0
apache.velocity.anakia.AnakiaJDOMFactory,5,2.0,0.0,1.0,5.0,5.0,0.0
apache.velocity.anakia.AnakiaTask,43,2.0,0.0,12.0,13.0,10.0,0.0
apache.velocity.anakia.Escape,9,1.0,0.0,0.0,2.0,2.0,0.0
apache.velocity.anakia.NodeList,55,1.0,0.0,2.0,36.0,34.0,0.0
apache.velocity.anakia.OutputWrapper,3,2.0,0.0,0.0,2.0,2.0,0.0
apache.velocity.anakia.TreeWalker,4,1.0,0.0,1.0,3.0,2.0,0.0
apache.velocity.anakia.XPathCache,3,1.0,0.0,0.0,2.0,0.0,0.0
apache.velocity.anakia.XPathTool,4,1.0,0.0,2.0,4.0,4.0,0.0
apache.velocity.app.FieldMethodizer,13,1.0,0.0,0.0,7.0,6.0,1.0
apache.velocity.app.Velocity,33,1.0,0.0,11.0,24.0,24.0,2.0
apache.velocity.app.VelocityEngine,32,1.0,0.0,10.0,23.0,23.0,3.0
apache.velocity.app.event.EventCartridge,18,1.0,0.0,2.0,6.0,6.0,2.0
apache.velocity.app.tools.VelocityFormatter,26,1.0,0.0,3.0,18.0,18.0,0.0
apache.velocity.context.AbstractContext,15,2.0,1.0,0.0,23.0,13.0,1.0
apache.velocity.context.InternalContextAdapterImpl,22,1.0,0.0,4.0,18.0,18.0,4.0
apache.velocity.context.InternalContextBase,11,1.0,1.0,3.0,10.0,10.0,2.0
apache.velocity.context.VMContext,26,1.0,0.0,6.0,19.0,19.0,5.0
apache.velocity.convert.WebMacro,22,1.0,0.0,1.0,8.0,3.0,0.0
apache.velocity.exception.MethodInvocationException,5,3.0,0.0,0.0,6.0,5.0,2.0
apache.velocity.exception.ParseErrorException,1,3.0,0.0,0.0,2.0,1.0,1.0
apache.velocity.exception.ResourceNotFoundException,1,3.0,0.0,0.0,2.0,1.0,1.0
apache.velocity.exception.VelocityException,1,2.0,3.0,0.0,1.0,1.0,1.0
apache.velocity.io.VelocityWriter,41,2.0,0.0,0.0,19.0,14.0,0.0
apache.velocity.runtime.Runtime,29,1.0,0.0,8.0,29.0,29.0,2.0
apache.velocity.runtime.RuntimeInstance,76,1.0,0.0,19.0,45.0,35.0,8.0
apache.velocity.runtime.RuntimeSingleton,35,1.0,0.0,12.0,35.0,34.0,3.0
apache.velocity.runtime.VelocimacroFactory,46,1.0,0.0,10.0,17.0,6.0,7.0
apache.velocity.runtime.VelocimacroManager,29,1.0,0.0,3.0,12.0,7.0,5.0
apache.velocity.runtime.directive.Directive,4,1.0,5.0,6.0,7.0,7.0,1.0
apache.velocity.runtime.directive.Foreach,10,2.0,0.0,12.0,11.0,4.0,9.0
apache.velocity.runtime.directive.Include,15,3.0,0.0,10.0,14.0,4.0,2.0
apache.velocity.runtime.directive.InputBase,2,2.0,2.0,5.0,8.0,0.0,0.0
