Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.xalan.Version,1.0,0.0,0.0,0.0,8.0,0,1.0
org.apache.xalan.extensions.ExtensionHandlerJavaClass,2.0,41.0,3.0,0.0,6.0,0,1.0
org.apache.xalan.extensions.ExtensionNamespaceSupport,1.0,33.0,0.0,0.0,3.0,0,0.0
org.apache.xalan.extensions.ExtensionNamespacesManager,1.0,66.0,3.0,0.0,9.0,1,1.0
org.apache.xalan.extensions.ExtensionsTable,1.0,50.0,2.0,0.0,7.0,0,1.0
org.apache.xalan.lib.ExsltMath,2.0,94.0,0.0,0.0,18.0,0,1.0
org.apache.xalan.lib.ExsltSets,2.0,0.0,1.0,0.0,6.0,0,1.0
org.apache.xalan.lib.ExsltStrings,2.0,77.0,1.0,0.0,9.0,0,2.0
org.apache.xalan.lib.Extensions,1.0,90.0,5.0,0.0,11.0,2,1.0
org.apache.xalan.lib.PipeDocument,1.0,0.0,5.0,0.0,2.0,0,1.0
org.apache.xalan.lib.sql.DTMDocument,4.0,82.0,6.0,0.0,103.0,1,1.0
org.apache.xalan.lib.sql.DefaultConnectionPool,1.0,81.0,0.0,0.0,19.0,2,1.0
org.apache.xalan.processor.ProcessorCharacters,3.0,50.0,1.0,0.0,19.0,0,0.0
org.apache.xalan.processor.ProcessorExsltFuncResult,4.0,0.0,2.0,0.0,19.0,0,1.0
org.apache.xalan.processor.ProcessorExsltFunction,4.0,0.0,8.0,0.0,23.0,0,2.0
org.apache.xalan.processor.ProcessorImport,2.0,0.0,0.0,0.0,2.0,0,0.0
org.apache.xalan.processor.ProcessorKey,3.0,0.0,1.0,0.0,17.0,0,0.0
org.apache.xalan.processor.ProcessorStripSpace,2.0,0.0,1.0,0.0,1.0,0,0.0
org.apache.xalan.processor.ProcessorStylesheetElement,3.0,0.0,3.0,0.0,17.0,0,0.0
org.apache.xalan.processor.ProcessorTemplateElem,3.0,0.0,0.0,2.0,18.0,0,1.0
org.apache.xalan.processor.StopParseException,2.0,0.0,0.0,0.0,1.0,0,1.0
org.apache.xalan.processor.StylesheetPIHandler,2.0,63.0,2.0,0.0,6.0,0,1.0
org.apache.xalan.processor.TransformerFactoryImpl,2.0,93.0,7.0,0.0,21.0,0,0.0
org.apache.xalan.processor.XSLTAttributeDef,1.0,86.0,5.0,0.0,33.0,6,2.0
org.apache.xalan.processor.XSLTElementProcessor,2.0,86.0,3.0,4.0,15.0,0,1.0
org.apache.xalan.res.XSLTErrorResources_en,2.0,0.0,0.0,0.0,0.0,0,1.0
org.apache.xalan.res.XSLTErrorResources_it,2.0,0.0,0.0,0.0,2.0,1,0.0
org.apache.xalan.res.XSLTErrorResources_sv,2.0,0.0,0.0,0.0,1.0,0,0.0
org.apache.xalan.res.XSLTErrorResources_zh_CN,2.0,0.0,0.0,0.0,1.0,0,0.0
org.apache.xalan.serialize.Serializer,0.0,0.0,0.0,0.0,9.0,0,0.0
org.apache.xalan.templates.AVTPartSimple,2.0,40.0,2.0,0.0,5.0,0,1.0
org.apache.xalan.templates.Constants,2.0,0.0,0.0,0.0,0.0,0,0.0
org.apache.xalan.templates.DecimalFormatProperties,2.0,52.0,3.0,0.0,25.0,0,2.0
org.apache.xalan.templates.ElemAttributeSet,3.0,57.0,3.0,0.0,13.0,0,2.0
org.apache.xalan.templates.ElemCallTemplate,3.0,72.0,5.0,0.0,30.0,0,1.0
org.apache.xalan.templates.ElemChoose,2.0,0.0,2.0,0.0,6.0,0,1.0
org.apache.xalan.templates.ElemCopy,3.0,0.0,3.0,0.0,9.0,0,1.0
org.apache.xalan.templates.ElemExsltFuncResult,2.0,0.0,2.0,0.0,4.0,0,2.0
org.apache.xalan.templates.ElemExtensionCall,4.0,93.0,6.0,0.0,46.0,1,2.0
org.apache.xalan.templates.ElemFallback,2.0,0.0,1.0,0.0,4.0,0,2.0
org.apache.xalan.templates.ElemForEach,2.0,77.0,6.0,1.0,18.0,0,2.0
org.apache.xalan.templates.ElemIf,2.0,28.0,4.0,0.0,7.0,0,1.0
org.apache.xalan.templates.ElemLiteralResult,3.0,87.0,4.0,1.0,37.0,1,3.0
org.apache.xalan.templates.ElemMessage,2.0,40.0,1.0,0.0,5.0,0,1.0
org.apache.xalan.templates.ElemPI,2.0,42.0,3.0,0.0,7.0,0,2.0
org.apache.xalan.templates.ElemParam,2.0,83.0,4.0,0.0,6.0,0,2.0
org.apache.xalan.templates.ElemUse,2.0,16.0,3.0,3.0,6.0,1,2.0
org.apache.xalan.templates.Stylesheet,2.0,95.0,11.0,1.0,73.0,2,0.0
org.apache.xalan.templates.StylesheetComposed,3.0,79.0,1.0,1.0,84.0,0,0.0
