filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.xalan.Version,9,1.0,0.0,1.0,8.0,8.0,0.0
apache.xalan.client.XSLTProcessorApplet,45,2.0,0.0,3.0,23.0,21.0,0.0
apache.xalan.extensions.ExtensionsTable,16,1.0,0.0,7.0,6.0,6.0,1.0
apache.xalan.extensions.ExtensionHandlerGeneral,25,2.0,0.0,15.0,11.0,5.0,1.0
apache.xalan.extensions.ExtensionNamespaceSupport,10,1.0,0.0,1.0,3.0,3.0,0.0
apache.xalan.extensions.XSLProcessorContext,31,1.0,0.0,18.0,7.0,7.0,0.0
apache.xalan.extensions.ExtensionNamespacesManager,23,1.0,0.0,3.0,9.0,8.0,0.0
apache.xalan.extensions.ExtensionHandler,6,1.0,3.0,4.0,6.0,5.0,1.0
apache.xalan.extensions.ExtensionHandlerJavaPackage,39,3.0,0.0,10.0,14.0,5.0,2.0
apache.xalan.extensions.MethodResolver,108,1.0,0.0,12.0,10.0,5.0,1.0
apache.xalan.extensions.ExtensionHandlerExsltFunction,18,2.0,0.0,14.0,13.0,6.0,1.0
apache.xalan.extensions.ExtensionHandlerJava,3,2.0,2.0,0.0,9.0,2.0,0.0
apache.xalan.extensions.ExtensionHandlerJavaClass,38,3.0,0.0,8.0,14.0,5.0,2.0
apache.xalan.extensions.ExpressionVisitor,3,2.0,0.0,5.0,14.0,2.0,0.0
apache.xalan.lib.NodeInfo,20,1.0,0.0,3.0,8.0,8.0,0.0
apache.xalan.lib.ExsltDatetime,79,1.0,0.0,4.0,42.0,35.0,3.0
apache.xalan.lib.Extensions,34,1.0,0.0,13.0,11.0,9.0,1.0
apache.xalan.lib.ExsltMath,16,1.0,0.0,2.0,4.0,4.0,2.0
apache.xalan.lib.ExsltCommon,7,1.0,0.0,6.0,2.0,2.0,0.0
apache.xalan.lib.ExsltSets,16,1.0,0.0,4.0,6.0,6.0,0.0
apache.xalan.lib.PipeDocument,9,1.0,0.0,10.0,2.0,2.0,0.0
apache.xalan.lib.Redirect,35,1.0,0.0,8.0,6.0,3.0,0.0
apache.xalan.lib.sql.XConnection,86,1.0,0.0,12.0,17.0,14.0,0.0
apache.xalan.lib.sql.SQLErrorDocument,4,5.0,0.0,2.0,188.0,2.0,0.0
apache.xalan.lib.sql.QueryParameter,5,1.0,0.0,0.0,5.0,5.0,0.0
apache.xalan.lib.sql.PooledConnection,7,1.0,0.0,0.0,5.0,5.0,0.0
apache.xalan.lib.sql.ConnectionPoolManager,9,1.0,0.0,3.0,5.0,5.0,0.0
apache.xalan.lib.sql.SQLDocument,66,5.0,0.0,5.0,194.0,5.0,2.0
apache.xalan.lib.sql.DefaultConnectionPool,57,1.0,0.0,3.0,19.0,16.0,3.0
apache.xalan.lib.sql.ObjectArray,12,1.0,0.0,1.0,7.0,6.0,0.0
apache.xalan.lib.sql.DTMDocument,230,4.0,2.0,9.0,184.0,66.0,2.0
apache.xalan.processor.ProcessorLRE,29,5.0,0.0,14.0,185.0,2.0,1.0
apache.xalan.processor.ProcessorGlobalParamDecl,2,5.0,0.0,3.0,184.0,1.0,0.0
apache.xalan.processor.ProcessorTemplate,1,5.0,0.0,3.0,183.0,0.0,0.0
apache.xalan.processor.WhitespaceInfoPaths,4,5.0,0.0,1.0,193.0,3.0,0.0
apache.xalan.processor.StylesheetPIHandler,38,2.0,0.0,2.0,6.0,6.0,0.0
apache.xalan.processor.ProcessorUnknown,2,5.0,0.0,1.0,184.0,2.0,0.0
apache.xalan.processor.ProcessorOutputElem,15,4.0,0.0,5.0,192.0,13.0,0.0
apache.xalan.processor.ProcessorCharacters,10,4.0,0.0,4.0,183.0,3.0,0.0
apache.xalan.processor.ProcessorInclude,25,4.0,1.0,7.0,185.0,3.0,0.0
apache.xalan.processor.XSLTElementDef,74,1.0,1.0,5.0,37.0,0.0,1.0
apache.xalan.processor.ProcessorKey,10,4.0,0.0,8.0,181.0,1.0,0.0
apache.xalan.processor.ProcessorImport,2,5.0,0.0,2.0,187.0,0.0,0.0
apache.xalan.processor.ProcessorAttributeSet,3,4.0,0.0,3.0,181.0,2.0,0.0
apache.xalan.processor.TransformerFactoryImpl,96,2.0,0.0,14.0,22.0,19.0,2.0
apache.xalan.processor.ProcessorStripSpace,2,5.0,0.0,5.0,181.0,1.0,0.0
apache.xalan.processor.StopParseException,1,2.0,0.0,0.0,1.0,0.0,0.0
apache.xalan.processor.ProcessorGlobalVariableDecl,2,5.0,0.0,3.0,184.0,1.0,0.0
apache.xalan.processor.StylesheetHandler,131,2.0,0.0,23.0,70.0,33.0,1.0
apache.xalan.processor.ProcessorExsltFuncResult,4,5.0,0.0,5.0,183.0,1.0,0.0
apache.xalan.processor.ProcessorPreserveSpace,2,4.0,1.0,5.0,180.0,1.0,0.0
apache.xalan.processor.ProcessorStylesheetDoc,0,4.0,0.0,0.0,179.0,0.0,0.0
apache.xalan.processor.XSLTSchema,6,2.0,0.0,55.0,42.0,2.0,2.0
apache.xalan.processor.ProcessorExsltFunction,15,5.0,0.0,12.0,187.0,3.0,2.0
apache.xalan.processor.XSLTElementProcessor,29,3.0,11.0,7.0,179.0,10.0,0.0
apache.xalan.processor.ProcessorTemplateElem,7,4.0,8.0,3.0,182.0,2.0,0.0
apache.xalan.processor.ProcessorDecimalFormat,1,4.0,0.0,3.0,180.0,1.0,0.0
apache.xalan.processor.ProcessorStylesheetElement,6,4.0,0.0,5.0,181.0,2.0,0.0
apache.xalan.processor.ProcessorNamespaceAlias,3,4.0,0.0,3.0,180.0,1.0,0.0
apache.xalan.processor.XSLProcessorVersion,1,1.0,0.0,0.0,1.0,1.0,0.0
apache.xalan.processor.XSLTAttributeDef,113,1.0,0.0,9.0,33.0,1.0,1.0
apache.xalan.processor.ProcessorText,2,5.0,0.0,3.0,184.0,1.0,0.0
apache.xalan.res.XSLMessages,49,1.0,0.0,2.0,13.0,12.0,0.0
apache.xalan.res.XSLTErrorResources,11,2.0,0.0,0.0,8.0,7.0,3.0
