Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.xalan.extensions.ExpressionVisitor,3,2.0,0.0,5.0,14.0,2.0,2.0
apache.xalan.extensions.ExtensionHandler,6,1.0,3.0,5.0,7.0,6.0,1.0
apache.xalan.extensions.ExtensionHandlerExsltFunction,23,2.0,0.0,17.0,15.0,7.0,1.0
apache.xalan.extensions.ExtensionHandlerGeneral,26,2.0,0.0,16.0,13.0,6.0,2.0
apache.xalan.extensions.ExtensionHandlerJava,3,2.0,2.0,0.0,10.0,2.0,1.0
apache.xalan.extensions.ExtensionHandlerJavaClass,43,3.0,0.0,9.0,16.0,6.0,1.0
apache.xalan.extensions.ExtensionHandlerJavaPackage,47,3.0,0.0,11.0,16.0,6.0,1.0
apache.xalan.extensions.ExtensionNamespaceSupport,10,1.0,0.0,1.0,3.0,3.0,0.0
apache.xalan.extensions.ExtensionNamespacesManager,23,1.0,0.0,4.0,9.0,8.0,1.0
apache.xalan.extensions.ExtensionsTable,21,1.0,0.0,8.0,7.0,7.0,1.0
apache.xalan.extensions.MethodResolver,109,1.0,0.0,12.0,10.0,5.0,0.0
apache.xalan.extensions.XSLProcessorContext,31,1.0,0.0,20.0,7.0,7.0,0.0
apache.xalan.lib.ExsltCommon,7,1.0,0.0,6.0,2.0,2.0,2.0
apache.xalan.lib.ExsltDatetime,92,1.0,0.0,3.0,44.0,36.0,2.0
apache.xalan.lib.ExsltMath,41,2.0,0.0,1.0,20.0,18.0,1.0
apache.xalan.lib.ExsltSets,23,2.0,0.0,2.0,8.0,6.0,1.0
apache.xalan.lib.Extensions,28,1.0,0.0,10.0,11.0,9.0,1.0
apache.xalan.lib.NodeInfo,20,1.0,0.0,3.0,8.0,8.0,0.0
apache.xalan.lib.PipeDocument,9,1.0,0.0,10.0,2.0,2.0,1.0
apache.xalan.lib.Redirect,35,1.0,0.0,9.0,6.0,3.0,0.0
apache.xalan.lib.sql.ConnectionPoolManager,9,1.0,0.0,3.0,5.0,5.0,1.0
apache.xalan.lib.sql.DTMDocument,235,4.0,2.0,11.0,195.0,66.0,1.0
apache.xalan.lib.sql.DefaultConnectionPool,61,1.0,0.0,3.0,19.0,16.0,1.0
apache.xalan.lib.sql.ObjectArray,12,1.0,0.0,1.0,7.0,6.0,1.0
apache.xalan.lib.sql.PooledConnection,7,1.0,0.0,0.0,5.0,5.0,1.0
apache.xalan.lib.sql.QueryParameter,5,1.0,0.0,0.0,5.0,5.0,1.0
apache.xalan.lib.sql.SQLDocument,66,5.0,0.0,5.0,205.0,5.0,0.0
apache.xalan.lib.sql.SQLErrorDocument,4,5.0,0.0,2.0,199.0,2.0,0.0
apache.xalan.lib.sql.XConnection,86,1.0,0.0,12.0,17.0,14.0,1.0
apache.xalan.processor.ProcessorAttributeSet,3,4.0,0.0,3.0,182.0,2.0,0.0
apache.xalan.processor.ProcessorCharacters,10,4.0,0.0,4.0,184.0,3.0,0.0
apache.xalan.processor.ProcessorDecimalFormat,1,4.0,0.0,3.0,181.0,1.0,2.0
apache.xalan.processor.ProcessorExsltFuncResult,4,5.0,0.0,5.0,184.0,1.0,1.0
apache.xalan.processor.ProcessorExsltFunction,15,5.0,0.0,22.0,188.0,3.0,2.0
apache.xalan.processor.ProcessorGlobalParamDecl,2,5.0,0.0,3.0,185.0,1.0,0.0
apache.xalan.processor.ProcessorGlobalVariableDecl,2,5.0,0.0,3.0,185.0,1.0,0.0
apache.xalan.processor.ProcessorImport,2,5.0,0.0,2.0,188.0,0.0,0.0
apache.xalan.processor.ProcessorInclude,23,4.0,1.0,7.0,186.0,3.0,0.0
apache.xalan.processor.ProcessorKey,10,4.0,0.0,8.0,182.0,1.0,0.0
apache.xalan.processor.ProcessorLRE,29,5.0,0.0,15.0,186.0,2.0,1.0
apache.xalan.processor.ProcessorNamespaceAlias,3,4.0,0.0,3.0,181.0,1.0,0.0
apache.xalan.processor.ProcessorOutputElem,15,4.0,0.0,6.0,193.0,13.0,0.0
apache.xalan.processor.ProcessorPreserveSpace,2,4.0,1.0,5.0,181.0,1.0,0.0
apache.xalan.processor.ProcessorStripSpace,2,5.0,0.0,5.0,182.0,1.0,0.0
apache.xalan.processor.ProcessorStylesheetDoc,0,4.0,0.0,0.0,180.0,0.0,1.0
apache.xalan.processor.ProcessorStylesheetElement,6,4.0,0.0,5.0,182.0,2.0,0.0
apache.xalan.processor.ProcessorTemplate,1,5.0,0.0,3.0,184.0,0.0,0.0
apache.xalan.processor.ProcessorTemplateElem,7,4.0,8.0,3.0,183.0,2.0,1.0
apache.xalan.processor.ProcessorText,2,5.0,0.0,3.0,185.0,1.0,0.0
apache.xalan.processor.ProcessorUnknown,2,5.0,0.0,1.0,185.0,2.0,2.0
apache.xalan.processor.StopParseException,1,2.0,0.0,0.0,1.0,0.0,1.0
apache.xalan.processor.StylesheetHandler,128,2.0,0.0,24.0,69.0,33.0,0.0
apache.xalan.processor.StylesheetPIHandler,38,2.0,0.0,2.0,6.0,6.0,1.0
apache.xalan.processor.TransformerFactoryImpl,82,2.0,0.0,15.0,21.0,19.0,0.0
apache.xalan.processor.WhitespaceInfoPaths,4,5.0,0.0,1.0,194.0,3.0,0.0
apache.xalan.processor.XSLProcessorVersion,1,1.0,0.0,0.0,1.0,1.0,1.0
apache.xalan.processor.XSLTAttributeDef,114,1.0,0.0,11.0,33.0,1.0,2.0
apache.xalan.processor.XSLTElementDef,74,1.0,1.0,6.0,37.0,0.0,0.0
apache.xalan.processor.XSLTElementProcessor,29,3.0,11.0,8.0,180.0,10.0,1.0
apache.xalan.processor.XSLTSchema,6,2.0,0.0,56.0,42.0,2.0,1.0
apache.xalan.res.XSLMessages,6,3.0,0.0,0.0,11.0,2.0,1.0
apache.xalan.res.XSLTErrorResources,6,2.0,10.0,0.0,3.0,2.0,2.0
apache.xalan.serialize.SerializerFactory,2,1.0,0.0,4.0,2.0,1.0,0.0
apache.xalan.templates.AVT,52,1.0,0.0,13.0,14.0,14.0,1.0
apache.xalan.templates.AVTPart,3,1.0,2.0,3.0,6.0,6.0,1.0
apache.xalan.templates.AVTPartSimple,5,2.0,0.0,4.0,11.0,5.0,1.0
apache.xalan.templates.AVTPartXPath,8,2.0,0.0,10.0,13.0,7.0,1.0
apache.xalan.templates.AbsPathChecker,4,2.0,0.0,6.0,15.0,3.0,0.0
apache.xalan.templates.Constants,0,2.0,0.0,0.0,0.0,0.0,0.0
apache.xalan.templates.DecimalFormatProperties,26,3.0,0.0,3.0,190.0,25.0,2.0
apache.xalan.templates.ElemApplyImport,8,3.0,0.0,7.0,169.0,4.0,1.0
apache.xalan.templates.ElemApplyTemplates,43,5.0,0.0,20.0,203.0,8.0,2.0
apache.xalan.templates.ElemAttribute,33,5.0,0.0,8.0,191.0,5.0,3.0
apache.xalan.templates.ElemAttributeSet,10,4.0,0.0,7.0,178.0,7.0,2.0
apache.xalan.templates.ElemCallTemplate,30,4.0,1.0,14.0,195.0,12.0,1.0
apache.xalan.templates.ElemChoose,20,3.0,0.0,9.0,171.0,6.0,1.0
apache.xalan.templates.ElemComment,21,3.0,0.0,5.0,169.0,4.0,1.0
apache.xalan.templates.ElemCopy,10,4.0,0.0,9.0,174.0,3.0,1.0
apache.xalan.templates.ElemCopyOf,23,3.0,0.0,19.0,173.0,7.0,1.0
apache.xalan.templates.ElemElement,41,4.0,1.0,13.0,183.0,8.0,3.0
apache.xalan.templates.ElemEmpty,1,3.0,0.0,0.0,166.0,1.0,1.0
apache.xalan.templates.ElemExsltFuncResult,7,4.0,0.0,5.0,191.0,4.0,2.0
apache.xalan.templates.ElemExsltFunction,15,4.0,0.0,13.0,195.0,9.0,3.0
apache.xalan.templates.ElemExtensionCall,28,5.0,0.0,15.0,211.0,7.0,2.0
apache.xalan.templates.ElemExtensionDecl,31,3.0,0.0,10.0,179.0,14.0,1.0
apache.xalan.templates.ElemExtensionScript,6,3.0,0.0,1.0,171.0,6.0,1.0
apache.xalan.templates.ElemFallback,7,3.0,0.0,3.0,169.0,4.0,2.0
apache.xalan.templates.ElemForEach,39,3.0,1.0,18.0,183.0,17.0,2.0
apache.xalan.templates.ElemIf,15,3.0,0.0,10.0,172.0,6.0,1.0
apache.xalan.templates.ElemLiteralResult,69,4.0,2.0,11.0,202.0,27.0,3.0
apache.xalan.templates.ElemMessage,8,3.0,0.0,6.0,170.0,5.0,1.0
apache.xalan.templates.ElemNumber,188,3.0,0.0,24.0,205.0,26.0,1.0
apache.xalan.templates.ElemOtherwise,2,3.0,0.0,1.0,167.0,2.0,1.0
apache.xalan.templates.ElemPI,29,3.0,0.0,9.0,172.0,7.0,2.0
apache.xalan.templates.ElemParam,10,4.0,0.0,9.0,193.0,6.0,2.0
apache.xalan.templates.ElemSort,20,3.0,0.0,6.0,179.0,14.0,1.0
apache.xalan.templates.ElemTemplate,24,3.0,2.0,11.0,186.0,21.0,1.0
apache.xalan.templates.ElemTemplateElement,164,2.0,29.0,16.0,165.0,74.0,4.0
apache.xalan.templates.ElemText,6,3.0,0.0,2.0,170.0,5.0,1.0
apache.xalan.templates.ElemTextLiteral,16,3.0,0.0,5.0,175.0,10.0,1.0
apache.xalan.templates.ElemUnknown,1,5.0,0.0,1.0,203.0,1.0,2.0
apache.xalan.templates.ElemUse,14,3.0,4.0,5.0,171.0,5.0,2.0
apache.xalan.templates.ElemValueOf,23,3.0,0.0,14.0,175.0,9.0,1.0
apache.xalan.templates.ElemVariable,42,3.0,3.0,20.0,187.0,19.0,2.0
apache.xalan.templates.ElemVariablePsuedo,2,4.0,0.0,5.0,189.0,2.0,0.0
apache.xalan.templates.ElemWhen,9,3.0,0.0,6.0,172.0,6.0,1.0
apache.xalan.templates.ElemWithParam,17,3.0,0.0,15.0,175.0,9.0,2.0
apache.xalan.templates.FuncDocument,43,5.0,0.0,13.0,63.0,5.0,2.0
apache.xalan.templates.FuncFormatNumb,13,6.0,0.0,12.0,68.0,3.0,2.0
apache.xalan.templates.FuncKey,9,5.0,0.0,11.0,57.0,1.0,1.0
apache.xalan.templates.KeyDeclaration,11,3.0,0.0,5.0,174.0,9.0,2.0
apache.xalan.templates.NamespaceAlias,10,3.0,0.0,1.0,175.0,10.0,0.0
apache.xalan.templates.OutputProperties,54,3.0,0.0,8.0,197.0,32.0,2.0
apache.xalan.templates.RedundentExprEliminator,160,3.0,0.0,30.0,57.0,6.0,0.0
apache.xalan.templates.Stylesheet,152,3.0,1.0,18.0,238.0,70.0,0.0
apache.xalan.templates.StylesheetComposed,31,4.0,1.0,1.0,249.0,9.0,0.0
apache.xalan.templates.StylesheetRoot,91,5.0,0.0,23.0,298.0,34.0,0.0
apache.xalan.templates.TemplateList,104,1.0,0.0,16.0,19.0,9.0,2.0
apache.xalan.templates.TemplateSubPatternAssociation,15,1.0,0.0,7.0,15.0,12.0,0.0
apache.xalan.templates.VarNameCollector,4,2.0,0.0,3.0,16.0,3.0,0.0
apache.xalan.templates.WhiteSpaceInfo,4,4.0,1.0,3.0,190.0,4.0,0.0
apache.xalan.templates.XMLNSDecl,4,1.0,0.0,0.0,4.0,4.0,0.0
apache.xalan.templates.XSLTVisitor,8,2.0,1.0,5.0,20.0,0.0,0.0
apache.xalan.templates.XUnresolvedVariable,9,3.0,0.0,7.0,78.0,6.0,0.0
apache.xalan.templates.XUnresolvedVariableSimple,4,3.0,0.0,3.0,76.0,4.0,0.0
apache.xalan.trace.EndSelectionEvent,1,2.0,0.0,4.0,2.0,1.0,1.0
apache.xalan.trace.GenerateEvent,5,1.0,0.0,1.0,5.0,5.0,1.0
apache.xalan.trace.PrintTraceListener,36,1.0,0.0,18.0,7.0,7.0,1.0
apache.xalan.trace.SelectionEvent,1,1.0,1.0,4.0,1.0,1.0,1.0
apache.xalan.trace.TraceManager,32,1.0,0.0,13.0,13.0,13.0,0.0
apache.xalan.trace.TracerEvent,11,1.0,0.0,3.0,3.0,3.0,1.0
apache.xalan.transformer.ClonerToResultTree,14,1.0,0.0,5.0,1.0,1.0,1.0
apache.xalan.transformer.Counter,7,1.0,0.0,4.0,3.0,0.0,1.0
apache.xalan.transformer.CountersTable,16,2.0,0.0,5.0,5.0,2.0,1.0
apache.xalan.transformer.DecimalToRoman,1,1.0,0.0,0.0,1.0,1.0,1.0
apache.xalan.transformer.KeyIterator,9,8.0,0.0,7.0,157.0,3.0,1.0
apache.xalan.transformer.KeyManager,8,1.0,0.0,8.0,1.0,1.0,0.0
apache.xalan.transformer.KeyRefIterator,14,7.0,0.0,14.0,150.0,2.0,1.0
apache.xalan.transformer.KeyTable,20,1.0,0.0,15.0,8.0,4.0,1.0
apache.xalan.transformer.MsgMgr,17,1.0,0.0,2.0,12.0,12.0,1.0
apache.xalan.transformer.NodeSortKey,4,1.0,0.0,5.0,1.0,0.0,1.0
apache.xalan.transformer.NodeSorter,36,1.0,0.0,7.0,4.0,2.0,2.0
apache.xalan.transformer.NumeratorFormatter,12,1.0,0.0,3.0,3.0,0.0,1.0
apache.xalan.transformer.QueuedEvents,6,1.0,0.0,2.0,6.0,1.0,0.0
apache.xalan.transformer.ResultNameSpace,1,1.0,0.0,0.0,1.0,1.0,1.0
apache.xalan.transformer.SerializerSwitcher,15,1.0,0.0,4.0,3.0,2.0,0.0
apache.xalan.transformer.StackGuard,18,1.0,0.0,9.0,6.0,5.0,0.0
apache.xalan.transformer.TrAXFilter,23,2.0,0.0,3.0,8.0,7.0,1.0
apache.xalan.transformer.TransformSnapshotImpl,9,1.0,0.0,13.0,2.0,0.0,0.0
apache.xalan.transformer.TransformerHandlerImpl,105,1.0,0.0,9.0,35.0,33.0,0.0
apache.xalan.transformer.TransformerIdentityImpl,126,2.0,0.0,12.0,43.0,41.0,4.0
apache.xalan.transformer.TransformerImpl,295,2.0,0.0,67.0,129.0,122.0,9.0
apache.xalan.transformer.TreeWalker2Result,10,2.0,0.0,6.0,14.0,2.0,1.0
apache.xalan.transformer.XSLInfiniteLoopException,2,1.0,0.0,0.0,2.0,1.0,1.0
apache.xalan.transformer.XalanProperties,0,1.0,0.0,0.0,0.0,0.0,0.0
apache.xalan.xslt.EnvironmentCheck,17,1.0,0.0,0.0,5.0,3.0,1.0
apache.xalan.xslt.Process,147,1.0,0.0,12.0,6.0,1.0,2.0
apache.xml.dtm.DTMAxisTraverser,2,1.0,12.0,0.0,4.0,4.0,0.0
