Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.html.dom.CollectionIndex,1.0,0.0,0.0,0.0,4.0,0,0.0
org.apache.html.dom.HTMLAnchorElementImpl,6.0,0.0,1.0,0.0,177.0,0,0.0
org.apache.html.dom.HTMLAppletElementImpl,6.0,0.0,1.0,0.0,173.0,0,0.0
org.apache.html.dom.HTMLAreaElementImpl,6.0,0.0,1.0,0.0,167.0,0,0.0
org.apache.html.dom.HTMLBRElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLBaseElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLBaseFontElementImpl,6.0,0.0,1.0,0.0,157.0,0,0.0
org.apache.html.dom.HTMLBodyElementImpl,6.0,0.0,1.0,0.0,163.0,0,0.0
org.apache.html.dom.HTMLBuilder,1.0,65.0,13.0,0.0,10.0,0,0.0
org.apache.html.dom.HTMLButtonElementImpl,6.0,0.0,1.0,0.0,162.0,0,0.0
org.apache.html.dom.HTMLCollectionImpl,1.0,61.0,15.0,0.0,9.0,3,0.0
org.apache.html.dom.HTMLDListElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLDOMImplementationImpl,2.0,66.0,3.0,0.0,7.0,1,0.0
org.apache.html.dom.HTMLDirectoryElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLDivElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLDocumentImpl,4.0,94.0,17.0,0.0,171.0,3,0.0
org.apache.html.dom.HTMLElementImpl,5.0,0.0,3.0,52.0,150.0,0,0.0
org.apache.html.dom.HTMLFieldSetElementImpl,6.0,0.0,1.0,0.0,151.0,0,0.0
org.apache.html.dom.HTMLFontElementImpl,6.0,0.0,1.0,0.0,157.0,0,0.0
org.apache.html.dom.HTMLFormControl,0.0,0.0,0.0,7.0,0.0,0,0.0
org.apache.html.dom.HTMLFormElementImpl,6.0,94.0,3.0,0.0,167.0,0,0.0
org.apache.html.dom.HTMLFrameElementImpl,6.0,0.0,1.0,0.0,167.0,0,0.0
org.apache.html.dom.HTMLFrameSetElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLHRElementImpl,6.0,0.0,1.0,0.0,159.0,0,0.0
org.apache.html.dom.HTMLHeadElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLHeadingElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLHtmlElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLIFrameElementImpl,6.0,0.0,1.0,0.0,171.0,0,0.0
org.apache.html.dom.HTMLImageElementImpl,6.0,0.0,1.0,0.0,177.0,0,0.0
org.apache.html.dom.HTMLInputElementImpl,6.0,0.0,1.0,0.0,188.0,0,0.0
org.apache.html.dom.HTMLIsIndexElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLLIElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLLabelElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLLegendElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLLinkElementImpl,6.0,0.0,1.0,0.0,169.0,0,0.0
org.apache.html.dom.HTMLMapElementImpl,6.0,75.0,3.0,0.0,154.0,0,0.0
org.apache.html.dom.HTMLMenuElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLMetaElementImpl,6.0,0.0,1.0,0.0,159.0,0,0.0
org.apache.html.dom.HTMLModElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLOListElementImpl,6.0,0.0,1.0,0.0,157.0,0,0.0
org.apache.html.dom.HTMLObjectElementImpl,6.0,0.0,1.0,0.0,185.0,0,0.0
org.apache.html.dom.HTMLOptGroupElementImpl,6.0,0.0,1.0,0.0,155.0,0,0.0
org.apache.html.dom.HTMLOptionElementImpl,6.0,0.0,5.0,0.0,165.0,0,0.0
org.apache.html.dom.HTMLParagraphElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLParamElementImpl,6.0,0.0,1.0,0.0,159.0,0,0.0
org.apache.html.dom.HTMLPreElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLQuoteElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLScriptElementImpl,6.0,0.0,4.0,0.0,165.0,0,0.0
org.apache.html.dom.HTMLSelectElementImpl,6.0,95.0,5.0,0.0,172.0,0,0.0
org.apache.html.dom.HTMLStyleElementImpl,6.0,0.0,1.0,0.0,157.0,0,0.0
org.apache.html.dom.HTMLTableCaptionElementImpl,6.0,0.0,1.0,0.0,153.0,0,0.0
org.apache.html.dom.HTMLTableCellElementImpl,6.0,0.0,2.0,0.0,181.0,0,0.0
org.apache.html.dom.HTMLTableColElementImpl,6.0,0.0,1.0,0.0,163.0,0,0.0
org.apache.html.dom.HTMLTableElementImpl,6.0,97.0,9.0,0.0,186.0,0,0.0
org.apache.html.dom.HTMLTableRowElementImpl,6.0,95.0,9.0,0.0,170.0,0,0.0
org.apache.html.dom.HTMLTableSectionElementImpl,6.0,92.0,5.0,0.0,164.0,0,0.0
org.apache.html.dom.HTMLTextAreaElementImpl,6.0,0.0,1.0,0.0,173.0,0,0.0
org.apache.html.dom.HTMLTitleElementImpl,6.0,0.0,4.0,0.0,153.0,0,0.0
