,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.tools.ant.AntClassLoader,2,2,3,1,19,0,11,7,2,1,5,40,39,15,40,1,10,3,26,985,105,495,113,299,385,208,314,114,200,10,10,12,0.78,114,114,121,62,4,0
1,File,org.apache.tools.ant.BuildEvent,1,1,1,1,8,0,3,4,1,0,0,11,11,6,11,0,0,0,11,164,14,53,20,22,97,29,41,20,21,1,1,1,1.83,11,11,11,11,0,0
2,File,org.apache.tools.ant.BuildException,1,1,1,1,7,0,4,3,1,0,0,14,14,2,14,0,0,0,14,193,19,65,19,28,109,27,46,19,27,2,2,2,1.68,16,16,16,14,1,0
3,File,org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,1,0,0,7,7,0,7,0,0,0,7,119,11,11,10,0,97,9,10,10,0,0,0,0,8.82,0,0,0,0,0,0
4,File,org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,1,0,0,4,4,0,4,0,0,0,4,104,7,8,7,0,89,6,7,7,0,0,0,0,11.13,0,0,0,0,0,0
5,File,org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,3,2,0,12,1,2,2,0,0,0,0,4.0,0,0,0,0,0,0
6,File,org.apache.tools.ant.DefaultLogger,2,2,2,1,10,0,6,3,1,1,2,12,11,5,12,0,0,1,11,213,31,87,28,46,95,34,56,29,27,6,6,6,1.09,25,25,26,12,4,1
7,File,org.apache.tools.ant.DemuxOutputStream,1,1,1,1,9,0,6,3,1,0,1,7,7,4,7,0,2,1,4,151,14,55,22,29,82,28,41,22,19,4,4,5,1.49,12,12,13,7,2,0
8,File,org.apache.tools.ant.DesirableFilter,9,9,11,9,55,10,27,18,1,0,0,1,1,0,1,0,0,0,1,132,22,33,6,17,77,13,23,6,17,9,9,11,2.33,9,9,11,9,1,0
9,File,org.apache.tools.ant.DirectoryScanner,5,5,6,3,32,1,21,9,1,3,1,22,19,10,22,0,0,8,14,979,104,496,103,329,386,270,398,122,276,28,28,35,0.78,128,128,141,85,5,0
10,File,org.apache.tools.ant.ExitException,1,1,1,1,5,0,3,1,1,0,0,2,2,1,2,0,0,0,2,76,4,11,5,3,61,5,8,5,3,1,1,1,5.55,2,2,2,2,0,0
11,File,org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,1,0,0,13,13,0,13,0,0,0,13,155,2,17,16,0,136,15,16,16,0,0,0,0,8.0,0,0,0,0,0,0
12,File,org.apache.tools.ant.IntrospectionHelper,2,2,3,1,15,1,12,1,22,1,1,42,41,7,42,0,3,1,38,662,82,438,101,305,142,162,256,101,155,15,15,39,0.32,96,96,125,64,3,0
13,File,org.apache.tools.ant.Launcher,3,3,3,1,21,1,18,1,2,5,0,6,1,0,6,0,4,0,2,201,18,116,45,80,67,66,87,45,42,6,6,6,0.58,20,20,20,11,3,0
14,File,org.apache.tools.ant.Location,1,1,1,1,10,1,5,3,1,0,1,4,4,3,4,0,1,0,3,111,11,30,11,14,70,16,23,11,12,3,3,3,2.33,6,6,6,4,2,0
15,File,org.apache.tools.ant.Main,5,5,5,2,34,2,25,5,1,10,2,16,6,11,16,0,11,2,3,685,80,426,95,324,182,244,323,92,231,29,29,34,0.43,86,86,94,37,3,0
