,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.camel.Body,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,2,9,8,0,22,5,6,6,0,0,0,0,2.44,0,0,0,0,0,0.0
1,File,org.apache.camel.CamelContext,0,0,0,0,0,0,0,0,1,0,0,17,17,0,17,17,0,0,0,168,26,26,25,0,116,24,25,25,0,0,0,0,4.46,0,0,0,0,0,1.0
2,File,org.apache.camel.CamelException,1,1,1,1,2,0,2,0,1,0,0,4,4,0,4,0,0,0,4,41,5,14,6,3,22,4,9,6,3,1,1,1,1.57,4,4,4,4,0,0.0
3,File,org.apache.camel.CamelTemplate,1,1,1,1,7,0,5,2,5,0,0,29,29,5,29,0,0,5,24,279,33,142,54,71,104,64,101,55,46,5,5,5,0.73,35,35,35,29,3,0.0
4,File,org.apache.camel.Component,0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,0,0,0,47,5,6,5,0,36,4,5,5,0,0,0,0,6.0,0,0,0,0,0,0.0
5,File,org.apache.camel.Consumer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,1,3,2,0,22,1,2,2,0,0,0,0,7.33,0,0,0,0,0,0.0
6,File,org.apache.camel.Converter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,2,9,8,0,22,5,6,6,0,0,0,0,2.44,0,0,0,0,0,0.0
7,File,org.apache.camel.Endpoint,0,0,0,0,0,0,0,0,1,0,0,9,9,0,9,9,0,0,0,92,11,12,11,0,69,10,11,11,0,0,0,0,5.75,0,0,0,0,0,0.0
8,File,org.apache.camel.EndpointInject,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,2,0,0,0,38,2,11,10,0,25,7,8,8,0,0,0,0,2.27,0,0,0,0,0,0.0
9,File,org.apache.camel.Exchange,0,0,0,0,0,0,0,0,1,0,0,15,15,0,15,15,0,0,0,136,20,19,18,0,97,17,18,18,0,0,0,0,5.11,0,0,0,0,0,0.0
10,File,org.apache.camel.ExpectedBodyTypeException,1,1,1,1,3,0,3,0,1,0,0,3,3,2,3,0,0,0,3,42,4,16,7,5,22,8,12,7,5,1,1,1,1.38,3,3,3,3,0,0.0
11,File,org.apache.camel.Expression,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,39,2,4,3,0,33,2,3,3,0,0,0,0,8.25,0,0,0,0,0,0.0
