Unnamed: 0,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,bsh.ASCII_UCodeESC_CharStream,3,2,3,1,17,1,15,0,1,1,1,27,26,16,27,1,5,0,21,521,75,428,65,263,20,186,251,57,194,23,15,23,0.05,91,68,94,34,6,0.0
1,File,bsh.BSHAllocationExpression,2,2,2,1,16,1,13,1,1,0,0,8,8,0,8,1,6,0,1,187,22,116,46,66,49,42,61,27,34,3,3,3,0.42,20,20,20,14,2,0.0
2,File,bsh.BSHAmbiguousName,1,1,1,1,4,0,4,0,1,0,0,7,7,1,7,1,0,0,6,81,11,34,13,9,36,9,17,10,7,1,1,1,1.06,7,7,7,7,0,0.0
3,File,bsh.BSHArguments,1,1,1,1,5,0,4,0,1,0,0,2,2,0,2,1,0,0,1,52,6,13,6,5,33,7,11,6,5,2,2,2,2.54,3,3,3,2,1,0.0
4,File,bsh.BSHArrayDimensions,2,2,2,1,20,2,14,3,1,0,0,4,4,3,4,1,0,0,3,136,19,65,20,38,52,29,41,17,24,8,8,8,0.8,11,11,11,4,3,0.0
5,File,bsh.BSHArrayInitializer,3,3,3,1,21,2,16,3,1,0,0,4,4,0,4,1,1,0,2,130,17,69,21,43,46,30,42,16,26,8,8,8,0.67,12,12,12,4,3,0.0
6,File,bsh.BSHAssignment,10,4,13,6,36,7,26,2,1,0,0,3,3,1,3,1,1,0,1,151,27,85,13,64,39,29,44,9,35,22,7,22,0.46,30,14,41,18,2,0.0
7,File,bsh.BSHBinaryExpression,5,5,10,4,39,4,19,15,1,0,0,4,4,1,4,1,2,0,1,215,27,85,18,61,103,29,51,16,35,20,18,33,1.21,23,21,40,18,3,0.0
8,File,bsh.BSHBlock,2,2,2,1,15,1,10,2,1,0,0,3,3,0,3,1,0,0,2,87,11,36,15,17,40,16,24,11,13,5,5,5,1.11,7,7,7,5,2,0.0
9,File,bsh.BSHCastExpression,4,4,4,1,25,2,16,7,1,4,0,6,2,0,6,0,0,0,6,203,25,99,23,74,80,42,70,19,51,15,15,15,0.81,27,27,29,11,2,0.0
10,File,bsh.BSHForStatement,8,7,8,3,43,7,28,9,1,0,0,2,2,8,2,1,0,0,1,141,23,68,21,42,54,34,50,19,31,16,14,16,0.79,17,15,17,6,4,0.0
11,File,bsh.BSHFormalParameter,1,1,1,1,7,0,5,2,1,0,1,2,2,2,2,1,0,0,1,64,7,17,8,7,40,8,12,7,5,2,2,2,2.35,3,3,3,2,1,0.0
12,File,bsh.BSHFormalParameters,1,1,1,1,11,1,8,2,1,0,0,2,2,3,2,1,0,0,1,77,10,23,9,10,44,15,19,9,10,2,2,2,1.91,3,3,3,2,1,0.0
13,File,bsh.BSHIfStatement,3,3,3,1,11,1,10,0,1,1,0,3,2,0,3,1,0,0,2,76,8,36,10,22,32,12,22,7,15,4,4,4,0.89,9,9,9,3,2,0.0
14,File,bsh.BSHImportDeclaration,2,2,2,1,9,1,8,0,1,0,0,2,2,2,2,1,0,0,1,63,8,23,10,11,32,10,15,8,7,3,3,3,1.39,4,4,4,2,2,0.0
15,File,bsh.BSHLHSPrimaryExpression,2,2,2,1,20,2,11,7,1,0,0,2,2,0,2,1,0,0,1,82,10,26,10,18,46,12,18,9,9,4,4,4,1.77,5,5,5,2,1,0.0
16,File,bsh.BSHLHSPrimarySuffix,3,2,3,2,15,1,13,0,1,0,3,5,5,4,5,1,3,0,1,144,18,83,31,42,45,28,41,17,24,6,4,6,0.54,15,13,15,10,2,0.0
17,File,bsh.BSHLiteral,4,2,4,2,18,2,15,0,1,0,0,5,5,1,5,2,1,0,2,139,22,81,13,51,36,35,50,13,37,9,6,9,0.44,21,14,21,10,5,0.0
18,File,bsh.BSHMethodDeclaration,3,3,3,1,23,2,14,6,1,0,0,3,3,4,3,1,0,0,2,125,15,51,11,25,60,20,30,11,19,7,7,7,1.18,9,9,9,3,4,0.0
19,File,bsh.BSHMethodInvocation,3,3,3,2,21,2,14,4,1,0,0,2,2,0,2,1,0,0,1,83,9,33,12,22,41,15,21,10,11,6,6,6,1.24,7,7,7,5,3,0.0
20,File,bsh.BSHPrimaryExpression,2,2,2,1,13,2,8,3,1,0,0,2,2,0,2,1,0,0,1,74,10,20,7,12,44,10,16,7,9,4,4,4,2.2,5,5,5,2,2,0.0
21,File,bsh.BSHPrimarySuffix,4,4,4,3,26,2,19,4,1,1,4,6,5,3,6,2,3,0,1,233,27,134,40,77,72,46,71,22,49,10,8,10,0.54,27,25,28,18,2,0.0
22,File,bsh.BSHPrimitiveType,1,1,1,1,1,0,1,0,1,0,0,2,2,1,2,1,0,0,1,45,6,7,5,2,32,4,7,5,2,1,1,1,4.57,2,2,2,2,0,0.0
23,File,bsh.BSHReturnStatement,1,1,1,1,6,0,5,0,1,0,0,2,2,1,2,1,0,0,1,55,7,16,7,6,32,7,11,6,5,2,2,2,2.0,3,3,3,2,1,0.0
24,File,bsh.BSHReturnType,1,1,1,1,4,0,4,0,1,0,0,2,2,1,2,1,0,0,1,51,6,13,5,5,32,5,9,5,4,2,2,2,2.46,3,3,3,2,1,0.0
25,File,bsh.BSHStatementExpressionList,1,1,1,1,6,0,6,0,1,0,0,2,2,0,2,1,0,0,1,53,5,16,7,6,32,8,12,7,5,2,2,2,2.0,3,3,3,2,1,0.0
26,File,bsh.BSHSwitchLabel,1,1,1,1,4,0,4,0,1,0,0,2,2,1,2,0,0,0,2,49,4,13,7,5,33,6,10,6,4,2,2,2,2.54,3,3,3,2,1,0.0
27,File,bsh.BSHSwitchStatement,5,5,7,4,32,2,24,6,1,0,0,2,2,0,2,0,0,0,2,109,11,54,16,30,44,21,33,12,21,10,10,13,0.81,11,11,14,9,4,0.0
28,File,bsh.BSHTernaryExpression,1,1,1,1,7,0,6,0,1,0,0,2,2,0,2,1,0,0,1,60,7,16,9,8,37,5,9,5,4,2,2,2,2.31,3,3,3,2,1,0.0
29,File,bsh.BSHThrowStatement,1,1,1,1,7,1,4,1,1,0,0,2,2,0,2,1,0,0,1,55,7,13,6,5,35,5,9,5,4,2,2,2,2.69,3,3,3,2,1,0.0
30,File,bsh.BSHTryStatement,7,7,8,3,55,8,36,11,1,0,0,2,2,0,2,1,0,0,1,153,22,77,23,55,55,41,57,21,36,14,14,15,0.71,15,15,16,6,4,0.0
31,File,bsh.BSHType,1,1,1,1,10,0,6,3,1,0,0,6,6,3,6,1,0,0,5,127,14,48,17,24,66,22,33,15,18,5,5,5,1.38,10,10,10,6,2,0.0
32,File,bsh.BSHTypedVariableDeclaration,3,3,4,1,23,3,14,6,1,0,0,3,3,1,3,2,0,0,1,122,16,47,15,30,59,20,31,14,17,6,6,6,1.26,10,10,13,5,3,0.0
33,File,bsh.BSHUnaryExpression,3,3,4,2,14,1,13,0,1,0,0,5,5,2,5,1,3,0,1,120,16,71,17,46,33,31,50,15,35,10,10,11,0.46,18,18,21,14,3,0.0
34,File,bsh.BSHVariableDeclarator,2,2,2,1,21,2,10,9,1,0,0,2,2,1,2,1,0,0,1,90,10,25,9,13,55,8,13,7,6,3,3,4,2.2,4,4,5,2,2,0.0
35,File,bsh.BSHWhileStatement,5,4,6,4,26,4,21,1,1,0,0,2,2,1,2,1,0,0,1,99,15,48,11,32,38,20,30,10,20,10,8,11,0.79,11,9,12,9,3,0.0
