Unnamed: 0,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.lucene.LucenePackage,1,1,1,1,2,0,2,1,1,1,0,2,1,0,2,0,1,0,1,29,4,7,4,1,19,2,5,4,1,1,1,1,2.71,2,2,2,2,0,0
1,File,org.apache.lucene.analysis.Analyzer,1,1,1,1,17,0,4,13,1,0,0,2,2,0,2,0,0,0,2,59,6,9,5,1,44,4,6,5,1,1,1,1,4.89,1,1,1,1,0,1
2,File,org.apache.lucene.analysis.CachingTokenFilter,1,1,1,1,6,0,5,0,1,0,0,4,4,2,4,0,1,0,3,68,10,30,12,10,28,14,22,12,10,3,3,3,0.93,7,7,7,4,1,2
3,File,org.apache.lucene.analysis.CharTokenizer,3,3,3,3,15,2,11,3,1,0,2,4,4,5,4,0,0,2,2,86,15,46,16,31,31,26,37,16,21,9,9,9,0.67,11,11,11,9,3,2
4,File,org.apache.lucene.analysis.ISOLatin1AccentFilter,23,2,23,1,46,0,45,22,1,1,0,3,2,0,3,0,0,0,3,168,4,138,7,127,91,61,68,8,60,67,3,67,0.66,70,6,70,3,2,3
5,File,org.apache.lucene.analysis.KeywordAnalyzer,1,1,1,1,4,0,4,0,1,0,0,1,1,0,1,0,0,0,1,31,3,8,5,1,20,3,5,4,1,1,1,1,2.5,1,1,1,1,0,1
6,File,org.apache.lucene.analysis.KeywordTokenizer,2,2,2,2,8,0,7,0,1,0,1,3,3,2,3,0,0,0,3,59,9,31,13,15,19,19,26,13,13,4,4,4,0.61,6,6,6,6,3,3
7,File,org.apache.lucene.analysis.LengthFilter,2,2,2,2,13,0,8,5,1,0,0,2,2,2,2,0,0,0,2,61,6,23,8,8,32,12,17,9,8,3,3,4,1.39,4,4,5,4,2,1
8,File,org.apache.lucene.analysis.LetterTokenizer,1,1,1,1,4,0,3,1,1,0,0,2,2,0,2,0,0,1,1,40,6,10,5,2,24,4,7,5,2,1,1,1,2.4,2,2,2,2,0,0
9,File,org.apache.lucene.analysis.LowerCaseFilter,1,1,1,1,6,1,5,0,1,0,0,2,2,0,2,0,0,0,2,42,7,14,6,6,21,7,11,6,5,2,2,2,1.5,3,3,3,2,1,1
10,File,org.apache.lucene.analysis.LowerCaseTokenizer,1,1,1,1,4,0,3,1,1,0,0,2,2,0,2,0,0,1,1,43,4,10,5,2,29,4,7,5,2,1,1,1,2.9,2,2,2,2,0,0
11,File,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,1,1,1,1,7,0,4,2,1,0,0,5,5,2,5,0,0,0,5,89,10,30,14,12,49,15,23,14,9,2,2,2,1.63,7,7,7,5,1,0
12,File,org.apache.lucene.analysis.PorterStemFilter,2,2,2,1,8,0,7,1,1,0,0,2,2,1,2,0,0,0,2,60,5,20,8,10,36,10,15,8,7,3,3,3,1.8,4,4,4,2,2,1
13,File,org.apache.lucene.analysis.PorterStemmer,5,4,6,4,14,0,12,2,1,1,2,27,26,6,27,2,12,0,13,547,70,340,52,260,141,231,365,56,309,34,24,37,0.41,160,134,178,124,5,1
