,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.synapse.Constants,0,0,0,0,0,0,0,0,1,0,5,0,0,57,0,0,0,0,0,217,49,69,68,62,100,66,67,67,0,0,0,0,1.45,0,0,0,0,0,0.0
1,File,org.apache.synapse.FaultHandler,3,3,3,1,13,2,11,0,1,1,0,4,3,0,4,0,1,0,3,86,14,41,14,21,31,19,29,14,15,5,5,6,0.76,9,9,11,3,2,0.0
2,File,org.apache.synapse.Mediator,0,0,0,0,0,0,0,0,1,0,0,4,4,0,4,0,0,0,4,59,7,8,7,0,44,6,7,7,0,0,0,0,5.5,0,0,0,0,0,0.0
3,File,org.apache.synapse.MessageContext,0,0,0,0,0,0,0,0,1,0,0,47,47,0,47,0,0,0,47,317,54,59,58,0,204,57,58,58,0,0,0,0,3.46,0,0,0,0,0,0.0
4,File,org.apache.synapse.SynapseException,1,1,1,1,3,0,3,0,1,0,1,3,3,0,3,0,0,0,3,41,7,13,6,4,21,5,9,6,3,1,1,1,1.62,3,3,3,3,0,0.0
5,File,org.apache.synapse.SynapseServer,5,5,5,2,31,4,26,1,1,3,1,3,0,0,3,0,1,0,2,141,21,94,32,61,26,49,66,28,38,9,9,9,0.28,16,16,17,6,4,1.0
6,File,org.apache.synapse.config.Entry,1,1,1,1,3,0,3,0,1,0,5,24,24,7,24,0,1,0,23,171,31,97,42,35,43,43,70,42,28,2,2,3,0.44,26,26,27,24,1,0.0
7,File,org.apache.synapse.config.SynapseConfiguration,1,1,2,1,11,0,6,4,1,0,1,29,29,5,29,0,1,0,28,438,46,228,75,122,164,109,165,75,90,5,5,8,0.72,55,55,65,40,4,0.0
8,File,org.apache.synapse.config.SynapseConfigurationBuilder,1,1,1,1,12,0,8,4,1,3,1,3,0,0,3,0,1,0,2,82,11,38,19,18,33,26,31,19,12,3,3,3,0.87,5,5,5,5,1,0.0
9,File,org.apache.synapse.config.Util,3,3,3,2,20,1,14,4,1,7,1,7,0,0,7,0,2,0,5,192,24,122,43,75,47,67,89,41,48,6,6,6,0.39,21,21,21,20,3,0.0
10,File,org.apache.synapse.config.XMLToObjectMapper,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,36,4,5,4,0,27,3,4,4,0,0,0,0,5.4,0,0,0,0,0,0.0
11,File,org.apache.synapse.config.xml.AbstractListMediatorFactory,3,3,3,1,14,0,14,0,1,1,1,1,0,0,1,0,0,1,0,53,6,25,15,11,22,16,20,15,5,3,3,3,0.88,3,3,3,1,2,0.0
12,File,org.apache.synapse.config.xml.AbstractListMediatorSerializer,2,2,2,1,8,0,8,0,1,2,1,2,0,0,2,0,1,1,0,54,8,28,15,11,18,16,21,15,6,3,3,3,0.64,4,4,4,2,2,0.0
13,File,org.apache.synapse.config.xml.AbstractMediatorFactory,5,5,5,1,22,2,14,6,1,0,0,1,1,0,1,0,0,1,0,52,7,21,10,9,24,9,15,9,6,5,5,5,1.14,5,5,5,1,3,0.0
14,File,org.apache.synapse.config.xml.AbstractMediatorSerializer,2,2,2,1,12,1,10,1,1,2,4,5,3,0,5,0,1,1,3,111,16,70,31,38,25,38,53,31,22,5,5,5,0.36,14,14,14,5,2,0.0
15,File,org.apache.synapse.config.xml.AnonymousListMediator,1,1,1,1,3,0,3,0,1,0,0,1,1,0,1,0,0,0,1,35,5,8,5,1,22,4,6,5,1,1,1,1,2.75,1,1,1,1,0,0.0
16,File,org.apache.synapse.config.xml.AnonymousListMediatorFactory,1,1,1,1,12,0,7,5,1,1,1,1,0,0,1,0,0,0,1,52,8,17,11,4,27,11,13,11,2,1,1,1,1.59,1,1,1,1,0,0.0
17,File,org.apache.synapse.config.xml.AnonymousListMediatorSerializer,1,1,1,1,9,0,6,3,1,2,1,2,0,0,2,0,1,0,1,55,6,21,11,8,28,13,17,11,6,2,2,2,1.33,3,3,3,2,1,0.0
18,File,org.apache.synapse.config.xml.ClassMediatorFactory,2,2,2,1,14,2,11,1,1,0,2,2,2,0,2,0,0,0,2,78,13,36,19,19,29,25,30,19,11,3,3,3,0.81,4,4,4,2,1,0.0
19,File,org.apache.synapse.config.xml.ClassMediatorSerializer,2,2,2,1,10,1,9,0,1,0,1,3,3,0,3,0,1,0,2,74,11,38,15,19,25,21,28,15,13,4,4,4,0.66,6,6,6,3,1,0.0
20,File,org.apache.synapse.config.xml.Constants,0,0,0,0,0,0,0,0,1,0,19,0,0,19,0,0,0,0,0,103,10,51,50,38,42,40,41,41,0,0,0,0,0.82,0,0,0,0,0,0.0
21,File,org.apache.synapse.config.xml.DropMediatorFactory,1,1,1,1,6,1,4,1,1,0,1,2,2,0,2,0,0,0,2,52,9,16,10,5,27,10,13,10,3,1,1,1,1.69,2,2,2,2,0,0.0
22,File,org.apache.synapse.config.xml.DropMediatorSerializer,1,1,1,1,7,1,6,0,1,0,1,3,3,0,3,0,1,0,2,58,10,30,14,12,18,17,23,14,9,3,3,3,0.6,5,5,5,3,1,0.0
23,File,org.apache.synapse.config.xml.EntryFactory,3,3,3,1,17,2,14,1,1,2,1,3,1,0,3,0,1,0,2,94,14,59,23,33,21,35,45,23,22,6,6,7,0.36,9,9,10,3,3,0.0
24,File,org.apache.synapse.config.xml.EntrySerializer,5,5,6,3,22,0,18,3,1,2,4,2,0,0,2,0,1,0,1,88,7,56,26,33,25,33,44,25,19,9,9,11,0.45,10,10,12,6,2,0.0
25,File,org.apache.synapse.config.xml.FaultMediatorFactory,9,9,11,1,62,7,53,1,1,0,12,2,2,0,2,0,0,0,2,193,26,134,53,100,33,86,106,53,53,18,18,21,0.25,19,19,22,2,3,0.0
26,File,org.apache.synapse.config.xml.FaultMediatorSerializer,4,4,4,1,25,4,21,0,1,0,3,3,3,0,3,0,1,0,2,130,24,77,22,52,29,39,54,22,32,12,12,12,0.38,14,14,14,3,1,0.0
27,File,org.apache.synapse.config.xml.FilterMediatorFactory,4,4,7,1,32,3,28,1,1,0,2,2,2,0,2,0,0,0,2,117,15,73,28,48,29,46,56,28,28,8,8,13,0.4,9,9,14,2,3,0.0
28,File,org.apache.synapse.config.xml.FilterMediatorSerializer,2,2,2,1,14,2,11,0,1,0,1,3,3,0,3,0,1,0,2,85,15,45,14,26,25,24,32,14,18,5,5,6,0.56,7,7,8,3,1,0.0
29,File,org.apache.synapse.config.xml.HeaderMediatorFactory,5,5,8,1,34,4,27,3,1,0,2,2,2,0,2,0,0,0,2,125,16,72,32,45,37,44,56,32,24,10,10,16,0.51,11,11,17,2,4,0.0
30,File,org.apache.synapse.config.xml.HeaderMediatorSerializer,3,3,4,1,18,2,16,0,1,0,1,3,3,0,3,0,1,0,2,104,15,60,16,37,29,27,38,16,22,9,9,10,0.48,11,11,12,3,2,0.0
31,File,org.apache.synapse.config.xml.InMediatorFactory,1,1,1,1,5,0,4,1,1,0,1,2,2,0,2,0,0,0,2,53,7,17,10,6,29,11,14,10,4,1,1,1,1.71,2,2,2,2,0,0.0
32,File,org.apache.synapse.config.xml.InMediatorSerializer,1,1,1,1,8,1,6,0,1,0,1,3,3,0,3,0,1,0,2,60,11,31,14,13,18,18,24,14,10,3,3,3,0.58,5,5,5,3,1,0.0
33,File,org.apache.synapse.config.xml.LogMediatorFactory,4,4,4,1,18,3,13,2,1,0,6,2,2,0,2,0,0,0,2,87,14,42,21,25,31,27,36,21,15,7,7,7,0.74,8,8,8,2,2,0.0
34,File,org.apache.synapse.config.xml.LogMediatorSerializer,3,3,3,1,12,2,10,0,1,0,1,3,3,0,3,0,1,0,2,82,14,43,14,23,25,20,28,14,14,8,8,8,0.58,10,10,10,3,1,0.0
35,File,org.apache.synapse.config.xml.MediatorFactory,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,2,44,5,8,7,0,31,6,7,7,0,0,0,0,3.88,0,0,0,0,0,0.0
36,File,org.apache.synapse.config.xml.MediatorFactoryFinder,2,2,2,1,13,1,9,2,1,1,4,9,8,0,9,0,4,0,5,207,28,123,58,77,56,65,84,43,41,6,6,7,0.46,19,19,20,11,2,0.0
37,File,org.apache.synapse.config.xml.MediatorPropertyFactory,8,8,12,1,64,13,50,1,1,1,1,1,0,0,1,0,0,0,1,114,19,66,29,43,29,43,52,29,23,8,8,12,0.44,8,8,12,1,4,0.0
38,File,org.apache.synapse.config.xml.MediatorSerializer,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,2,44,5,7,6,0,32,5,6,6,0,0,0,0,4.57,0,0,0,0,0,0.0
39,File,org.apache.synapse.config.xml.MediatorSerializerFinder,2,2,2,1,10,0,8,1,1,2,4,5,3,0,5,0,3,0,2,122,17,76,42,46,29,36,47,27,20,4,4,4,0.38,11,11,11,5,2,0.0
40,File,org.apache.synapse.config.xml.OMElementUtils,3,3,4,2,20,0,13,6,1,2,1,2,0,0,2,0,0,0,2,81,9,39,18,19,33,22,30,18,12,4,4,5,0.85,7,7,8,5,2,0.0
