,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.velocity.Template,3,3,3,2,52,5,25,21,1,0,0,4,4,1,4,0,0,0,4,280,33,123,34,54,124,52,64,29,35,7,7,7,1.01,12,12,12,9,2,4.0
1,File,org.apache.velocity.VelocityContext,1,1,1,1,11,0,5,6,1,0,1,10,10,1,10,0,0,0,10,187,15,60,19,18,112,21,33,19,14,2,2,2,1.87,12,12,12,10,1,0.0
2,File,org.apache.velocity.anakia.AnakiaElement,1,1,1,1,18,0,4,14,1,0,2,11,11,0,11,0,0,0,11,264,18,58,20,14,188,19,31,19,12,1,1,1,3.24,11,11,11,11,0,0.0
3,File,org.apache.velocity.anakia.AnakiaJDOMFactory,1,1,1,1,6,0,3,3,1,0,0,5,5,0,5,0,0,0,5,73,7,26,10,4,40,8,14,10,4,1,1,1,1.54,5,5,5,5,0,0.0
4,File,org.apache.velocity.anakia.AnakiaTask,2,2,3,1,23,1,15,6,2,0,0,21,21,17,21,0,4,0,17,646,80,385,91,189,181,154,212,94,118,15,15,22,0.47,59,59,77,25,4,0.0
5,File,org.apache.velocity.anakia.Escape,5,3,5,1,28,0,22,5,1,1,1,2,1,0,2,0,0,0,2,96,5,50,9,31,41,25,32,9,23,9,5,9,0.82,10,6,10,2,2,0.0
6,File,org.apache.velocity.anakia.NodeList,1,1,1,1,10,0,6,4,2,0,1,37,37,1,37,0,2,0,35,509,45,275,69,96,189,89,142,66,76,14,14,14,0.69,56,56,56,37,3,0.0
7,File,org.apache.velocity.anakia.OutputWrapper,1,1,1,1,13,0,6,7,1,0,0,3,3,0,3,0,0,0,3,82,7,28,11,6,47,10,15,11,4,2,2,2,1.68,4,4,4,3,1,0.0
8,File,org.apache.velocity.anakia.TreeWalker,1,1,1,1,10,0,6,4,1,0,0,3,3,0,3,0,1,0,2,77,6,26,11,7,45,13,17,12,5,2,2,2,1.73,4,4,4,3,1,0.0
9,File,org.apache.velocity.anakia.XPathCache,1,1,1,1,11,0,8,3,1,1,1,2,1,0,2,1,1,0,0,64,5,25,9,8,34,10,15,9,6,2,2,2,1.36,3,3,3,2,1,0.0
10,File,org.apache.velocity.anakia.XPathTool,1,1,1,1,12,0,4,8,1,0,0,4,4,0,4,0,0,0,4,131,10,25,12,3,96,7,12,9,3,1,1,1,3.84,4,4,4,4,0,0.0
11,File,org.apache.velocity.app.FieldMethodizer,1,1,2,1,16,0,10,6,1,0,0,7,7,2,7,0,1,0,6,188,11,80,21,31,97,24,38,20,18,3,3,4,1.21,13,13,14,7,2,1.0
12,File,org.apache.velocity.app.Velocity,1,1,1,1,22,0,9,11,1,24,0,24,0,0,24,0,0,0,24,633,49,257,77,92,327,88,123,56,67,9,9,13,1.27,40,40,44,31,3,2.0
13,File,org.apache.velocity.app.VelocityEngine,1,1,1,1,20,0,8,11,1,0,0,28,28,1,28,0,0,0,28,673,58,266,87,92,349,90,129,62,67,7,7,10,1.31,41,41,45,32,3,3.0
14,File,org.apache.velocity.app.event.EventCartridge,2,2,3,1,19,1,11,6,1,0,0,14,14,6,14,0,0,0,14,354,45,178,39,85,131,76,109,44,65,11,11,16,0.74,37,37,42,20,2,2.0
15,File,org.apache.velocity.app.event.EventHandler,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,3,4,2,0,24,1,2,2,0,0,0,0,6.0,0,0,0,0,0,0.0
16,File,org.apache.velocity.app.event.EventHandlerMethodExecutor,0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,0,0,0,3,57,4,7,5,0,46,4,5,5,0,0,0,0,6.57,0,0,0,0,0,1.0
17,File,org.apache.velocity.app.event.EventHandlerUtil,3,3,3,1,33,2,19,12,1,11,0,11,0,0,11,0,3,0,8,424,45,218,79,103,161,65,86,44,42,5,5,7,0.74,35,35,38,19,3,2.0
18,File,org.apache.velocity.app.event.IncludeEventHandler,1,1,1,1,8,0,7,1,2,0,0,5,5,5,5,1,0,0,4,108,16,43,20,13,49,19,26,16,10,2,2,2,1.14,5,5,6,4,1,1.0
19,File,org.apache.velocity.app.event.InvalidReferenceEventHandler,1,1,1,1,7,0,6,1,4,0,0,15,15,18,15,3,0,0,12,237,28,116,57,28,93,48,64,40,24,1,1,2,0.8,12,12,13,12,0,1.0
20,File,org.apache.velocity.app.event.MethodExceptionEventHandler,1,1,1,1,10,0,6,2,2,0,0,5,5,6,5,1,0,0,4,112,14,44,22,12,54,20,27,17,10,2,2,2,1.23,5,5,5,4,1,1.0
21,File,org.apache.velocity.app.event.NullSetEventHandler,1,1,1,1,8,0,6,1,2,0,0,5,5,5,5,1,0,0,4,101,14,40,19,12,47,18,25,16,9,2,2,2,1.18,5,5,6,4,1,1.0
22,File,org.apache.velocity.app.event.ReferenceInsertionEventHandler,1,1,1,1,9,0,6,3,2,0,0,5,5,3,5,1,0,0,4,105,11,37,17,9,57,15,22,14,8,2,2,2,1.54,5,5,5,4,1,1.0
23,File,org.apache.velocity.app.event.implement.EscapeHtmlReference,1,1,1,1,9,0,4,5,1,0,0,2,2,0,2,0,0,2,0,52,6,13,5,2,33,4,7,5,2,1,1,1,2.54,2,2,2,2,0,1.0
24,File,org.apache.velocity.app.event.implement.EscapeJavaScriptReference,1,1,1,1,9,0,4,5,1,0,0,2,2,0,2,0,0,2,0,52,6,13,5,2,33,4,7,5,2,1,1,1,2.54,2,2,2,2,0,1.0
25,File,org.apache.velocity.app.event.implement.EscapeReference,3,3,3,2,25,2,15,8,1,0,0,5,5,3,5,0,0,3,2,163,19,59,16,22,85,23,33,16,17,4,4,5,1.44,9,9,10,6,2,1.0
26,File,org.apache.velocity.app.event.implement.EscapeSqlReference,1,1,1,1,9,0,4,5,1,0,0,2,2,0,2,0,0,2,0,52,6,13,5,2,33,4,7,5,2,1,1,1,2.54,2,2,2,2,0,1.0
