Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
File,org.apache.xalan.Version,1,1,1,1,13,0,4,9,1,8,0,8,0,0,8,0,0,0,8,188,10,39,10,11,139,9,18,10,8,2,2,2,3.56,9,9,9,8,0,1.0
File,org.apache.xalan.client.XSLTProcessorApplet,2,2,2,1,22,1,14,7,2,0,0,24,24,23,24,0,2,0,22,787,91,385,101,202,317,172,229,96,133,8,8,10,0.82,51,51,53,24,4,2.0
File,org.apache.xalan.extensions.ExpressionContext,0,0,0,0,0,0,0,0,1,0,0,7,7,0,7,0,0,0,7,129,11,17,15,0,101,12,13,13,0,0,0,0,5.94,0,0,0,0,0,0.0
File,org.apache.xalan.extensions.ExpressionVisitor,1,1,1,1,13,0,6,6,1,0,0,2,2,1,2,0,0,0,2,106,4,23,11,5,79,11,15,11,4,2,2,2,3.43,3,3,3,2,1,2.0
File,org.apache.xalan.extensions.ExtensionHandler,3,3,3,1,25,2,16,7,1,1,2,7,6,2,7,0,0,1,6,231,21,70,32,22,140,31,38,23,15,5,5,5,2.0,6,6,6,2,2,1.0
File,org.apache.xalan.extensions.ExtensionHandlerExsltFunction,2,2,3,1,21,0,13,7,1,0,1,8,8,2,8,0,1,0,7,267,20,133,49,58,116,61,83,42,41,8,8,9,0.87,23,23,28,15,3,1.0
File,org.apache.xalan.extensions.ExtensionHandlerGeneral,4,4,4,1,46,5,27,14,1,0,7,6,6,7,6,0,0,0,6,449,60,228,71,110,170,104,131,63,68,13,13,15,0.75,26,26,29,6,4,2.0
File,org.apache.xalan.extensions.ExtensionHandlerJava,1,1,1,1,19,1,5,12,1,0,0,3,3,2,3,0,0,1,2,136,11,23,11,6,102,8,12,8,4,1,1,1,4.43,3,3,3,3,0,1.0
File,org.apache.xalan.extensions.ExtensionHandlerJavaClass,7,7,7,4,59,3,39,16,1,0,0,6,6,2,6,0,0,0,6,472,44,257,56,136,174,97,137,45,92,24,24,24,0.68,43,43,46,24,7,1.0
File,org.apache.xalan.extensions.ExtensionHandlerJavaPackage,7,7,8,4,67,3,47,17,1,0,0,6,6,0,6,0,0,0,6,518,39,304,69,163,182,124,167,59,108,23,23,23,0.6,47,47,49,28,5,1.0
File,org.apache.xalan.extensions.ExtensionNamespaceSupport,3,3,3,3,20,0,18,3,1,0,0,3,3,4,3,0,0,0,3,142,7,66,18,34,72,30,41,17,24,6,6,6,1.09,10,10,10,9,4,0.0
File,org.apache.xalan.extensions.ExtensionNamespacesManager,2,2,2,1,23,2,15,6,1,0,0,9,9,3,9,0,1,0,8,318,33,146,26,101,141,74,98,28,70,6,6,8,0.97,23,23,25,14,2,1.0
File,org.apache.xalan.extensions.ExtensionsTable,3,3,3,1,26,0,16,10,1,0,0,7,7,2,7,0,0,0,7,277,12,127,43,51,139,42,62,31,31,5,5,5,1.09,21,21,21,7,3,1.0
File,org.apache.xalan.extensions.MethodResolver,10,9,10,8,71,3,50,18,2,10,12,11,1,2,11,3,3,0,5,1030,69,668,210,407,314,235,334,122,212,34,29,37,0.47,110,99,119,88,5,0.0
File,org.apache.xalan.extensions.XSLProcessorContext,4,3,4,2,33,2,21,8,1,0,0,7,7,5,7,0,0,0,7,356,37,182,54,83,138,82,110,51,59,25,21,25,0.76,31,27,31,17,8,1.0
File,org.apache.xalan.lib.ExsltBase,3,3,3,2,24,0,18,6,1,2,0,2,0,0,2,0,0,2,0,120,4,43,13,20,73,19,26,14,12,4,4,4,1.7,6,6,6,4,3,0.0
File,org.apache.xalan.lib.ExsltCommon,3,3,3,3,30,0,11,19,1,2,0,2,0,0,2,0,0,0,2,142,4,31,9,15,107,13,21,9,12,6,6,6,3.45,7,7,7,7,2,2.0
File,org.apache.xalan.lib.ExsltDatetime,2,2,2,1,22,0,12,10,1,44,9,44,0,0,44,0,8,0,36,1152,79,567,229,330,511,283,374,209,165,10,10,15,0.9,92,92,108,66,3,2.0
File,org.apache.xalan.lib.ExsltDynamic,7,7,7,4,90,9,45,35,1,6,1,6,0,0,6,0,0,0,6,650,71,296,85,195,285,168,210,81,129,11,11,12,0.96,42,42,47,25,6,1.0
File,org.apache.xalan.lib.ExsltMath,2,2,2,1,17,0,7,9,1,18,7,18,0,0,18,0,0,0,18,425,37,157,46,86,233,74,116,50,66,10,10,10,1.48,41,41,43,24,2,1.0
File,org.apache.xalan.lib.ExsltSets,3,3,4,2,31,3,15,12,1,6,0,6,0,0,6,0,0,0,6,275,28,103,35,62,146,61,85,41,44,5,5,6,1.42,23,23,25,12,2,1.0
File,org.apache.xalan.lib.ExsltStrings,3,3,3,1,32,1,17,13,1,9,2,9,0,0,9,0,0,0,9,394,31,170,41,84,193,69,103,43,60,7,7,8,1.14,28,28,32,12,3,2.0
File,org.apache.xalan.lib.Extensions,2,2,2,1,31,2,14,14,1,10,2,11,1,0,11,0,2,0,9,449,41,187,63,88,222,82,113,60,53,6,6,6,1.19,28,28,28,20,3,1.0
File,org.apache.xalan.lib.NodeInfo,2,2,3,2,25,1,12,11,1,8,0,8,0,0,8,0,0,0,8,284,24,105,47,72,155,50,71,39,32,3,3,4,1.48,20,20,24,16,1,0.0
File,org.apache.xalan.lib.PipeDocument,4,4,6,1,75,5,44,26,1,0,0,2,2,0,2,0,0,0,2,260,17,122,70,62,122,83,93,67,26,7,7,11,1.0,9,9,13,2,6,1.0
File,org.apache.xalan.lib.Redirect,5,5,7,1,46,2,38,6,1,0,2,6,6,2,6,0,3,0,3,472,29,255,101,121,193,92,124,64,60,9,9,11,0.76,35,35,42,6,3,0.0
File,org.apache.xalan.lib.sql.ConnectionPool,0,0,0,0,0,0,0,0,1,0,0,14,14,0,14,0,0,0,14,193,22,21,19,0,150,18,19,19,0,0,0,0,7.14,0,0,0,0,0,1.0
File,org.apache.xalan.lib.sql.ConnectionPoolManager,1,1,1,1,17,1,6,9,1,0,2,5,5,0,5,0,0,0,5,168,20,40,13,14,109,16,26,13,13,3,3,3,2.73,9,9,9,5,2,1.0
File,org.apache.xalan.lib.sql.DTMDocument,2,2,2,1,14,0,8,5,2,1,7,97,96,6,97,0,1,29,67,1677,184,882,169,471,613,381,598,172,426,26,13,26,0.7,235,215,237,104,3,1.0
File,org.apache.xalan.lib.sql.DefaultConnectionPool,3,3,3,1,25,3,14,8,1,0,1,19,19,7,19,0,2,1,16,630,97,289,60,135,244,115,175,61,114,12,12,12,0.84,61,61,61,27,4,1.0
File,org.apache.xalan.lib.sql.ObjectArray,1,1,1,1,19,1,11,6,2,1,0,8,7,5,8,0,1,0,7,263,30,104,36,54,129,48,63,29,34,3,3,3,1.24,13,13,13,8,1,1.0
File,org.apache.xalan.lib.sql.PooledConnection,1,1,1,1,9,0,4,4,1,0,0,5,5,2,5,0,0,0,5,128,8,32,11,10,88,11,19,11,8,2,2,2,2.75,7,7,7,5,1,1.0
File,org.apache.xalan.lib.sql.QueryParameter,1,1,1,1,7,0,3,3,1,0,0,5,5,2,5,0,0,0,5,117,8,23,9,6,86,9,15,9,6,1,1,1,3.74,5,5,5,5,0,1.0
File,org.apache.xalan.lib.sql.SQLDocument,6,6,6,1,55,5,40,9,1,0,23,10,10,35,10,0,2,3,5,882,98,487,84,321,300,180,241,85,156,25,25,25,0.62,66,66,68,12,4,0.0
File,org.apache.xalan.lib.sql.SQLErrorDocument,1,1,1,1,18,2,9,6,1,0,4,4,4,7,4,0,1,1,2,202,24,57,22,38,121,33,38,22,16,1,1,1,2.12,4,4,4,4,0,0.0
File,org.apache.xalan.lib.sql.XConnection,5,5,5,1,36,3,23,9,1,0,1,17,17,8,17,1,2,0,14,829,98,444,97,251,288,207,283,91,192,19,19,21,0.65,86,86,89,22,4,1.0
File,org.apache.xalan.processor.ProcessorAttributeSet,1,1,1,1,32,2,13,16,1,0,0,2,2,0,2,0,0,0,2,140,11,35,14,13,94,16,20,10,10,2,2,2,2.69,3,3,3,2,1,0.0
File,org.apache.xalan.processor.ProcessorCharacters,2,2,3,1,31,3,14,12,1,0,0,4,4,3,4,1,0,0,3,218,25,73,25,37,120,34,44,20,24,5,5,8,1.64,10,10,13,4,2,0.0
File,org.apache.xalan.processor.ProcessorDecimalFormat,1,1,1,1,33,3,9,21,1,0,0,1,1,0,1,0,0,0,1,107,6,15,8,4,86,7,9,6,3,1,1,1,5.73,1,1,1,1,0,2.0
File,org.apache.xalan.processor.ProcessorExsltFuncResult,4,4,7,1,30,1,24,5,1,0,0,1,1,0,1,0,0,0,1,105,5,35,14,13,65,16,21,12,9,4,4,7,1.86,4,4,7,1,2,1.0
File,org.apache.xalan.processor.ProcessorExsltFunction,3,3,7,2,25,0,19,5,1,0,0,5,5,0,5,1,0,1,3,226,13,128,50,61,87,58,74,43,31,7,7,24,0.68,15,15,35,10,3,2.0
File,org.apache.xalan.processor.ProcessorGlobalParamDecl,1,1,1,1,20,1,7,11,1,0,0,2,2,0,2,0,0,1,1,112,7,21,11,5,84,8,11,7,4,1,1,1,4.0,2,2,2,2,0,0.0
File,org.apache.xalan.processor.ProcessorGlobalVariableDecl,1,1,1,1,20,1,7,11,1,0,0,2,2,0,2,0,0,1,1,112,7,21,11,5,84,8,11,7,4,1,1,1,4.0,2,2,2,2,0,0.0
File,org.apache.xalan.processor.ProcessorImport,1,1,1,1,9,0,4,5,1,0,0,2,2,0,2,0,0,2,0,89,5,13,5,2,71,4,7,5,2,1,1,1,5.46,2,2,2,2,0,0.0
File,org.apache.xalan.processor.ProcessorInclude,3,3,4,1,37,4,23,9,1,0,0,6,6,1,6,0,0,3,3,323,37,164,47,79,124,64,86,39,47,16,16,17,0.76,23,23,24,10,4,0.0
File,org.apache.xalan.processor.ProcessorKey,5,5,5,1,53,6,33,14,1,0,0,2,2,0,2,1,0,0,1,191,19,75,26,41,97,32,43,23,20,9,9,9,1.29,10,10,10,2,3,0.0
File,org.apache.xalan.processor.ProcessorLRE,9,9,12,2,97,14,69,14,1,0,0,3,3,0,3,0,1,0,2,389,52,230,58,132,109,109,138,54,84,23,23,31,0.47,29,29,37,8,4,1.0
File,org.apache.xalan.processor.ProcessorNamespaceAlias,3,3,3,1,43,2,25,16,1,0,0,1,1,0,1,0,0,0,1,122,5,31,11,16,86,17,21,9,12,3,3,3,2.77,3,3,3,1,1,0.0
File,org.apache.xalan.processor.ProcessorOutputElem,1,1,1,1,12,0,6,6,1,0,0,13,13,1,13,0,0,0,13,258,23,92,33,31,143,37,53,29,24,3,3,3,1.55,15,15,15,13,2,0.0
