Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
File,javax.xml.parsers.DocumentBuilder,2,2,2,1,17,0,8,8,1,0,0,11,11,0,11,0,0,1,10,276,32,61,31,20,183,30,41,26,15,3,3,3,3.0,10,10,10,5,1,2.0
File,javax.xml.parsers.DocumentBuilderFactory,2,2,2,1,14,0,8,5,1,2,3,18,16,6,18,0,1,1,16,406,52,149,58,87,205,67,101,48,53,17,17,18,1.38,35,35,36,24,3,2.0
File,javax.xml.parsers.FactoryConfigurationError,1,1,1,1,11,0,4,6,1,0,0,6,6,1,6,0,0,0,6,184,20,30,10,13,134,14,22,10,12,2,2,3,4.47,7,7,8,6,1,0.0
File,javax.xml.parsers.ParserConfigurationException,1,1,1,1,7,0,3,4,1,0,0,2,2,0,2,0,0,0,2,117,4,9,4,2,104,3,6,4,2,1,1,1,11.56,2,2,2,2,0,0.0
File,javax.xml.parsers.SAXParser,2,2,2,1,21,1,10,10,1,0,0,17,17,0,17,0,0,1,16,445,50,141,59,58,254,67,93,47,46,3,3,3,1.8,25,25,25,11,1,0.0
File,javax.xml.parsers.SAXParserFactory,3,3,4,2,22,1,14,6,1,2,3,10,8,2,10,0,1,1,8,355,39,130,53,76,186,60,86,41,45,17,17,18,1.43,27,27,28,16,3,0.0
File,org.apache.html.dom.HTMLAnchorElementImpl,1,1,1,1,4,0,4,0,1,0,0,27,27,0,27,0,0,0,27,252,61,120,34,30,71,32,62,32,30,2,2,3,0.59,29,29,31,27,1,0.0
File,org.apache.html.dom.HTMLAppletElementImpl,1,1,1,1,4,0,4,0,1,0,0,23,23,0,23,0,0,0,23,219,52,100,29,23,67,26,50,27,23,1,1,1,0.67,23,23,23,23,0,0.0
File,org.apache.html.dom.HTMLAreaElementImpl,1,1,1,1,4,0,4,0,1,0,0,17,17,0,17,0,0,0,17,191,40,82,24,22,69,24,44,22,22,2,2,3,0.84,19,19,21,17,1,0.0
File,org.apache.html.dom.HTMLBRElementImpl,1,1,1,1,5,0,4,1,1,0,0,3,3,0,3,0,0,0,3,100,13,20,9,3,67,6,10,7,3,1,1,1,3.35,3,3,3,3,0,0.0
File,org.apache.html.dom.HTMLBaseElementImpl,1,1,1,1,5,0,4,1,1,0,0,5,5,0,5,0,0,0,5,111,16,28,11,5,67,8,14,9,5,1,1,1,2.39,5,5,5,5,0,0.0
File,org.apache.html.dom.HTMLBaseFontElementImpl,1,1,1,1,4,0,4,0,1,0,0,7,7,0,7,0,0,0,7,124,21,36,13,7,67,10,18,11,7,1,1,1,1.86,7,7,7,7,0,0.0
File,org.apache.html.dom.HTMLBodyElementImpl,1,1,1,1,4,0,4,0,1,0,0,13,13,0,13,0,0,0,13,159,32,60,19,13,67,16,30,17,13,1,1,1,1.12,13,13,13,13,0,0.0
File,org.apache.html.dom.HTMLBuilder,3,3,3,1,13,0,11,1,1,0,0,10,10,6,10,0,0,0,10,276,46,128,38,60,102,56,86,29,57,9,9,9,0.8,30,30,32,10,3,0.0
File,org.apache.html.dom.HTMLButtonElementImpl,1,1,1,1,5,0,5,0,1,0,0,12,12,0,12,0,0,0,12,170,32,69,19,20,69,20,36,17,19,2,2,3,1.0,15,15,17,12,1,0.0
File,org.apache.html.dom.HTMLCollectionImpl,3,2,4,2,25,0,13,11,2,0,11,13,13,3,13,5,3,2,3,560,69,201,40,113,290,82,122,39,83,14,7,23,1.44,44,34,53,26,4,0.0
File,org.apache.html.dom.HTMLDListElementImpl,1,1,1,1,5,0,4,1,1,0,0,3,3,0,3,0,0,0,3,100,13,20,9,3,67,6,10,7,3,1,1,1,3.35,3,3,3,3,0,0.0
File,org.apache.html.dom.HTMLDOMImplementationImpl,1,1,1,1,12,0,5,6,1,1,1,3,2,0,3,0,1,0,2,130,15,27,13,7,88,11,16,10,6,2,2,2,3.26,4,4,4,3,1,0.0
File,org.apache.html.dom.HTMLDirectoryElementImpl,1,1,1,1,5,0,4,1,1,0,0,3,3,0,3,0,0,0,3,100,13,20,9,3,67,6,10,7,3,1,1,1,3.35,3,3,3,3,0,0.0
File,org.apache.html.dom.HTMLDivElementImpl,1,1,1,1,5,0,4,1,1,0,0,3,3,0,3,0,0,0,3,99,12,20,9,3,67,6,10,7,3,1,1,1,3.35,3,3,3,3,0,0.0
File,org.apache.html.dom.HTMLDocumentImpl,2,2,2,1,16,0,13,3,1,2,2,32,30,6,32,0,3,0,29,767,103,442,87,234,222,225,305,81,224,5,5,7,0.5,71,71,79,43,4,0.0
File,org.apache.html.dom.HTMLElementImpl,1,1,1,1,9,0,6,2,1,0,0,23,23,0,23,6,0,0,17,340,56,156,39,57,128,54,90,34,56,4,4,4,0.82,35,35,38,27,3,0.0
File,org.apache.html.dom.HTMLFieldSetElementImpl,1,1,1,1,9,0,4,5,1,0,0,1,1,0,1,0,0,0,1,88,9,12,7,1,67,4,6,5,1,1,1,1,5.58,1,1,1,1,0,0.0
File,org.apache.html.dom.HTMLFontElementImpl,1,1,1,1,4,0,4,0,1,0,0,7,7,0,7,0,0,0,7,118,20,36,13,7,62,10,18,11,7,1,1,1,1.72,7,7,7,7,0,0.0
File,org.apache.html.dom.HTMLFormControl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,2,4,2,0,64,1,2,2,0,0,0,0,16.0,0,0,0,0,0,0.0
File,org.apache.html.dom.HTMLFormElementImpl,1,1,1,1,4,0,3,0,1,0,0,18,18,1,18,0,0,0,18,198,42,80,25,18,76,21,41,23,18,2,2,2,0.95,19,19,19,18,1,0.0
