Defect models,pair,Iterations,Precision,Recall,F1 Score,ACC,MCC,AUC
MLMNB,0,0,0.6,0.58,0.59,0.79,0.44,0.72
MLMNB,1,0,0.44,0.78,0.56,0.68,0.37,0.71
MLMNB,2,0,0.41,0.6,0.49,0.72,0.32,0.68
MLMNB,3,0,0.4,0.56,0.46,0.71,0.28,0.66
MLMNB,4,0,0.3,0.49,0.37,0.73,0.22,0.63
MLMNB,5,0,0.48,0.21,0.3,0.75,0.19,0.57
MLMNB,6,0,0.55,0.36,0.44,0.77,0.31,0.63
MLMNB,7,0,0.51,0.76,0.61,0.67,0.36,0.69
MLMNB,8,0,0.62,0.46,0.53,0.52,0.06,0.53
MLMNB,9,0,0.74,0.38,0.5,0.56,0.21,0.6
MLMNB,10,0,0.49,0.52,0.5,0.51,0.02,0.51
MLMNB,11,0,0.54,0.53,0.53,0.55,0.11,0.55
MLMNB,12,0,0.26,0.36,0.3,0.75,0.16,0.59
MLMNB,13,0,0.28,0.28,0.28,0.78,0.15,0.57
MLMNB,14,0,0.22,0.72,0.34,0.68,0.26,0.7
MLMNB,15,0,0.16,0.5,0.25,0.65,0.11,0.58
MLMNB,16,0,0.24,0.23,0.24,0.59,-0.04,0.48
MLMNB,17,0,0.4,0.53,0.45,0.65,0.21,0.62
MLMNB,18,0,0.52,0.43,0.47,0.68,0.24,0.62
MLMNB,19,0,0.4,0.78,0.53,0.54,0.19,0.6
MLMNB,20,0,0.85,0.49,0.62,0.62,0.34,0.67
MLMNB,21,0,0.89,0.4,0.55,0.59,0.34,0.66
MLMNB,22,0,0.82,0.24,0.37,0.48,0.18,0.57
MLMNB,23,0,0.8,0.41,0.54,0.55,0.23,0.61
MNB,0,0,0.6,0.13,0.21,0.75,0.19,0.55
MNB,1,0,0.58,0.41,0.48,0.77,0.34,0.65
MNB,2,0,0.43,0.23,0.3,0.76,0.18,0.57
MNB,3,0,0.42,0.3,0.35,0.75,0.2,0.59
MNB,4,0,0.31,0.35,0.33,0.76,0.19,0.6
MNB,5,0,0.5,0.12,0.19,0.75,0.15,0.54
MNB,6,0,0.6,0.08,0.14,0.76,0.15,0.53
MNB,7,0,0.49,0.46,0.47,0.65,0.21,0.6
MNB,8,0,0.95,0.15,0.25,0.5,0.24,0.57
MNB,9,0,0.72,0.25,0.37,0.51,0.14,0.56
MNB,10,0,0.53,0.26,0.35,0.53,0.05,0.52
MNB,11,0,0.56,0.13,0.21,0.53,0.06,0.52
MNB,12,0,0.12,0.26,0.16,0.59,-0.07,0.45
MNB,13,0,0.25,0.29,0.27,0.76,0.12,0.57
MNB,14,0,0.4,0.15,0.22,0.88,0.19,0.56
MNB,15,0,0.23,0.57,0.33,0.73,0.23,0.66
MNB,16,0,0.4,0.03,0.06,0.73,0.04,0.51
MNB,17,0,0.53,0.13,0.21,0.73,0.16,0.55
MNB,18,0,0.45,0.06,0.1,0.66,0.05,0.51
MNB,19,0,0.39,0.1,0.17,0.64,0.04,0.51
MNB,20,0,0.79,0.54,0.64,0.61,0.27,0.64
MNB,21,0,0.81,0.37,0.51,0.55,0.23,0.61
MNB,22,0,0.87,0.63,0.73,0.7,0.44,0.73
