,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam
wmc,0.0,0.94,2.79e-207,0.0,0.0,0.0,0.0,5.79e-106,2.63e-42,0.0,0.0,0.0
dit,0.94,0.0,0.001,0.016,1.19e-14,4.73e-94,0.90,0.99,0.99,9.00e-168,1.32e-231,4.83e-24
noc,2.79e-207,0.001,0.0,1.12e-138,0.0,0.0,2.57e-76,3.12e-73,9.17e-113,0.0,0.0,0.0
cbo,0.0,0.016,1.12e-138,0.0,0.0,0.0,0.0,1.84e-14,0.0,0.0,0.0,0.0
rfc,0.0,1.19e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lcom,0.0,4.73e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca,0.0,0.90,2.57e-76,0.0,0.0,0.0,0.0,4.85e-200,0.0,0.0,0.0,0.0
ce,5.79e-106,0.99,3.12e-73,1.84e-14,0.0,0.0,4.85e-200,0.0,2.82e-63,0.0,0.0,0.0
npm,2.63e-42,0.99,9.17e-113,0.0,0.0,0.0,0.0,2.82e-63,0.0,0.0,0.0,0.0
lcom3,0.0,9.00e-168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loc,0.0,1.32e-231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dam,0.0,4.85e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
