,File name,original status,predicted status
0,org.apache.poi.hssf.record.SSTDeserializer,1.0,1.0
1,org.apache.poi.hssf.record.BottomMarginRecord,1.0,2.0
2,org.apache.poi.hssf.record.MergeCellsRecord,1.0,2.0
3,org.apache.poi.hssf.record.WindowProtectRecord,1.0,2.0
4,org.apache.poi.hssf.eventusermodel.HSSFRequest,2.0,1.0
5,org.apache.poi.hssf.record.formula.ConcatPtg,1.0,2.0
6,org.apache.poi.hssf.record.DataFormatRecord,1.0,2.0
7,org.apache.poi.hssf.usermodel.HSSFCell,2.0,2.0
8,org.apache.poi.hssf.record.ExternSheetRecord,1.0,2.0
9,org.apache.poi.hssf.util.RangeAddress,1.0,2.0
10,org.apache.poi.hssf.record.MulBlankRecord,1.0,2.0
11,org.apache.poi.util.StringUtil,2.0,2.0
12,org.apache.poi.hssf.record.PrintGridlinesRecord,1.0,2.0
13,org.apache.poi.poifs.property.Parent,1.0,1.0
14,org.apache.poi.hssf.record.LabelRecord,1.0,2.0
15,org.apache.poi.hssf.record.FooterRecord,1.0,2.0
16,org.apache.poi.hssf.record.formula.AreaPtg,2.0,2.0
17,org.apache.poi.hssf.record.CustomField,1.0,1.0
18,org.apache.poi.hssf.usermodel.HSSFErrorConstants,1.0,1.0
19,org.apache.poi.hssf.record.SCLRecord,1.0,2.0
20,org.apache.poi.hssf.record.NumberRecord,1.0,2.0
21,org.apache.poi.hssf.eventmodel.ERFListener,1.0,1.0
22,org.apache.poi.hssf.dev.EFHSSFListener,1.0,1.0
23,org.apache.poi.hssf.record.formula.MultiplyPtg,1.0,2.0
24,org.apache.poi.hssf.record.MulRKRecord,1.0,2.0
25,org.apache.poi.hssf.record.ExtSSTRecord,1.0,2.0
26,org.apache.poi.hssf.record.BlankRecord,1.0,2.0
27,org.apache.poi.hssf.record.formula.AbstractFunctionPtg,2.0,1.0
28,org.apache.poi.hssf.record.AxisRecord,1.0,2.0
29,org.apache.poi.hssf.record.ExtSSTInfoSubRecord,1.0,2.0
30,org.apache.poi.poifs.property.Child,1.0,1.0
31,org.apache.poi.hssf.record.LeftMarginRecord,1.0,2.0
