,File name,original status,predicted status
0,org.apache.synapse.registry.AbstractRegistry,1.0,1.0
1,org.apache.synapse.core.SynapseEnvironment,2.0,1.0
2,org.apache.synapse.config.xml.XSLTMediatorSerializer,1.0,1.0
3,org.apache.synapse.metrics.GlobalRequestCountHandler,1.0,1.0
4,org.apache.synapse.mediators.builtin.PropertyMediator,1.0,2.0
5,org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer,2.0,1.0
6,org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,2.0,2.0
7,org.apache.synapse.config.xml.OutMediatorSerializer,1.0,1.0
8,org.apache.synapse.mediators.db.DBLookupMediator,1.0,1.0
9,org.apache.synapse.statistics.Statistics,1.0,1.0
10,org.apache.synapse.mediators.AbstractListMediator,1.0,1.0
11,org.apache.synapse.mediators.eip.EIPUtils,1.0,1.0
12,org.apache.synapse.ManagedLifecycle,1.0,1.0
13,org.apache.synapse.statistics.StatisticsStack,1.0,1.0
14,org.apache.synapse.config.SynapseConfigurationBuilder,1.0,1.0
15,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,1.0,1.0
16,org.apache.synapse.config.Entry,1.0,1.0
17,org.apache.synapse.config.xml.SequenceMediatorSerializer,1.0,1.0
18,org.apache.synapse.util.SimpleMap,1.0,1.0
19,org.apache.synapse.config.xml.MediatorPropertyFactory,1.0,1.0
20,org.apache.synapse.endpoints.dispatch.SimpleClientSessionDispatcher,1.0,1.0
21,org.apache.synapse.mediators.filters.SwitchMediator,1.0,2.0
22,org.apache.synapse.metrics.Counter,1.0,1.0
23,org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory,2.0,1.0
24,org.apache.synapse.mediators.eip.aggregator.Aggregate,2.0,1.0
25,org.apache.synapse.SynapseServer,1.0,1.0
26,org.apache.synapse.config.xml.EntryFactory,1.0,1.0
27,org.apache.synapse.statistics.StatisticsCollector,1.0,1.0
28,org.apache.synapse.config.xml.MediatorSerializer,1.0,1.0
29,org.apache.synapse.config.xml.endpoints.EndpointFactory,2.0,1.0
30,org.apache.synapse.mediators.ListMediator,1.0,1.0
31,org.apache.synapse.config.xml.SequenceMediatorFactory,1.0,1.0
32,org.apache.synapse.statistics.impl.SequenceStatisticsStack,1.0,1.0
33,org.apache.synapse.config.xml.CacheMediatorFactory,1.0,1.0
34,org.apache.synapse.config.xml.ValidateMediatorSerializer,1.0,1.0
35,org.apache.synapse.util.concurrent.SynapseThreadPool,1.0,1.0
36,org.apache.synapse.core.axis2.ProxyService,2.0,2.0
37,org.apache.synapse.config.xml.FaultMediatorSerializer,2.0,1.0
38,org.apache.synapse.config.xml.AbstractMediatorFactory,1.0,1.0
39,org.apache.synapse.mediators.eip.Target,1.0,1.0
40,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,2.0,1.0
41,org.apache.synapse.config.xml.XMLConfigConstants,1.0,1.0
42,org.apache.synapse.util.UUIDGenerator,1.0,1.0
43,org.apache.synapse.config.xml.AbstractDBMediatorSerializer,1.0,1.0
44,org.apache.synapse.core.axis2.SynapseMessageReceiver,1.0,1.0
45,org.apache.synapse.core.axis2.SynapseStartUpServlet,1.0,1.0
46,org.apache.synapse.config.xml.OutMediatorFactory,1.0,1.0
47,org.apache.synapse.core.axis2.AnonymousServiceFactory,2.0,1.0
48,org.apache.synapse.MessageContext,1.0,1.0
49,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,2.0,2.0
50,org.apache.synapse.core.axis2.SynapseAxisServlet,2.0,1.0
51,org.apache.synapse.config.xml.ValidateMediatorFactory,1.0,1.0
52,org.apache.synapse.startup.quartz.SimpleQuartzJob,1.0,1.0
53,org.apache.synapse.core.axis2.Axis2MessageContext,1.0,2.0
54,org.apache.synapse.startup.quartz.SimpleQuartz,1.0,1.0
55,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,2.0,2.0
56,org.apache.synapse.config.xml.OMElementUtils,1.0,1.0
57,org.apache.synapse.config.xml.IterateMediatorFactory,1.0,1.0
58,org.apache.synapse.mediators.FilterMediator,1.0,1.0
59,org.apache.synapse.statistics.impl.EndPointStatisticsStack,1.0,1.0
60,org.apache.synapse.config.xml.ProxyServiceSerializer,2.0,1.0
61,org.apache.synapse.FaultHandler,1.0,1.0
62,org.apache.synapse.mediators.builtin.SendMediator,1.0,1.0
63,org.apache.synapse.mediators.MediatorFaultHandler,1.0,1.0
64,org.apache.synapse.config.xml.FaultMediatorFactory,2.0,1.0
65,org.apache.synapse.mediators.eip.EIPConstants,1.0,1.0
66,org.apache.synapse.mediators.filters.OutMediator,1.0,1.0
67,org.apache.synapse.startup.tasks.MessageInjector,1.0,1.0
68,org.apache.synapse.config.xml.RMSequenceMediatorSerializer,1.0,1.0
69,org.apache.synapse.config.SynapseConfigUtils,2.0,1.0
70,org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory,2.0,1.0
71,org.apache.synapse.config.SynapseConfiguration,2.0,2.0
72,org.apache.synapse.config.xml.InMediatorFactory,1.0,1.0
73,org.apache.synapse.config.xml.AbstractListMediatorFactory,1.0,1.0
74,org.apache.synapse.mediators.db.DBReportMediator,1.0,1.0
75,org.apache.synapse.config.xml.XSLTMediatorFactory,1.0,1.0
76,org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher,1.0,1.0
77,org.apache.synapse.config.xml.RegistrySerializer,1.0,1.0
78,org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointSerializer,2.0,1.0
