,File name,original status,predicted status
0,org.apache.tools.ant.taskdefs.PathConvert,1.0,1.0
1,org.apache.tools.ant.taskdefs.Untar,1.0,1.0
2,org.apache.tools.ant.taskdefs.PumpStreamHandler,1.0,1.0
3,org.apache.tools.ant.taskdefs.Copydir,1.0,1.0
4,org.apache.tools.tar.TarEntry,1.0,1.0
5,org.apache.tools.tar.TarOutputStream,1.0,1.0
6,org.apache.tools.ant.taskdefs.JikesOutputParser,1.0,1.0
7,org.apache.tools.ant.taskdefs.compilers.Sj,1.0,1.0
8,org.apache.tools.ant.taskdefs.Filter,1.0,1.0
9,org.apache.tools.ant.taskdefs.ExecuteOn,2.0,1.0
10,org.apache.tools.ant.taskdefs.Echo,1.0,1.0
11,org.apache.tools.ant.taskdefs.SQLExec,2.0,2.0
12,org.apache.tools.ant.taskdefs.Parallel,1.0,1.0
13,org.apache.tools.ant.types.Commandline,1.0,1.0
14,org.apache.tools.ant.taskdefs.DependSet,2.0,1.0
15,org.apache.tools.ant.taskdefs.LogStreamHandler,1.0,1.0
16,org.apache.tools.ant.types.Path,1.0,1.0
17,org.apache.tools.ant.taskdefs.Sequential,1.0,1.0
18,org.apache.tools.ant.taskdefs.compilers.Gcj,1.0,1.0
19,org.apache.tools.ant.taskdefs.Patch,1.0,1.0
20,org.apache.tools.ant.taskdefs.GUnzip,1.0,1.0
21,org.apache.tools.ant.taskdefs.StreamPumper,1.0,1.0
22,org.apache.tools.ant.PathTokenizer,1.0,1.0
23,org.apache.tools.ant.taskdefs.Definer,1.0,1.0
24,org.apache.tools.ant.ProjectHelper,1.0,2.0
25,org.apache.tools.ant.taskdefs.KeySubst,1.0,1.0
26,org.apache.tools.ant.DirectoryScanner,1.0,1.0
27,org.apache.tools.ant.types.FilterSetCollection,1.0,1.0
28,org.apache.tools.ant.taskdefs.GenerateKey,2.0,1.0
29,org.apache.tools.ant.taskdefs.compilers.JavacExternal,1.0,1.0
30,org.apache.tools.ant.taskdefs.Transform,1.0,1.0
31,org.apache.tools.ant.util.GlobPatternMapper,1.0,1.0
32,org.apache.tools.ant.util.MergingMapper,1.0,1.0
33,org.apache.tools.ant.taskdefs.Execute,2.0,2.0
34,org.apache.tools.ant.taskdefs.MatchingTask,1.0,1.0
35,org.apache.tools.ant.util.IdentityMapper,1.0,1.0
36,org.apache.tools.ant.taskdefs.ExecuteJava,1.0,1.0
37,org.apache.tools.ant.Task,1.0,1.0
38,org.apache.tools.ant.types.Reference,1.0,1.0
39,org.apache.tools.mail.MailMessage,1.0,1.0
40,org.apache.tools.ant.DefaultLogger,2.0,1.0
41,org.apache.tools.ant.taskdefs.condition.Condition,2.0,1.0
42,org.apache.tools.ant.BuildListener,1.0,1.0
43,org.apache.tools.ant.taskdefs.Ear,1.0,1.0
44,org.apache.tools.ant.util.regexp.RegexpMatcher,1.0,1.0
45,org.apache.tools.ant.taskdefs.CompileTask,1.0,1.0
46,org.apache.tools.ant.taskdefs.Rmic,1.0,1.0
47,org.apache.tools.ant.UnknownElement,1.0,1.0
48,org.apache.tools.ant.taskdefs.CVSPass,1.0,1.0
49,org.apache.tools.ant.ProjectComponent,1.0,1.0
50,org.apache.tools.ant.XmlLogger,1.0,1.0
51,org.apache.tools.ant.types.Description,2.0,1.0
52,org.apache.tools.ant.util.RegexpPatternMapper,1.0,1.0
53,org.apache.tools.ant.taskdefs.ManifestException,1.0,1.0
54,org.apache.tools.ant.taskdefs.condition.Equals,2.0,1.0
55,org.apache.tools.mail.MailPrintStream,1.0,1.0
56,org.apache.tools.ant.taskdefs.XSLTProcess,1.0,2.0
57,org.apache.tools.ant.taskdefs.Manifest,1.0,1.0
58,org.apache.tools.ant.taskdefs.condition.Not,2.0,1.0
59,org.apache.tools.ant.taskdefs.Exit,2.0,1.0
60,org.apache.tools.ant.taskdefs.JavacOutputStream,1.0,1.0
61,org.apache.tools.ant.Project,1.0,2.0
62,org.apache.tools.ant.taskdefs.RecorderEntry,1.0,1.0
63,org.apache.tools.ant.ExitException,1.0,1.0
64,org.apache.tools.ant.taskdefs.Tar,1.0,1.0
65,org.apache.tools.ant.taskdefs.rmic.SunRmic,2.0,1.0
66,org.apache.tools.ant.types.PatternSet,1.0,1.0
67,org.apache.tools.ant.taskdefs.Java,1.0,2.0
68,org.apache.tools.ant.util.SourceFileScanner,1.0,1.0
69,org.apache.tools.ant.types.EnumeratedAttribute,1.0,1.0
70,org.apache.tools.zip.ExtraFieldUtils,1.0,1.0
71,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,1.0,1.0
72,org.apache.tools.ant.taskdefs.Touch,1.0,1.0
73,org.apache.tools.ant.taskdefs.Jikes,1.0,1.0
74,org.apache.tools.zip.ZipEntry,1.0,1.0
75,org.apache.tools.ant.taskdefs.Get,1.0,1.0
76,org.apache.tools.ant.taskdefs.AntStructure,2.0,1.0
77,org.apache.tools.ant.FileScanner,1.0,1.0
78,org.apache.tools.ant.taskdefs.Replace,2.0,2.0
79,org.apache.tools.ant.types.FilterSet,1.0,1.0
80,org.apache.tools.ant.taskdefs.Zip,1.0,2.0
81,org.apache.tools.ant.taskdefs.condition.Or,2.0,1.0
82,org.apache.tools.ant.taskdefs.rmic.KaffeRmic,2.0,1.0
83,org.apache.tools.zip.UnixStat,1.0,1.0
84,org.apache.tools.ant.taskdefs.Chmod,2.0,1.0
85,org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,1.0,1.0
86,org.apache.tools.ant.taskdefs.compilers.Javac13,1.0,1.0
87,org.apache.tools.ant.taskdefs.compilers.Javac12,1.0,1.0
88,org.apache.tools.ant.types.FileSet,1.0,1.0
89,org.apache.tools.ant.taskdefs.ExecTask,2.0,2.0
90,org.apache.tools.zip.AsiExtraField,1.0,1.0
91,org.apache.tools.ant.taskdefs.War,1.0,1.0
92,org.apache.tools.ant.Launcher,1.0,1.0
93,org.apache.tools.ant.types.ZipFileSet,1.0,1.0
94,org.apache.tools.ant.taskdefs.Ant,2.0,1.0
95,org.apache.tools.ant.taskdefs.SignJar,1.0,1.0
96,org.apache.tools.ant.taskdefs.condition.And,2.0,1.0
97,org.apache.tools.ant.BuildLogger,1.0,1.0
98,org.apache.tools.ant.taskdefs.Recorder,2.0,1.0
99,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,1.0,1.0
100,org.apache.tools.ant.taskdefs.ExecuteWatchdog,1.0,1.0
101,org.apache.tools.ant.TaskContainer,1.0,1.0
102,org.apache.tools.ant.types.Environment,1.0,1.0
103,org.apache.tools.ant.taskdefs.Available,1.0,1.0
104,org.apache.tools.tar.TarUtils,1.0,1.0
105,org.apache.tools.ant.Main,1.0,2.0
106,org.apache.tools.ant.taskdefs.Mkdir,1.0,1.0
107,org.apache.tools.ant.util.FileNameMapper,1.0,1.0
108,org.apache.tools.ant.listener.Log4jListener,2.0,1.0
109,org.apache.tools.ant.taskdefs.FixCRLF,1.0,2.0
110,org.apache.tools.ant.taskdefs.Javadoc,1.0,1.0
111,org.apache.tools.ant.taskdefs.Cvs,2.0,1.0
112,org.apache.tools.zip.ZipExtraField,1.0,1.0
113,org.apache.tools.ant.taskdefs.Rename,1.0,1.0
114,org.apache.tools.ant.types.CommandlineJava,2.0,1.0
115,org.apache.tools.ant.BuildEvent,1.0,1.0
116,org.apache.tools.ant.taskdefs.Jar,1.0,1.0
117,org.apache.tools.ant.taskdefs.Delete,1.0,1.0
118,org.apache.tools.ant.util.FlatFileNameMapper,1.0,1.0
119,org.apache.tools.ant.BuildException,1.0,1.0
120,org.apache.tools.ant.taskdefs.rmic.WLRmic,2.0,1.0
121,org.apache.tools.ant.util.regexp.JakartaOroMatcher,1.0,1.0
122,org.apache.tools.ant.Target,1.0,2.0
123,org.apache.tools.ant.taskdefs.Copy,2.0,1.0
124,org.apache.tools.ant.taskdefs.Typedef,1.0,1.0
125,org.apache.tools.ant.taskdefs.Sleep,1.0,1.0
126,org.apache.tools.ant.taskdefs.compilers.Jikes,1.0,1.0
127,org.apache.tools.ant.taskdefs.compilers.Kjc,1.0,1.0
128,org.apache.tools.ant.DemuxOutputStream,1.0,1.0
129,org.apache.tools.tar.TarInputStream,1.0,1.0
130,org.apache.tools.zip.ZipShort,1.0,1.0
131,org.apache.tools.ant.types.Mapper,1.0,1.0
132,org.apache.tools.ant.taskdefs.Taskdef,1.0,1.0
133,org.apache.tools.ant.util.FileUtils,1.0,1.0
134,org.apache.tools.zip.ZipOutputStream,1.0,2.0
135,org.apache.tools.zip.UnrecognizedExtraField,1.0,1.0
136,org.apache.tools.ant.taskdefs.TaskOutputStream,1.0,1.0
137,org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,2.0,1.0
138,org.apache.tools.ant.taskdefs.GZip,1.0,1.0
139,org.apache.tools.ant.taskdefs.condition.ConditionBase,2.0,2.0
140,org.apache.tools.ant.Location,1.0,1.0
141,org.apache.tools.ant.taskdefs.CallTarget,2.0,1.0
142,org.apache.tools.ant.taskdefs.LogOutputStream,1.0,1.0
143,org.apache.tools.ant.taskdefs.compilers.Jvc,1.0,1.0
144,org.apache.tools.zip.ZipLong,1.0,1.0
145,org.apache.tools.ant.taskdefs.rmic.RmicAdapter,2.0,1.0
146,org.apache.tools.ant.DesirableFilter,1.0,1.0
147,org.apache.tools.ant.taskdefs.UpToDate,2.0,1.0
148,org.apache.tools.ant.taskdefs.Copyfile,1.0,1.0
149,org.apache.tools.ant.Constants,1.0,1.0
150,org.apache.tools.mail.SmtpResponseReader,1.0,1.0
151,org.apache.tools.ant.taskdefs.Javac,2.0,1.0
152,org.apache.tools.ant.taskdefs.Move,2.0,1.0
153,org.apache.tools.ant.taskdefs.XSLTLiaison,1.0,1.0
