,File name,original status,predicted status
0,org.gjt.sp.jedit.gui.MacrosMenu,1.0,2.0
1,org.gjt.sp.jedit.options.ModeOptionPane,2.0,1.0
2,org.gjt.sp.jedit.gui.OptionsDialog,2.0,2.0
3,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,1.0,1.0
4,org.gjt.sp.jedit.options.GeneralOptionPane,2.0,2.0
5,bsh.reflect.ReflectManagerImpl,1.0,1.0
6,org.gjt.sp.jedit.gui.CurrentDirectoryMenu,1.0,2.0
7,org.gjt.sp.jedit.gui.JCheckBoxList,2.0,1.0
8,bsh.Node,1.0,1.0
9,org.gjt.sp.jedit.options.ColorOptionPane,1.0,2.0
10,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,2.0,1.0
11,org.gjt.sp.jedit.options.StyleEditor,1.0,2.0
12,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,2.0,2.0
13,org.gjt.sp.jedit.Buffer,2.0,2.0
14,org.gjt.sp.jedit.JARClassLoader,2.0,2.0
15,org.gjt.sp.jedit.gui.DefaultInputHandler,2.0,2.0
16,org.gjt.sp.jedit.options.EditingOptionPane,2.0,1.0
17,bsh.ConsoleInterface,1.0,1.0
18,org.gjt.sp.jedit.textarea.JEditTextArea,2.0,2.0
19,bsh.BSHFormalParameters,1.0,1.0
20,bsh.ReflectManager,1.0,1.0
21,org.gjt.sp.jedit.pluginmgr.PluginManager,1.0,2.0
22,bsh.BSHPrimaryExpression,1.0,1.0
23,org.gjt.sp.jedit.Java14,2.0,1.0
24,org.gjt.sp.jedit.EBMessage,2.0,1.0
25,org.gjt.sp.jedit.options.AbbrevsOptionPane,1.0,2.0
26,org.gjt.sp.jedit.gui.AboutDialog,1.0,1.0
27,org.gjt.sp.jedit.search.SearchDialog,2.0,2.0
28,gnu.regexp.RETokenLookAhead,1.0,1.0
29,gnu.regexp.RESyntax,1.0,2.0
30,org.gjt.sp.jedit.search.AllBufferSet,1.0,1.0
31,org.gjt.sp.jedit.textarea.FoldVisibilityManager,2.0,2.0
32,bsh.ReturnControl,1.0,1.0
33,org.gjt.sp.jedit.gui.BufferSwitcher,1.0,2.0
34,org.gjt.sp.jedit.buffer.OffsetManager,2.0,1.0
35,org.gjt.sp.jedit.options.FirewallOptionPane,1.0,1.0
36,org.gjt.sp.jedit.View,2.0,2.0
37,org.gjt.sp.jedit.io.VFS,1.0,2.0
38,org.gjt.sp.jedit.gui.JEditMetalTheme,1.0,1.0
39,org.gjt.sp.jedit.buffer.BufferChangeAdapter,1.0,1.0
40,gnu.regexp.RETokenEndSub,1.0,1.0
41,gnu.regexp.RETokenRange,1.0,1.0
42,org.gjt.sp.jedit.options.ContextAddDialog,1.0,1.0
43,com.microstar.xml.XmlParser,1.0,1.0
44,org.gjt.sp.jedit.io.VFSManager,2.0,2.0
45,org.gjt.sp.jedit.gui.BufferOptions,2.0,2.0
46,gnu.regexp.CharIndexed,1.0,1.0
47,bsh.InterpreterError,1.0,1.0
48,org.gjt.sp.jedit.Registers,2.0,1.0
49,bsh.BSHTernaryExpression,1.0,1.0
50,org.gjt.sp.jedit.search.DirectoryListSet,1.0,1.0
51,org.gjt.sp.jedit.gui.StatusBar,2.0,2.0
52,bsh.XThis,1.0,1.0
53,org.gjt.sp.jedit.Mode,2.0,2.0
54,bsh.BSHLiteral,1.0,1.0
55,org.gjt.sp.jedit.browser.FileCellRenderer,1.0,1.0
56,org.gjt.sp.jedit.options.AbbrevsModel,1.0,1.0
57,org.gjt.sp.jedit.TextUtilities,2.0,2.0
58,org.gjt.sp.jedit.options.TextAreaOptionPane,1.0,1.0
59,gnu.regexp.CharIndexedReader,1.0,1.0
60,org.gjt.sp.util.Log,1.0,1.0
61,bsh.EvalError,2.0,1.0
62,org.gjt.sp.jedit.syntax.KeywordMap,1.0,1.0
63,org.gjt.sp.jedit.options.WindowTableModel,1.0,1.0
64,org.gjt.sp.jedit.options.ContextOptionPane,1.0,2.0
65,bsh.BSHSwitchLabel,1.0,1.0
66,org.gjt.sp.jedit.io.UrlVFS,1.0,1.0
67,com.microstar.xml.XmlException,1.0,1.0
68,bsh.BSHPrimarySuffix,1.0,1.0
69,org.gjt.sp.jedit.Abbrevs,2.0,2.0
70,bsh.BSHPrimitiveType,1.0,1.0
71,org.gjt.sp.jedit.syntax.XModeHandler,2.0,2.0
72,gnu.regexp.UncheckedRE,1.0,1.0
73,org.gjt.sp.jedit.gui.FloatingWindowContainer,2.0,2.0
74,org.gjt.sp.jedit.search.BufferListSet,1.0,1.0
75,org.gjt.sp.jedit.syntax.TokenMarker,2.0,2.0
76,org.gjt.sp.jedit.options.ColorTableModel,1.0,1.0
77,org.gjt.sp.jedit.textarea.Selection,2.0,1.0
78,org.gjt.sp.jedit.syntax.Token,2.0,1.0
79,org.gjt.sp.jedit.textarea.TextAreaPainter,2.0,2.0
80,bsh.BSHIfStatement,1.0,1.0
81,org.gjt.sp.jedit.options.BrowserColorsOptionPane,1.0,2.0
82,org.gjt.sp.jedit.EditBus,1.0,1.0
83,org.gjt.sp.jedit.gui.VariableGridLayout,2.0,1.0
84,org.gjt.sp.jedit.options.GutterOptionPane,2.0,1.0
85,org.gjt.sp.jedit.options.StyleOptionPane,1.0,2.0
86,bsh.BSHArrayInitializer,1.0,1.0
87,org.gjt.sp.jedit.buffer.DummyFoldHandler,1.0,1.0
88,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,1.0,2.0
89,org.gjt.sp.jedit.buffer.RootElement,1.0,1.0
90,org.gjt.sp.jedit.buffer.IndentFoldHandler,1.0,1.0
91,org.gjt.sp.jedit.BeanShellAction,1.0,1.0
92,org.gjt.sp.jedit.textarea.ChunkCache,2.0,2.0
93,bsh.BshMethod,1.0,1.0
94,org.gjt.sp.util.ReadWriteLock,1.0,1.0
95,gnu.regexp.REException,1.0,1.0
96,bsh.BSHLHSPrimaryExpression,1.0,1.0
97,bsh.StringUtil,1.0,1.0
98,bsh.Name,1.0,1.0
99,org.gjt.sp.jedit.gui.OpenWithEncodingMenu,1.0,1.0
100,gnu.regexp.REMatch,1.0,1.0
101,org.gjt.sp.util.WorkRequest,1.0,1.0
102,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,1.0,2.0
103,com.microstar.xml.XmlHandler,1.0,1.0
104,org.gjt.sp.jedit.syntax.ParserRule,2.0,1.0
105,org.gjt.sp.jedit.gui.SplashScreen,1.0,2.0
106,org.gjt.sp.jedit.options.ShortcutsOptionPane,1.0,2.0
107,org.gjt.sp.jedit.gui.ViewRegisters,1.0,2.0
108,org.gjt.sp.jedit.browser.BrowserCommandsMenu,2.0,1.0
109,org.gjt.sp.jedit.gui.EnhancedMenu,1.0,1.0
110,bsh.Capabilities,1.0,1.0
111,org.gjt.sp.jedit.Autosave,2.0,1.0
112,org.gjt.sp.jedit.gui.CompleteWord,2.0,2.0
113,bsh.ClassPathException,1.0,1.0
114,org.gjt.sp.jedit.search.SearchMatcher,1.0,1.0
115,bsh.ParseException,1.0,1.0
116,bsh.Token,1.0,1.0
117,bsh.JThis,1.0,1.0
118,org.gjt.sp.jedit.msg.EditorExitRequested,1.0,1.0
119,org.gjt.sp.jedit.browser.BrowserIORequest,1.0,1.0
120,org.gjt.sp.jedit.gui.PanelWindowContainer,2.0,2.0
121,gnu.regexp.RETokenBackRef,1.0,1.0
122,org.gjt.sp.jedit.textarea.ScrollListener,1.0,1.0
123,gnu.regexp.CharIndexedCharArray,1.0,1.0
124,bsh.TargetError,1.0,1.0
125,gnu.regexp.CharIndexedInputStream,1.0,1.0
126,bsh.BSHAllocationExpression,1.0,1.0
127,bsh.BSHMethodInvocation,1.0,1.0
128,org.gjt.sp.jedit.msg.VFSUpdate,1.0,1.0
129,bsh.BSHReturnType,1.0,1.0
130,org.gjt.sp.jedit.print.BufferPrintable,2.0,1.0
131,org.gjt.sp.jedit.search.HyperSearchResult,1.0,1.0
132,bsh.BSHImportDeclaration,1.0,1.0
133,bsh.BSHAssignment,1.0,1.0
134,org.gjt.sp.jedit.gui.BeanShellErrorDialog,1.0,1.0
135,org.gjt.sp.jedit.ActionSet,2.0,1.0
136,org.gjt.sp.jedit.SettingsReloader,2.0,1.0
137,org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,1.0,2.0
138,org.gjt.sp.jedit.jEdit,2.0,2.0
