,File name,original status,predicted status
0,org.apache.camel.component.irc.IrcErrorLogger,1.0,1.0
1,org.apache.camel.ProducerTemplate,2.0,1.0
2,org.apache.camel.impl.JndiRegistry,1.0,1.0
3,org.apache.camel.component.cxf.CxfSoapConsumer,1.0,1.0
4,org.apache.camel.processor.TryProcessor,2.0,1.0
5,org.apache.camel.component.cxf.AsyncProcessorDecorator,1.0,1.0
6,org.apache.camel.component.cxf.interceptors.DOMOutInterceptor,1.0,1.0
7,org.apache.camel.builder.xml.Namespaces,2.0,1.0
8,org.apache.commons.logging.Log,1.0,1.0
9,org.apache.camel.component.file.strategy.DefaultFileRenamer,1.0,1.0
10,org.apache.camel.processor.resequencer.Timeout,1.0,1.0
11,org.apache.camel.component.seda.SedaEndpoint,2.0,1.0
12,org.apache.camel.model.ChoiceType,2.0,1.0
13,org.apache.camel.component.file.remote.FtpProducer,1.0,1.0
14,org.apache.camel.management.InstrumentationAgentImpl,2.0,1.0
15,org.apache.camel.CamelExchangeException,2.0,1.0
16,org.apache.camel.model.WhenType,2.0,1.0
17,org.apache.camel.model.ThrottlerType,2.0,1.0
18,org.apache.camel.component.mail.MessageHeaderAccessException,1.0,1.0
19,org.apache.camel.processor.ChoiceProcessor,2.0,1.0
20,org.apache.camel.processor.loadbalancer.TopicLoadBalancer,2.0,1.0
21,org.apache.camel.component.jms.JmsEndpoint,1.0,1.0
22,org.apache.commons.logging.impl.NoOpLog,1.0,1.0
23,org.apache.camel.language.simple.SimpleLanguage,2.0,1.0
24,org.apache.camel.component.cxf.phase.AbstractPhaseManagerImpl,1.0,1.0
25,org.apache.camel.util.ReportingTypeConverterLoader,1.0,1.0
26,org.apache.camel.model.language.RubyExpression,1.0,1.0
27,org.apache.camel.impl.DefaultEndpoint,2.0,1.0
28,org.apache.camel.Converter,1.0,1.0
29,org.apache.camel.processor.validation.ValidatingProcessor,1.0,1.0
30,org.apache.camel.impl.DefaultLifecycleStrategy,2.0,1.0
31,org.apache.camel.impl.CachingInjector,2.0,1.0
32,org.apache.camel.Headers,1.0,1.0
33,org.apache.camel.component.irc.IrcBinding,1.0,1.0
34,org.apache.camel.bam.processor.ProcessContext,1.0,1.0
35,org.apache.commons.logging.LogFactory,1.0,2.0
36,org.apache.camel.processor.resequencer.ResequencerEngine,2.0,1.0
37,org.apache.camel.RuntimeCamelException,2.0,1.0
38,org.apache.camel.processor.resequencer.Element,1.0,1.0
39,org.apache.camel.impl.converter.ArrayTypeConverter,2.0,1.0
40,org.apache.camel.management.PerformanceCounter,1.0,1.0
41,org.apache.camel.component.direct.DirectEndpoint,2.0,1.0
42,org.apache.camel.spring.spi.SpringTransactionPolicy,1.0,1.0
43,org.apache.camel.builder.NoErrorHandlerBuilder,2.0,1.0
44,org.apache.camel.processor.loadbalancer.LoadBalancer,1.0,1.0
45,org.apache.camel.spring.remoting.CamelProxyFactoryBean,1.0,1.0
46,org.apache.camel.processor.Throttler,1.0,1.0
47,org.apache.camel.model.language.ELExpression,1.0,1.0
48,org.apache.camel.processor.Delayer,1.0,1.0
49,org.apache.camel.spring.EndpointFactoryBean,1.0,1.0
50,org.apache.camel.ExchangePattern,2.0,1.0
51,org.apache.camel.component.cxf.spring.CxfEndpointBean,1.0,1.0
52,org.apache.camel.model.RedeliveryPolicyType,2.0,1.0
53,org.apache.camel.processor.loadbalancer.LoadBalancerSupport,2.0,1.0
54,org.apache.camel.component.cxf.transport.CamelConstants,1.0,1.0
55,org.apache.camel.processor.DeadLetterChannel,2.0,1.0
56,org.apache.camel.component.cxf.util.UriUtils,1.0,1.0
57,org.apache.camel.processor.resequencer.SequenceSender,2.0,1.0
58,org.apache.camel.processor.Interceptor,1.0,1.0
59,org.apache.camel.spi.InstrumentationAgent,2.0,1.0
60,org.apache.camel.ResolveEndpointFailedException,1.0,1.0
61,org.apache.camel.component.file.FileEndpoint,2.0,1.0
62,org.apache.camel.language.juel.JuelLanguage,1.0,1.0
63,org.apache.camel.impl.DefaultProducer,1.0,1.0
64,org.apache.camel.model.ExceptionType,2.0,1.0
65,org.apache.camel.spring.SpringRouteBuilder,1.0,1.0
66,org.apache.camel.impl.MessageSupport,2.0,1.0
67,org.apache.camel.builder.ExpressionClause,2.0,1.0
68,org.apache.camel.management.Counter,1.0,1.0
69,org.apache.camel.language.juel.JuelExpression,1.0,1.0
70,org.apache.camel.processor.resequencer.TimeoutHandler,1.0,1.0
71,org.apache.camel.component.file.strategy.RenameFileProcessStrategy,2.0,1.0
72,org.apache.camel.component.cxf.invoker.CxfClient,1.0,1.0
73,org.apache.camel.bam.processor.BamProcessorSupport,1.0,1.0
74,org.apache.camel.Properties,1.0,1.0
75,org.apache.camel.spring.CamelProxyFactoryType,1.0,1.0
76,org.apache.camel.util.ExpressionComparator,1.0,1.0
77,org.apache.camel.component.jdbc.JdbcComponent,1.0,1.0
78,org.apache.camel.component.validator.jing.JingValidator,1.0,1.0
79,org.apache.camel.language.ognl.RootObject,1.0,1.0
80,org.apache.camel.NoTypeConversionAvailableException,2.0,1.0
81,org.apache.camel.view.XmlGraphGenerator,1.0,1.0
82,org.apache.camel.model.TryType,2.0,1.0
83,org.apache.camel.component.mail.MailBinding,1.0,1.0
84,org.apache.camel.model.package-info,1.0,1.0
85,org.apache.camel.impl.ScheduledPollConsumer,1.0,1.0
86,org.apache.camel.language.ognl.OgnlExpression,1.0,1.0
87,org.apache.camel.processor.Resequencer,1.0,1.0
88,org.apache.camel.impl.converter.TypeConverterLoader,2.0,1.0
89,org.apache.camel.component.file.strategy.FileProcessStrategy,2.0,1.0
90,org.apache.camel.component.bean.MethodInfo,2.0,1.0
91,org.apache.camel.model.OtherwiseType,2.0,1.0
92,org.apache.camel.model.BeanRef,2.0,1.0
93,org.apache.camel.component.cxf.interceptors.DOMInInterceptor,1.0,1.0
94,org.apache.camel.component.mina.MinaExchange,1.0,1.0
95,org.apache.camel.builder.script.JavaScript,1.0,1.0
96,org.apache.camel.builder.ProcessorFactory,1.0,1.0
97,org.apache.camel.component.event.EventEndpoint,1.0,1.0
98,org.apache.camel.converter.ObjectConverter,2.0,1.0
99,org.apache.camel.util.FactoryFinder,2.0,1.0
100,org.apache.commons.logging.impl.SimpleLog,1.0,1.0
101,org.apache.camel.impl.ReflectionInjector,1.0,1.0
102,org.apache.camel.converter.jaxb.LongHeader,1.0,1.0
103,org.apache.camel.model.language.JavaScriptExpression,1.0,1.0
104,org.apache.camel.spi.ComponentResolver,2.0,1.0
105,org.apache.camel.InvalidPayloadException,2.0,1.0
106,org.apache.camel.converter.jaxb.JaxbDataFormat,1.0,1.0
107,org.apache.camel.builder.script.BeanShell,1.0,1.0
108,org.apache.camel.component.cxf.CxfSoapProducer,1.0,1.0
109,org.apache.camel.converter.jaxb.StringHeader,1.0,1.0
110,org.apache.camel.bam.TimeExpression,1.0,1.0
111,org.apache.camel.processor.UnitOfWorkProcessor,2.0,1.0
112,org.apache.camel.impl.SerializationDataFormat,2.0,1.0
113,org.apache.camel.processor.MulticastProcessor,2.0,1.0
114,org.apache.camel.impl.DefaultCamelContext,2.0,2.0
115,org.apache.camel.component.irc.IrcConsumer,1.0,1.0
116,org.apache.camel.spring.CamelContextFactoryBean,1.0,1.0
117,org.apache.camel.converter.jaxb.MessageType,1.0,1.0
118,org.apache.camel.component.file.remote.RemoteFileEndpoint,1.0,1.0
119,org.apache.camel.processor.Splitter,2.0,1.0
120,org.apache.camel.model.ServiceActivationType,2.0,1.0
121,org.apache.camel.util.jndi.CamelInitialContextFactory,1.0,1.0
122,org.apache.camel.builder.xml.StreamResultHandlerFactory,2.0,1.0
123,org.apache.camel.component.cxf.CxfConsumer,1.0,1.0
124,org.apache.camel.model.FromType,2.0,1.0
125,org.apache.camel.component.mail.MailProducer,1.0,1.0
126,org.apache.camel.processor.LoggingLevel,1.0,1.0
127,org.apache.camel.processor.validation.NoXmlBodyValidationException,1.0,1.0
128,org.apache.camel.util.LRUCache,1.0,1.0
129,org.apache.camel.EndpointInject,1.0,1.0
130,org.apache.camel.component.cxf.CxfSoapComponent,1.0,1.0
131,org.apache.camel.builder.xml.XPathBuilder,2.0,1.0
132,org.apache.camel.builder.xml.ResultHandlerFactory,2.0,1.0
133,org.apache.camel.model.language.SqlExpression,2.0,1.0
134,org.apache.camel.management.InstrumentationProcessor,2.0,1.0
135,org.apache.camel.model.config.package-info,1.0,1.0
136,org.apache.camel.component.cxf.invoker.CxfClientFactoryBean,1.0,1.0
137,org.apache.camel.component.file.remote.RemoteFileExchange,1.0,1.0
138,org.apache.camel.component.event.CamelEvent,1.0,1.0
139,org.apache.camel.impl.converter.AnnotationTypeConverterLoader,2.0,1.0
140,org.apache.camel.impl.converter.PropertyEditorTypeConverter,2.0,1.0
141,org.apache.camel.spi.Registry,1.0,1.0
142,org.apache.camel.component.jms.JmsComponent,1.0,1.0
143,org.apache.camel.impl.EventDrivenPollingConsumer,1.0,1.0
144,org.apache.camel.component.cxf.spring.NamespaceHandler,1.0,1.0
145,org.apache.camel.impl.DefaultConsumer,2.0,1.0
146,org.apache.camel.builder.ValueBuilder,1.0,1.0
147,org.apache.camel.component.xmpp.XmppComponent,1.0,1.0
148,org.apache.camel.component.bean.BeanComponent,2.0,1.0
149,org.apache.commons.logging.impl.AvalonLogger,1.0,1.0
150,org.apache.camel.model.language.package-info,1.0,1.0
151,org.apache.camel.language.XPath,1.0,1.0
152,org.apache.camel.component.bean.MethodInvocation,2.0,1.0
153,org.apache.camel.component.irc.IrcExchange,1.0,1.0
154,org.apache.camel.impl.BinaryPredicateSupport,1.0,1.0
155,org.apache.camel.model.config.StreamResequencerConfig,2.0,1.0
156,org.apache.camel.spring.spi.TransactionInterceptor,1.0,1.0
157,org.apache.camel.CamelTemplate,2.0,1.0
158,org.apache.camel.spring.util.ReflectionUtils,1.0,1.0
159,org.apache.camel.component.cxf.interceptors.RawMessageContentRedirectInterceptor,1.0,1.0
160,org.apache.camel.component.cxf.interceptors.XMLMessageInInterceptor,1.0,1.0
161,org.apache.camel.model.language.PythonExpression,1.0,1.0
162,org.apache.camel.component.file.strategy.DeleteFileProcessStrategy,2.0,1.0
163,org.apache.camel.util.ResolverUtil,2.0,1.0
164,org.apache.camel.builder.xml.XPathLanguage,2.0,1.0
165,org.apache.camel.Consumer,1.0,1.0
166,org.apache.camel.component.irc.IrcConfiguration,1.0,1.0
167,org.apache.camel.language.ognl.OGNL,1.0,1.0
168,org.apache.camel.builder.xml.InvalidXPathExpression,1.0,1.0
169,org.apache.camel.processor.ErrorHandlerSupport,2.0,1.0
170,org.apache.camel.model.CatchType,2.0,1.0
171,org.apache.camel.converter.CollectionConverter,2.0,1.0
172,org.apache.camel.processor.resequencer.Sequence,1.0,1.0
173,org.apache.camel.processor.validation.SchemaValidationException,1.0,1.0
174,org.apache.camel.component.mail.MailEndpoint,1.0,1.0
175,org.apache.camel.spring.handler.BeanDefinitionParser,1.0,1.0
176,org.apache.camel.RuntimeExpressionException,1.0,1.0
177,org.apache.camel.component.cxf.CxfMessage,1.0,1.0
178,org.apache.camel.component.timer.TimerComponent,1.0,1.0
179,org.apache.camel.converter.jaxb.HeaderType,1.0,1.0
180,org.apache.camel.spi.ExchangeConverter,1.0,1.0
181,org.apache.camel.component.jms.MessagePropertyNamesAccessException,1.0,1.0
182,org.apache.camel.spi.UnitOfWork,1.0,1.0
183,org.apache.camel.bam.processor.NoCorrelationKeyException,1.0,1.0
184,org.apache.camel.impl.ServiceSupport,2.0,2.0
185,org.apache.camel.component.cxf.interceptors.XMLMessageOutInterceptor,1.0,1.0
186,org.apache.camel.language.NamespacePrefix,1.0,1.0
187,org.apache.camel.builder.xml.DomResultHandler,1.0,1.0
188,org.apache.camel.model.dataformat.DataFormatType,2.0,1.0
189,org.apache.camel.converter.jaxp.BytesSource,2.0,1.0
190,org.apache.camel.builder.RouteBuilder,2.0,1.0
191,org.apache.camel.component.cxf.interceptors.FaultOutInterceptor,1.0,1.0
192,org.apache.camel.component.bean.ProxyHelper,1.0,1.0
193,org.apache.camel.impl.DefaultExchange,2.0,1.0
194,org.apache.camel.util.ExpressionListComparator,1.0,1.0
195,org.apache.camel.model.language.PhpExpression,1.0,1.0
196,org.apache.camel.Producer,1.0,1.0
197,org.apache.camel.spring.remoting.SendBeforeInterceptor,1.0,1.0
198,org.apache.camel.component.cxf.DataFormat,1.0,1.0
199,org.apache.camel.processor.idempotent.NoMessageIdException,1.0,1.0
200,org.apache.camel.bam.processor.JpaBamProcessorSupport,1.0,1.0
201,org.apache.camel.component.bean.ParameterMappingStrategy,1.0,1.0
202,org.apache.camel.builder.xml.DomResultHandlerFactory,2.0,1.0
203,org.apache.camel.component.bean.BeanInfo,2.0,1.0
204,org.apache.camel.model.FilterType,2.0,1.0
205,org.apache.camel.impl.PredicateSupport,1.0,1.0
206,org.apache.camel.component.quartz.QuartzMessage,1.0,1.0
207,org.apache.commons.logging.impl.LogFactoryImpl,1.0,1.0
208,org.apache.camel.processor.idempotent.MemoryMessageIdRepository,2.0,1.0
209,org.apache.camel.component.velocity.VelocityEndpoint,1.0,1.0
210,org.apache.camel.language.ExpressionEvaluationException,2.0,1.0
211,org.apache.camel.model.ResequencerType,2.0,1.0
212,org.apache.camel.component.xmpp.XmppPrivateChatProducer,1.0,1.0
213,org.apache.camel.spring.package-info,1.0,1.0
214,org.apache.camel.impl.DefaultPollingEndpoint,1.0,1.0
215,org.apache.camel.component.cxf.CxfBinding,1.0,1.0
216,org.apache.camel.component.jms.JmsProducer,1.0,1.0
217,org.apache.camel.component.cxf.interceptors.PayloadContentRedirectInterceptor,1.0,1.0
218,org.apache.camel.processor.resequencer.ElementComparator,1.0,1.0
219,org.apache.camel.component.cxf.CxfExchange,1.0,1.0
220,org.apache.camel.component.xmpp.XmppMessage,1.0,1.0
221,org.apache.camel.component.file.remote.SftpProducer,1.0,1.0
222,org.apache.camel.component.jdbc.JdbcProducer,1.0,1.0
223,org.apache.camel.impl.DefaultMessage,2.0,1.0
224,org.apache.camel.bam.model.ProcessInstance,1.0,1.0
225,org.apache.camel.builder.BuilderSupport,2.0,1.0
226,org.apache.camel.component.mail.MailMessage,1.0,1.0
227,org.apache.camel.processor.loadbalancer.QueueLoadBalancer,1.0,1.0
228,org.apache.camel.component.cxf.spring.CxfEndpointBeanDefinitionParser,1.0,1.0
229,org.apache.camel.component.irc.IrcProducer,1.0,1.0
230,org.apache.camel.Route,2.0,1.0
231,org.apache.camel.component.file.remote.RemoteFileMessage,1.0,1.0
232,org.apache.camel.converter.jaxp.StringSource,2.0,1.0
233,org.apache.camel.component.mock.MockEndpoint,2.0,2.0
234,org.apache.camel.builder.xml.StringResultHandlerFactory,2.0,1.0
235,org.apache.commons.logging.impl.Jdk14Logger,1.0,1.0
236,org.apache.camel.component.jms.JmsMessage,1.0,1.0
237,org.apache.camel.ExpectedBodyTypeException,1.0,1.0
238,org.apache.camel.component.cxf.phase.PayloadPhaseManagerImpl,1.0,1.0
239,org.apache.commons.logging.impl.LogKitLogger,1.0,1.0
240,org.apache.camel.model.config.BatchResequencerConfig,1.0,1.0
241,org.apache.camel.builder.xml.ResultHandler,2.0,1.0
242,org.apache.camel.spring.CamelTemplateFactoryBean,1.0,1.0
243,org.apache.camel.processor.CatchProcessor,2.0,1.0
244,org.apache.camel.AsyncProcessor,2.0,1.0
245,org.apache.camel.model.language.LanguageExpression,1.0,1.0
246,org.apache.camel.model.ThreadType,2.0,1.0
247,org.apache.camel.util.CamelContextHelper,2.0,1.0
248,org.apache.camel.component.jms.RuntimeJmsException,1.0,1.0
249,org.apache.camel.component.cxf.invoker.InvokingContextFactory,1.0,1.0
250,org.apache.camel.component.ibatis.IBatisPollingConsumer,1.0,1.0
251,org.apache.camel.component.cxf.phase.RawMessagePhaseManagerImpl,1.0,1.0
252,org.apache.camel.spi.Injector,2.0,1.0
253,org.apache.camel.impl.PollingConsumerSupport,1.0,1.0
254,org.apache.camel.component.bean.AmbiguousMethodCallException,2.0,1.0
255,org.apache.camel.builder.xml.XsltBuilder,2.0,1.0
256,org.apache.camel.processor.MarshalProcessor,1.0,1.0
257,org.apache.camel.bam.ProcessBuilder,1.0,1.0
258,org.apache.camel.component.cxf.interceptors.AbstractMessageOutInterceptor,1.0,1.0
259,org.apache.camel.component.cxf.transport.CamelTransportBase,1.0,1.0
260,org.apache.commons.logging.impl.Log4JCategoryLog,1.0,1.0
261,org.apache.camel.component.xmpp.XmppConsumer,1.0,1.0
