,File name,original status,predicted status
0,org.apache.xerces.readers.StreamingCharReader,1.0,2.0
1,org.apache.xml.serialize.OutputFormat,1.0,2.0
2,org.w3c.dom.html.HTMLFrameSetElement,1.0,1.0
3,org.w3c.dom.html.HTMLLIElement,1.0,1.0
4,org.apache.xerces.validators.dtd.DTDGrammar,1.0,2.0
5,javax.xml.parsers.SAXParser,1.0,1.0
6,org.apache.wml.WMLOneventElement,1.0,1.0
7,org.w3c.dom.html.HTMLHtmlElement,1.0,1.0
8,org.apache.wml.WMLFieldsetElement,1.0,1.0
9,org.apache.xerces.framework.Version,2.0,1.0
10,org.apache.xerces.dom.DocumentFragmentImpl,1.0,1.0
11,org.apache.xerces.validators.common.CMNode,1.0,1.0
12,org.apache.xerces.validators.datatype.DatatypeValidator,1.0,1.0
13,org.w3c.dom.events.DocumentEvent,1.0,1.0
14,org.apache.html.dom.HTMLTitleElementImpl,1.0,1.0
15,org.apache.wml.dom.WMLSmallElementImpl,1.0,1.0
16,org.apache.html.dom.HTMLButtonElementImpl,1.0,1.0
17,org.apache.xerces.utils.regex.REUtil,1.0,1.0
18,org.apache.xerces.dom.ParentNode,1.0,2.0
19,javax.xml.parsers.DocumentBuilderFactory,2.0,1.0
20,org.apache.xerces.utils.regex.RangeToken,1.0,1.0
21,org.apache.xerces.validators.common.CMException,1.0,1.0
22,org.apache.html.dom.HTMLFormControl,1.0,1.0
23,org.apache.xerces.validators.datatype.BooleanDatatypeValidator,1.0,1.0
24,org.apache.wml.WMLPrevElement,1.0,1.0
25,org.w3c.dom.html.HTMLUListElement,1.0,1.0
26,org.apache.html.dom.HTMLDListElementImpl,1.0,1.0
27,org.apache.xerces.validators.schema.SubstitutionGroupComparator,2.0,1.0
28,org.apache.xerces.dom.DocumentTypeImpl,1.0,1.0
29,org.apache.xerces.validators.schema.identity.Unique,1.0,1.0
30,org.apache.html.dom.HTMLMetaElementImpl,1.0,1.0
31,org.apache.xerces.dom.TreeWalkerImpl,2.0,1.0
32,org.apache.wml.dom.WMLOptgroupElementImpl,1.0,1.0
33,org.apache.xml.serialize.Method,1.0,1.0
34,org.apache.wml.WMLSetvarElement,1.0,1.0
35,org.apache.html.dom.HTMLFieldSetElementImpl,1.0,1.0
36,org.apache.xerces.dom.EntityReferenceImpl,2.0,1.0
37,org.apache.xerces.dom.ElementImpl,2.0,2.0
38,org.w3c.dom.html.HTMLAnchorElement,1.0,1.0
39,org.apache.xerces.dom.TextImpl,1.0,1.0
40,org.apache.xerces.validators.schema.SchemaGrammar,2.0,2.0
41,org.xml.sax.helpers.XMLFilterImpl,1.0,2.0
42,org.apache.xerces.validators.datatype.IDREFDatatypeValidator,2.0,1.0
43,org.apache.xerces.dom.ElementNSImpl,2.0,1.0
44,org.w3c.dom.html.HTMLScriptElement,1.0,1.0
