,File name,original status,predicted status
0,org.apache.velocity.runtime.log.JdkLogChute,2.0,2.0
1,org.apache.velocity.util.introspection.IntrospectorBase,2.0,2.0
2,org.apache.velocity.runtime.parser.node.ASTIfStatement,1.0,2.0
3,org.apache.velocity.runtime.directive.Include,2.0,2.0
4,org.apache.velocity.app.event.implement.ReportInvalidReferences,2.0,2.0
5,org.apache.velocity.runtime.parser.node.ASTFloatingPointLiteral,2.0,2.0
6,org.apache.velocity.runtime.resource.Resource,2.0,2.0
7,org.apache.velocity.anakia.AnakiaElement,1.0,2.0
8,org.apache.velocity.app.event.implement.PrintExceptions,2.0,2.0
9,org.apache.velocity.app.event.implement.EscapeXmlReference,2.0,2.0
10,org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader,1.0,2.0
11,org.apache.velocity.runtime.RuntimeConstants,2.0,2.0
12,org.apache.velocity.anakia.Escape,1.0,2.0
13,org.apache.velocity.runtime.VelocimacroFactory,2.0,2.0
14,org.apache.velocity.runtime.parser.node.ASTAddNode,2.0,2.0
15,org.apache.velocity.runtime.directive.Macro,2.0,2.0
16,org.apache.velocity.app.event.implement.InvalidReferenceInfo,2.0,2.0
17,org.apache.velocity.util.ContextAware,2.0,2.0
18,org.apache.velocity.util.introspection.SecureIntrospectorImpl,2.0,2.0
19,org.apache.velocity.runtime.parser.node.ASTFalse,1.0,2.0
20,org.apache.velocity.runtime.resource.util.StringResourceRepository,2.0,2.0
21,org.apache.velocity.runtime.parser.node.ASTModNode,2.0,2.0
22,org.apache.velocity.runtime.parser.node.ASTLTNode,2.0,2.0
23,org.apache.velocity.app.event.implement.EscapeSqlReference,2.0,2.0
24,org.apache.velocity.runtime.log.SimpleLog4JLogSystem,1.0,2.0
25,org.apache.velocity.runtime.parser.node.SimpleNode,2.0,2.0
26,org.apache.velocity.util.ExceptionUtils,2.0,2.0
27,org.apache.velocity.runtime.parser.node.ASTExpression,1.0,2.0
28,org.apache.velocity.runtime.parser.node.ASTLENode,2.0,2.0
29,org.apache.velocity.context.InternalEventContext,1.0,2.0
30,org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader,2.0,2.0
31,org.apache.velocity.io.VelocityWriter,1.0,2.0
32,org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory,2.0,2.0
33,org.apache.velocity.runtime.parser.node.ASTprocess,1.0,2.0
34,org.apache.velocity.runtime.resource.loader.FileResourceLoader,2.0,2.0
35,org.apache.velocity.runtime.resource.ResourceCache,1.0,2.0
36,org.apache.velocity.app.event.implement.EscapeJavaScriptReference,2.0,2.0
37,org.apache.velocity.runtime.parser.node.ASTDirective,2.0,2.0
38,org.apache.velocity.app.event.EventHandlerUtil,2.0,2.0
39,org.apache.velocity.context.AbstractContext,2.0,2.0
40,org.apache.velocity.runtime.parser.TokenMgrError,1.0,2.0
41,org.apache.velocity.runtime.parser.node.MapGetExecutor,2.0,2.0
42,org.apache.velocity.anakia.NodeList,1.0,1.0
43,org.apache.velocity.runtime.log.Log4JLogChute,2.0,2.0
44,org.apache.velocity.util.TemplateNumber,2.0,2.0
45,org.apache.velocity.runtime.parser.node.ASTGENode,2.0,2.0
46,org.apache.velocity.runtime.parser.node.ASTNENode,2.0,2.0
47,org.apache.velocity.runtime.parser.Parser,2.0,1.0
48,org.apache.velocity.runtime.log.SystemLogChute,2.0,2.0
49,org.apache.velocity.app.VelocityEngine,2.0,2.0
50,org.apache.velocity.util.introspection.Uberspect,1.0,2.0
51,org.apache.velocity.util.ClassUtils,2.0,2.0
52,org.apache.velocity.runtime.log.VelocityFormatter,1.0,2.0
53,org.apache.velocity.util.introspection.VelPropertySet,1.0,2.0
54,org.apache.velocity.anakia.OutputWrapper,1.0,2.0
55,org.apache.velocity.runtime.parser.node.ASTSetDirective,2.0,2.0
56,org.apache.velocity.app.event.implement.EscapeHtmlReference,2.0,2.0
57,org.apache.velocity.runtime.parser.node.ASTAndNode,1.0,2.0
58,org.apache.velocity.runtime.parser.JJTParserState,2.0,2.0
59,org.apache.velocity.runtime.parser.ParserVisitor,1.0,1.0
60,org.apache.velocity.context.Context,1.0,2.0
61,org.apache.velocity.runtime.parser.node.ASTVariable,1.0,2.0
62,org.apache.velocity.exception.VelocityException,2.0,2.0
63,org.apache.velocity.runtime.resource.ResourceCacheImpl,2.0,2.0
64,org.apache.velocity.runtime.resource.loader.StringResourceLoader,2.0,2.0
65,org.apache.velocity.exception.TemplateInitException,2.0,2.0
66,org.apache.velocity.runtime.parser.node.ASTMulNode,2.0,2.0
67,org.apache.velocity.util.introspection.Introspector,2.0,2.0
68,org.apache.velocity.texen.Generator,1.0,2.0
69,org.apache.velocity.util.ArrayIterator,1.0,2.0
70,org.apache.velocity.anakia.AnakiaJDOMFactory,1.0,2.0
71,org.apache.velocity.context.InternalHousekeepingContext,2.0,2.0
72,org.apache.velocity.app.tools.VelocityFormatter,1.0,2.0
73,org.apache.velocity.anakia.AnakiaTask,1.0,1.0
74,org.apache.velocity.runtime.parser.node.ASTStringLiteral,2.0,2.0
75,org.apache.velocity.context.InternalContextAdapter,1.0,2.0
76,org.apache.velocity.runtime.parser.node.ASTWord,1.0,2.0
77,org.apache.velocity.runtime.parser.node.ASTText,1.0,2.0
78,org.apache.velocity.util.introspection.IntrospectorCacheImpl,2.0,2.0
79,org.apache.velocity.runtime.parser.node.Node,2.0,2.0
80,org.apache.velocity.runtime.resource.ResourceManager,1.0,2.0
81,org.apache.velocity.runtime.resource.util.StringResourceRepositoryImpl,2.0,2.0
82,org.apache.velocity.runtime.parser.node.ASTMap,2.0,2.0
83,org.apache.velocity.runtime.parser.node.ASTNotNode,1.0,2.0
84,org.apache.velocity.app.event.InvalidReferenceEventHandler,2.0,2.0
85,org.apache.velocity.anakia.XPathCache,1.0,2.0
86,org.apache.velocity.runtime.parser.node.PropertyExecutor,2.0,2.0
87,org.apache.velocity.runtime.parser.node.BooleanPropertyExecutor,2.0,2.0
88,org.apache.velocity.util.introspection.IntrospectorCache,2.0,2.0
89,org.apache.velocity.runtime.visitor.VMReferenceMungeVisitor,2.0,2.0
90,org.apache.velocity.runtime.log.Log4JLogSystem,1.0,2.0
91,org.apache.velocity.runtime.parser.node.MathUtils,2.0,1.0
92,org.apache.velocity.runtime.visitor.NodeViewMode,2.0,1.0
93,org.apache.velocity.util.RuntimeServicesAware,2.0,2.0
94,org.apache.velocity.runtime.parser.node.ASTIntegerRange,2.0,2.0
95,org.apache.velocity.runtime.directive.VMProxyArg,2.0,2.0
96,org.apache.velocity.app.event.EventHandlerMethodExecutor,2.0,2.0
97,org.apache.velocity.util.introspection.VelMethod,1.0,2.0
98,org.apache.velocity.runtime.parser.node.SetExecutor,2.0,2.0
99,org.apache.velocity.runtime.log.RuntimeLoggerLog,2.0,2.0
100,org.apache.velocity.runtime.parser.node.ASTEQNode,2.0,2.0
101,org.apache.velocity.convert.WebMacro,1.0,2.0
102,org.apache.velocity.runtime.ParserPoolImpl,2.0,2.0
103,org.apache.velocity.app.event.implement.IncludeNotFound,2.0,2.0
104,org.apache.velocity.util.introspection.SecureIntrospectorControl,2.0,2.0
