,File name,original status,predicted status
0,fr.jayasoft.ivy.repository.vfs.IvyWebdavFileSystem,1.0,1.0
1,fr.jayasoft.ivy.util.EncrytedProperties,1.0,2.0
2,fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,2.0,2.0
3,fr.jayasoft.ivy.resolver.IvyRepResolver,1.0,2.0
4,fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent,1.0,1.0
5,fr.jayasoft.ivy.matcher.ExactPatternMatcher,1.0,2.0
6,fr.jayasoft.ivy.url.HttpClientHandler,1.0,2.0
7,fr.jayasoft.ivy.matcher.ExactOrRegexpPatternMatcher,1.0,2.0
8,fr.jayasoft.ivy.event.download.NeedArtifactEvent,1.0,1.0
9,fr.jayasoft.ivy.repository.ssh.SshResource,1.0,2.0
10,fr.jayasoft.ivy.status.StatusManager,1.0,2.0
11,fr.jayasoft.ivy.tools.analyser.DependencyAnalyser,1.0,1.0
12,fr.jayasoft.ivy.resolver.ChainResolver,1.0,2.0
13,fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy,1.0,1.0
14,fr.jayasoft.ivy.version.SubVersionMatcher,1.0,2.0
15,fr.jayasoft.ivy.report.ConfigurationResolveReport,1.0,2.0
16,fr.jayasoft.ivy.repository.AbstractRepository,2.0,2.0
17,fr.jayasoft.ivy.ant.IvyVar,1.0,1.0
18,fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,2.0,2.0
19,fr.jayasoft.ivy.latest.LatestTimeStrategy,1.0,1.0
20,fr.jayasoft.ivy.repository.TransferListener,1.0,1.0
21,fr.jayasoft.ivy.tools.analyser.JarJarDependencyAnalyser,1.0,2.0
22,fr.jayasoft.ivy.namespace.NameSpaceHelper,1.0,2.0
23,fr.jayasoft.ivy.version.LatestVersionMatcher,1.0,2.0
24,fr.jayasoft.ivy.version.ChainVersionMatcher,2.0,1.0
25,fr.jayasoft.ivy.resolver.RepositoryResolver,2.0,2.0
26,fr.jayasoft.ivy.ant.IvyResolve,2.0,2.0
27,fr.jayasoft.ivy.circular.CircularDependencyException,1.0,1.0
28,fr.jayasoft.ivy.report.ReportOutputter,1.0,1.0
29,fr.jayasoft.ivy.event.download.DownloadEvent,1.0,1.0
30,fr.jayasoft.ivy.report.XmlReportOutputter,1.0,2.0
31,fr.jayasoft.ivy.IvyAware,1.0,1.0
