,File name,original status,predicted status
0,org.apache.lucene.search.FuzzyQuery,2.0,2.0
1,org.apache.lucene.index.MultiLevelSkipListReader,2.0,2.0
2,org.apache.lucene.store.RAMDirectory,2.0,2.0
3,org.apache.lucene.search.spans.SpanQuery,1.0,1.0
4,org.apache.lucene.index.TermPositions,2.0,1.0
5,org.apache.lucene.search.function.DocValues,2.0,2.0
6,org.apache.lucene.analysis.standard.CharStream,1.0,2.0
7,org.apache.lucene.analysis.standard.FastCharStream,1.0,2.0
8,org.apache.lucene.search.FieldCacheImpl,2.0,2.0
9,org.apache.lucene.document.LoadFirstFieldSelector,1.0,1.0
10,org.apache.lucene.index.SegmentInfo,2.0,2.0
11,org.apache.lucene.store.BufferedIndexInput,2.0,1.0
12,org.apache.lucene.index.TermInfosWriter,2.0,2.0
13,org.apache.lucene.index.DefaultSkipListReader,1.0,2.0
14,org.apache.lucene.search.MultiSearcher,1.0,2.0
15,org.apache.lucene.search.Searchable,2.0,2.0
16,org.apache.lucene.search.MultiPhraseQuery,2.0,2.0
17,org.apache.lucene.store.IndexOutput,2.0,2.0
18,org.apache.lucene.analysis.WordlistLoader,1.0,2.0
19,org.apache.lucene.search.spans.TermSpans,1.0,2.0
20,org.apache.lucene.analysis.LowerCaseFilter,2.0,1.0
21,org.apache.lucene.index.MultiReader,2.0,2.0
22,org.apache.lucene.search.spans.SpanScorer,2.0,2.0
23,org.apache.lucene.search.spans.SpanNearQuery,1.0,2.0
24,org.apache.lucene.document.Document,2.0,2.0
25,org.apache.lucene.queryParser.CharStream,2.0,2.0
26,org.apache.lucene.search.PhrasePositions,1.0,2.0
27,org.apache.lucene.search.SloppyPhraseScorer,2.0,2.0
28,org.apache.lucene.index.FieldInfos,2.0,2.0
29,org.apache.lucene.document.FieldSelector,1.0,1.0
30,org.apache.lucene.index.CompoundFileWriter,2.0,2.0
31,org.apache.lucene.search.PrefixFilter,2.0,1.0
32,org.apache.lucene.index.TermVectorsWriter,2.0,2.0
33,org.apache.lucene.search.function.FieldScoreQuery,1.0,1.0
34,org.apache.lucene.index.FieldsReader,2.0,2.0
35,org.apache.lucene.util.PriorityQueue,2.0,1.0
36,org.apache.lucene.search.Query,1.0,1.0
37,org.apache.lucene.index.MultipleTermPositions,2.0,2.0
38,org.apache.lucene.index.MultiTermEnum,1.0,2.0
39,org.apache.lucene.queryParser.QueryParser,2.0,2.0
40,org.apache.lucene.analysis.SimpleAnalyzer,1.0,1.0
41,org.apache.lucene.search.FieldDocSortedHitQueue,2.0,1.0
42,org.apache.lucene.search.function.FieldCacheSource,2.0,1.0
43,org.apache.lucene.search.BooleanQuery,2.0,2.0
44,org.apache.lucene.index.TermInfo,1.0,2.0
45,org.apache.lucene.index.Term,2.0,1.0
46,org.apache.lucene.search.PrefixGenerator,1.0,2.0
47,org.apache.lucene.search.TermQuery,2.0,2.0
48,org.apache.lucene.analysis.CharTokenizer,2.0,2.0
49,org.apache.lucene.index.CorruptIndexException,1.0,1.0
50,org.apache.lucene.queryParser.MultiFieldQueryParser,2.0,2.0
51,org.apache.lucene.index.SegmentMergeQueue,1.0,1.0
52,org.apache.lucene.store.Directory,2.0,2.0
53,org.apache.lucene.analysis.PorterStemmer,2.0,1.0
54,org.apache.lucene.search.Searcher,2.0,2.0
55,org.apache.lucene.search.payloads.BoostingTermQuery,2.0,1.0
56,org.apache.lucene.analysis.Analyzer,2.0,1.0
57,org.apache.lucene.store.SimpleFSLockFactory,2.0,2.0
58,org.apache.lucene.search.DisjunctionSumScorer,1.0,2.0
59,org.apache.lucene.index.TermBuffer,1.0,2.0
60,org.apache.lucene.store.BufferedIndexOutput,1.0,2.0
61,org.apache.lucene.index.TermVectorOffsetInfo,1.0,1.0
62,org.apache.lucene.search.function.IntFieldSource,2.0,1.0
63,org.apache.lucene.index.MultiLevelSkipListWriter,1.0,2.0
64,org.apache.lucene.index.IndexDeletionPolicy,2.0,1.0
65,org.apache.lucene.analysis.LetterTokenizer,1.0,1.0
66,org.apache.lucene.search.MatchAllDocsQuery,2.0,2.0
67,org.apache.lucene.search.BooleanClause,1.0,2.0
68,org.apache.lucene.index.IndexCommitPoint,2.0,1.0
69,org.apache.lucene.util.ToStringUtils,1.0,1.0
70,org.apache.lucene.search.WildcardQuery,1.0,1.0
71,org.apache.lucene.index.SegmentTermVector,2.0,2.0
72,org.apache.lucene.search.function.ValueSource,2.0,1.0
73,org.apache.lucene.document.DateField,1.0,1.0
74,org.apache.lucene.search.FieldDoc,2.0,1.0
75,org.apache.lucene.queryParser.TokenMgrError,2.0,1.0
76,org.apache.lucene.index.SegmentMerger,2.0,2.0
77,org.apache.lucene.index.MultiTermDocs,1.0,2.0
78,org.apache.lucene.document.FieldSelectorResult,1.0,1.0
79,org.apache.lucene.search.SortComparatorSource,1.0,1.0
80,org.apache.lucene.search.ReqOptSumScorer,1.0,2.0
81,org.apache.lucene.search.DisjunctionMaxScorer,2.0,1.0
82,org.apache.lucene.document.NumberTools,1.0,1.0
83,org.apache.lucene.search.SimilarityDelegator,2.0,1.0
84,org.apache.lucene.store.SingleInstanceLockFactory,2.0,1.0
85,org.apache.lucene.search.SortField,2.0,1.0
86,org.apache.lucene.search.Similarity,2.0,2.0
87,org.apache.lucene.search.FuzzyTermEnum,1.0,1.0
88,org.apache.lucene.store.Lock,2.0,2.0
89,org.apache.lucene.search.spans.SpanFirstQuery,1.0,1.0
90,org.apache.lucene.search.TopDocs,2.0,1.0
91,org.apache.lucene.search.TopFieldDocCollector,2.0,2.0
92,org.apache.lucene.analysis.Tokenizer,2.0,1.0
93,org.apache.lucene.LucenePackage,1.0,1.0
94,org.apache.lucene.search.ComplexExplanation,2.0,2.0
95,org.apache.lucene.search.Hit,2.0,2.0
96,org.apache.lucene.util.Parameter,1.0,2.0
97,org.apache.lucene.search.spans.NearSpansUnordered,2.0,2.0
98,org.apache.lucene.document.Fieldable,2.0,2.0
99,org.apache.lucene.search.Hits,2.0,2.0
100,org.apache.lucene.queryParser.Token,2.0,1.0
101,org.apache.lucene.search.spans.SpanTermQuery,1.0,2.0
102,org.apache.lucene.util.StringHelper,1.0,1.0
103,org.apache.lucene.store.RAMInputStream,2.0,2.0
104,org.apache.lucene.search.CachingWrapperFilter,2.0,2.0
105,org.apache.lucene.index.TermPositionVector,1.0,1.0
106,org.apache.lucene.store.RAMFile,2.0,2.0
107,org.apache.lucene.store.NoLock,1.0,1.0
108,org.apache.lucene.analysis.StopFilter,2.0,2.0
109,org.apache.lucene.util.ScorerDocQueue,1.0,1.0
110,org.apache.lucene.search.DefaultSimilarity,1.0,1.0
111,org.apache.lucene.search.ConstantScoreRangeQuery,2.0,1.0
112,org.apache.lucene.analysis.TokenFilter,2.0,1.0
113,org.apache.lucene.search.PhraseQueue,1.0,1.0
114,org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy,2.0,1.0
115,org.apache.lucene.analysis.standard.StandardAnalyzer,2.0,2.0
116,org.apache.lucene.store.RAMOutputStream,2.0,2.0
117,org.apache.lucene.store.AlreadyClosedException,1.0,1.0
118,org.apache.lucene.search.spans.Spans,1.0,1.0
119,org.apache.lucene.index.SegmentMergeInfo,1.0,1.0
120,org.apache.lucene.index.SegmentTermDocs,1.0,2.0
121,org.apache.lucene.index.CompoundFileReader,2.0,2.0
122,org.apache.lucene.search.PhraseQuery,2.0,2.0
123,org.apache.lucene.analysis.WhitespaceAnalyzer,1.0,1.0
124,org.apache.lucene.search.QueryTermVector,2.0,1.0
125,org.apache.lucene.analysis.standard.TokenMgrError,1.0,1.0
126,org.apache.lucene.index.FieldsWriter,2.0,2.0
127,org.apache.lucene.index.SegmentTermPositions,2.0,2.0
128,org.apache.lucene.store.IndexInput,2.0,2.0
129,org.apache.lucene.analysis.TokenStream,2.0,1.0
130,org.apache.lucene.search.ExactPhraseScorer,1.0,2.0
131,org.apache.lucene.search.RangeFilter,2.0,1.0
132,org.apache.lucene.search.IdGenerator,1.0,1.0
133,org.apache.lucene.search.function.ReverseOrdFieldSource,2.0,2.0
134,org.apache.lucene.search.ReqExclScorer,1.0,2.0
135,org.apache.lucene.analysis.PorterStemFilter,2.0,1.0
136,org.apache.lucene.index.IndexModifier,2.0,2.0
137,org.apache.lucene.store.SimpleFSLock,1.0,2.0
138,org.apache.lucene.index.SegmentTermEnum,2.0,2.0
139,org.apache.lucene.analysis.standard.ParseException,1.0,1.0
140,org.apache.lucene.index.SegmentTermPositionVector,1.0,2.0
141,org.apache.lucene.search.function.CustomScoreQuery,2.0,2.0
142,org.apache.lucene.search.HitQueue,1.0,1.0
143,org.apache.lucene.store.LockFactory,2.0,1.0
144,org.apache.lucene.search.NonMatchingScorer,1.0,1.0
145,org.apache.lucene.index.StaleReaderException,1.0,1.0
146,org.apache.lucene.search.TopFieldDocs,2.0,1.0
147,org.apache.lucene.search.spans.SpanWeight,1.0,2.0
148,org.apache.lucene.index.DefaultSkipListWriter,1.0,2.0
149,org.apache.lucene.analysis.standard.StandardTokenizerConstants,1.0,2.0
150,org.apache.lucene.queryParser.QueryParserTokenManager,2.0,2.0
151,org.apache.lucene.search.SortComparator,1.0,1.0
152,org.apache.lucene.search.function.ValueSourceQuery,2.0,2.0
153,org.apache.lucene.index.TermEnum,1.0,1.0
154,org.apache.lucene.search.MultiSearcherThread,1.0,1.0
155,org.apache.lucene.index.ParallelReader,2.0,2.0
156,org.apache.lucene.search.TermScorer,1.0,2.0
157,org.apache.lucene.search.function.ShortFieldSource,2.0,1.0
158,org.apache.lucene.search.FilteredQuery,2.0,1.0
159,org.apache.lucene.search.function.FloatFieldSource,2.0,1.0
160,org.apache.lucene.search.FilterManager,2.0,2.0
161,org.apache.lucene.search.FilteredTermEnum,1.0,2.0
162,org.apache.lucene.index.TermDocs,1.0,1.0
163,org.apache.lucene.index.SegmentReader,2.0,2.0
164,org.apache.lucene.search.FieldSortedHitQueue,2.0,2.0
165,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,1.0,2.0
166,org.apache.lucene.search.HitCollector,1.0,1.0
167,org.apache.lucene.analysis.WhitespaceTokenizer,1.0,1.0
168,org.apache.lucene.search.spans.SpanNotQuery,1.0,1.0
169,org.apache.lucene.analysis.standard.StandardFilter,2.0,2.0
170,org.apache.lucene.search.ConstantScoreQuery,2.0,1.0
171,org.apache.lucene.search.RemoteSearchable,1.0,2.0
172,org.apache.lucene.index.FilterIndexReader,2.0,2.0
173,org.apache.lucene.document.DateTools,2.0,1.0
174,org.apache.lucene.search.ScoreDocComparator,2.0,1.0
175,org.apache.lucene.index.Payload,2.0,2.0
176,org.apache.lucene.search.Filter,2.0,1.0
177,org.apache.lucene.search.FieldCache,2.0,2.0
178,org.apache.lucene.util.SmallFloat,2.0,2.0
179,org.apache.lucene.store.NativeFSLock,1.0,2.0
180,org.apache.lucene.index.IndexFileDeleter,2.0,2.0
181,org.apache.lucene.analysis.KeywordTokenizer,2.0,2.0
182,org.apache.lucene.queryParser.QueryParserConstants,2.0,2.0
183,org.apache.lucene.index.TermFreqVector,1.0,1.0
184,org.apache.lucene.index.IndexFileNames,2.0,2.0
185,org.apache.lucene.index.SegmentInfos,2.0,2.0
186,org.apache.lucene.document.Field,2.0,2.0
187,org.apache.lucene.search.TopDocCollector,2.0,2.0
188,org.apache.lucene.analysis.KeywordAnalyzer,2.0,1.0
189,org.apache.lucene.store.FSDirectory,2.0,2.0
190,org.apache.lucene.analysis.CachingTokenFilter,2.0,2.0
191,org.apache.lucene.search.spans.SpanOrQuery,1.0,2.0
192,org.apache.lucene.store.SingleInstanceLock,1.0,2.0
193,org.apache.lucene.store.NoLockFactory,1.0,1.0
194,org.apache.lucene.search.ScoreDoc,1.0,1.0
195,org.apache.lucene.search.spans.NearSpansOrdered,1.0,2.0
196,org.apache.lucene.analysis.LengthFilter,2.0,1.0
197,org.apache.lucene.search.IndexSearcher,2.0,2.0
198,org.apache.lucene.queryParser.ParseException,2.0,1.0
199,org.apache.lucene.search.Weight,1.0,1.0
200,org.apache.lucene.search.Scorer,2.0,1.0
201,org.apache.lucene.index.IndexReader,2.0,2.0
202,org.apache.lucene.search.QueryWrapperFilter,2.0,2.0
203,org.apache.lucene.analysis.StopAnalyzer,1.0,2.0
204,org.apache.lucene.index.TermVectorsReader,2.0,2.0
205,org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,1.0,2.0
206,org.apache.lucene.store.NativeFSLockFactory,2.0,2.0
207,org.apache.lucene.analysis.ISOLatin1AccentFilter,2.0,2.0
208,org.apache.lucene.analysis.standard.Token,1.0,1.0
