,File name,original status,predicted status
0,org.apache.log4j.xml.examples.XCategory,2.0,1.0
1,org.apache.log4j.helpers.DateLayout,2.0,1.0
2,org.apache.log4j.net.test.SocketMin,1.0,1.0
3,org.apache.log4j.spi.VectorWriter,1.0,1.0
4,org.apache.log4j.StressCategory,2.0,1.0
5,org.apache.log4j.test.DefaultInit,1.0,1.0
6,org.apache.log4j.RollingCalendar,1.0,1.0
7,org.apache.log4j.spi.Filter,1.0,1.0
8,org.apache.log4j.helpers.FormattingInfo,1.0,1.0
9,org.apache.log4j.spi.Configurator,2.0,1.0
10,org.apache.log4j.or.DefaultRenderer,1.0,1.0
11,org.apache.log4j.test.StressNDC,1.0,1.0
12,org.apache.log4j.CategoryKey,1.0,1.0
13,org.apache.log4j.nt.NTEventLogAppender,2.0,2.0
14,org.apache.log4j.performance.NotLogging,2.0,1.0
15,org.apache.log4j.performance.NullAppender,1.0,1.0
16,org.apache.log4j.test.ROFile,1.0,1.0
17,org.apache.log4j.test.Shallow,2.0,1.0
18,org.apache.log4j.ProvisionNode,1.0,1.0
19,org.apache.log4j.PropertyConfigurator,2.0,2.0
20,org.apache.log4j.test.ConfigurationFileParsing,1.0,1.0
21,org.apache.log4j.Priority,2.0,2.0
22,org.apache.log4j.spi.ErrorHandler,1.0,1.0
23,org.apache.log4j.spi.LocationInfo,1.0,1.0
24,org.apache.log4j.helpers.BoundedFIFO,1.0,1.0
25,org.apache.log4j.spi.LoggingEvent,2.0,2.0
26,org.apache.log4j.helpers.Loader,2.0,1.0
27,org.apache.log4j.config.PropertyPrinter,1.0,2.0
28,org.apache.log4j.test.SpacePad,1.0,1.0
29,org.apache.log4j.or.RendererMap,1.0,1.0
30,org.apache.log4j.test.SysoutConfigurator,2.0,1.0
31,org.apache.log4j.helpers.CyclicBuffer,1.0,1.0
32,org.apache.log4j.DefaultCategoryFactory,1.0,1.0
33,org.apache.log4j.test.StressAsyncAppender,1.0,1.0
34,org.apache.log4j.AsyncAppender,2.0,2.0
35,org.apache.log4j.helpers.DateTimeDateFormat,1.0,1.0
36,org.apache.log4j.net.test.Loop,1.0,1.0
37,org.apache.log4j.or.ThreadGroupRenderer,1.0,1.0
38,org.apache.log4j.net.test.SyslogMin,1.0,1.0
39,org.apache.log4j.spi.ErrorCode,1.0,1.0
40,org.apache.log4j.helpers.RelativeTimeDateFormat,1.0,1.0
41,org.apache.log4j.RollingFileAppenderBeanInfo,1.0,1.0
42,org.apache.log4j.helpers.AbsoluteTimeDateFormat,1.0,1.0
43,org.apache.log4j.test.DelayedLoop,1.0,1.0
44,org.apache.log4j.or.ObjectRenderer,1.0,1.0
45,org.apache.log4j.net.SimpleSocketServer,2.0,1.0
46,org.apache.log4j.net.SocketNode,2.0,1.0
47,org.apache.log4j.performance.ListVsVector,1.0,1.0
48,org.apache.log4j.test.Finalize,1.0,1.0
49,org.apache.log4j.test.MultipleAppenders,1.0,1.0
50,org.apache.log4j.spi.CategoryFactory,1.0,1.0
51,org.apache.log4j.helpers.PatternParser,1.0,2.0
52,org.apache.log4j.net.SocketServer,2.0,1.0
53,org.apache.log4j.config.PropertySetter,2.0,1.0
54,org.apache.log4j.helpers.ISO8601DateFormat,1.0,1.0
55,org.apache.log4j.helpers.AppenderAttachableImpl,1.0,1.0
56,org.apache.log4j.Layout,1.0,1.0
57,org.apache.log4j.test.Base64,1.0,1.0
58,org.apache.log4j.net.SyslogAppender,2.0,2.0
59,org.apache.log4j.net.DefaultEvaluator,1.0,1.0
60,org.apache.log4j.SimpleLayout,1.0,1.0
61,org.apache.log4j.Dispatcher,1.0,1.0
62,org.apache.log4j.performance.ConcatVsArray,1.0,1.0
63,org.apache.log4j.spi.NullWriter,1.0,1.0
64,org.apache.log4j.nt.test.NTMin,1.0,1.0
65,org.apache.log4j.NDC,2.0,2.0
66,org.apache.log4j.helpers.QuietWriter,1.0,1.0
67,org.apache.log4j.PatternLayout,2.0,1.0
68,org.apache.log4j.helpers.FileWatchdog,1.0,1.0
69,org.apache.log4j.Hierarchy,2.0,2.0
70,org.apache.log4j.net.SMTPAppender,2.0,2.0
71,org.apache.log4j.net.test.SMTPMin,1.0,1.0
72,org.apache.log4j.performance.NewVsSetLen,1.0,1.0
73,org.apache.log4j.helpers.PatternConverter,1.0,1.0
74,org.apache.log4j.test.PrintProperties,1.0,1.0
75,org.apache.log4j.spi.AppenderAttachable,1.0,1.0
76,org.apache.log4j.config.PropertyGetter,2.0,1.0
