Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.0,0.0,0.0,0.67,-0.13,0.47
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.44,0.04,0.08,0.65,0.04,0.51
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.5,1.0,0.67,0.99,0.7,1.0
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.63,0.76,0.69,0.7,0.41,0.71
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.8,0.38,0.52,0.57,0.25,0.62
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.6,0.77,0.68,0.52,-0.21,0.42
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.73,0.15,0.24,0.41,0.07,0.52
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.5,0.14,0.22,0.71,0.14,0.54
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.49,0.18,0.26,0.66,0.12,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.99,0.0,0.5
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.95,0.76,0.84,0.88,0.76,0.86
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.76,0.47,0.58,0.59,0.25,0.63
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.64,0.87,0.74,0.6,-0.06,0.48
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.74,0.16,0.27,0.42,0.08,0.53
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.0,0.0,0.0,0.67,-0.13,0.47
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,0.5,0.01,0.02,0.66,0.03,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.5,1.0,0.67,0.99,0.7,1.0
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.83,0.8,0.82,0.84,0.68,0.84
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.73,0.55,0.63,0.61,0.24,0.62
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.66,0.93,0.77,0.64,0.05,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.74,0.07,0.13,0.39,0.05,0.51
