Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,1,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,2,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,3,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,4,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,5,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,6,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,7,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,8,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,9,0.18,0.05,0.08,0.73,-0.03,0.49
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,1,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,2,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,3,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,4,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,5,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,6,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,7,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,8,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,9,0.36,0.02,0.04,0.66,0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.0,0.0,0.0,0.98,-0.01,0.5
