Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,1,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,2,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,3,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,4,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,5,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,6,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,7,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,8,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,9,0.46,0.21,0.29,0.71,0.16,0.56
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,1,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,2,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,3,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,4,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,5,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,6,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,7,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,8,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,9,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,6,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,7,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,8,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,9,0.39,0.61,0.48,0.66,0.25,0.64
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.68,0.76,0.72,0.74,0.48,0.74
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.68,0.76,0.72,0.74,0.48,0.74
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.68,0.76,0.72,0.74,0.48,0.74
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.68,0.76,0.72,0.74,0.48,0.74
