Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.4,0.1,0.16,0.77,0.1,0.53
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.75,0.03,0.05,0.41,0.05,0.51
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.98,-0.01,0.5
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.67,0.59,0.63,0.76,0.45,0.72
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.76,0.54,0.63,0.63,0.29,0.65
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.66,0.93,0.77,0.64,0.02,0.51
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.33,0.01,0.01,0.49,-0.03,0.5
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.27,0.3,0.28,0.66,0.06,0.53
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.89,0.07,0.14,0.44,0.14,0.53
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.81,0.57,0.67,0.81,0.55,0.75
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.65,0.66,0.66,0.59,0.14,0.57
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.65,0.93,0.77,0.62,-0.09,0.48
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.6,0.02,0.04,0.5,0.02,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.25,0.05,0.08,0.76,0.01,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,1.0,0.0,0.01,0.4,0.04,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.98,-0.01,0.5
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.79,0.59,0.68,0.81,0.55,0.76
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.74,0.46,0.57,0.59,0.23,0.61
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.66,0.99,0.79,0.65,-0.07,0.49
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.0,0.0,0.0,0.49,0.0,0.5
