Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.5,0.18,0.26,0.72,0.16,0.56
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.9,0.05,0.09,0.65,0.15,0.52
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.47,0.55,0.51,0.73,0.32,0.67
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.69,0.8,0.74,0.75,0.51,0.76
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.68,0.44,0.53,0.54,0.13,0.56
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.67,0.89,0.77,0.63,-0.09,0.47
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.53,0.04,0.07,0.36,-0.05,0.49
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.32,0.21,0.26,0.65,0.04,0.52
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.58,0.15,0.24,0.65,0.14,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.5,0.5,0.5,0.74,0.33,0.66
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.89,0.68,0.77,0.82,0.65,0.81
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.72,0.4,0.51,0.54,0.17,0.58
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.7,0.44,0.54,0.49,0.02,0.51
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.62,0.1,0.17,0.39,-0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.5,0.11,0.18,0.72,0.13,0.53
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,0.67,0.02,0.04,0.64,0.07,0.51
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.51,0.49,0.5,0.75,0.33,0.66
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.78,0.72,0.75,0.79,0.57,0.78
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.7,0.47,0.56,0.56,0.17,0.59
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.68,0.95,0.79,0.66,-0.03,0.49
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.61,0.07,0.12,0.38,-0.02,0.5
