Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,1,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,2,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,3,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,4,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,5,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,6,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,7,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,8,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,9,0.27,0.07,0.12,0.75,0.03,0.51
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,1,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,2,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,3,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,4,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,5,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,6,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,7,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,8,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,9,0.71,0.02,0.04,0.41,0.03,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.39,0.76,0.52,0.66,0.33,0.69
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.39,0.76,0.52,0.66,0.33,0.69
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.39,0.76,0.52,0.66,0.33,0.69
