Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.6.csv,ant-1.7.csv,0,0.8,0.72,0.74,0.81,0.52,0.72
Random Forest,camel,camel-1.2.csv,camel-1.4.csv,0,0.69,0.7,0.69,0.7,0.39,0.7
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.56,0.53,0.53,0.82,0.09,0.53
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.71,0.71,0.7,0.7,0.41,0.71
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.61,0.61,0.58,0.58,0.22,0.61
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.31,0.38,0.33,0.42,-0.29,0.38
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.55,0.52,0.38,0.41,0.07,0.52
Naive Bayes,ant,ant-1.6.csv,ant-1.7.csv,0,0.79,0.72,0.74,0.8,0.51,0.72
Naive Bayes,camel,camel-1.2.csv,camel-1.4.csv,0,0.66,0.64,0.6,0.6,0.3,0.64
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.47,0.47,0.21,0.21,-0.06,0.47
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.89,0.86,0.87,0.88,0.76,0.86
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.64,0.64,0.6,0.6,0.27,0.64
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.4,0.45,0.39,0.49,-0.15,0.45
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.55,0.53,0.39,0.42,0.08,0.53
Logistic Regression,ant,ant-1.6.csv,ant-1.7.csv,0,0.83,0.71,0.73,0.81,0.52,0.71
Logistic Regression,camel,camel-1.2.csv,camel-1.4.csv,0,0.62,0.61,0.61,0.64,0.23,0.61
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.55,0.54,0.54,0.81,0.09,0.54
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.86,0.85,0.86,0.86,0.71,0.85
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.64,0.64,0.63,0.63,0.28,0.64
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.49,0.5,0.42,0.54,-0.01,0.5
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.55,0.51,0.33,0.39,0.05,0.51
