Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.75,0.75,0.75,0.75,0.32,0.57
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.4,0.4,0.4,0.4,0.01,0.5
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.66,0.66,0.66,0.66,0.34,0.7
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.67,0.67,0.67,0.67,0.32,0.66
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.58,0.58,0.58,0.58,0.19,0.6
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.58,0.58,0.58,0.58,0.12,0.54
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.37,0.37,0.37,0.37,0.03,0.51
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.62,0.62,0.62,0.62,0.13,0.57
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.46,0.46,0.46,0.46,0.19,0.55
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.41,0.41,0.41,0.41,0.14,0.57
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.82,0.82,0.82,0.82,0.64,0.82
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.56,0.56,0.56,0.56,0.22,0.6
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.47,0.47,0.47,0.47,-0.27,0.43
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.41,0.41,0.41,0.41,0.03,0.51
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.67,0.67,0.67,0.67,-0.13,0.47
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,0.4,0.4,0.4,0.4,0.05,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.73,0.73,0.73,0.73,0.28,0.64
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.77,0.77,0.77,0.77,0.54,0.77
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.6,0.6,0.6,0.6,0.23,0.62
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.53,0.53,0.53,0.53,-0.03,0.49
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.37,0.37,0.37,0.37,-0.03,0.49
