Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,ACC,F1,MCC
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,0,0.7584269662921348,0.7135561068145339,0.7034535052043841,0.7584269662921348,0.12739045315098932
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,1,0.7247191011235955,0.6955639921088401,0.6786138645066738,0.7247191011235955,0.07348831575698231
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,2,0.7415730337078652,0.7163498537786671,0.7034875237122428,0.7415730337078652,0.14213450060417726
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,3,0.7303370786516854,0.6891481112622182,0.6681101747815231,0.7303370786516854,0.04263665630120993
Random Forest,ant,ant-1.3.csv,ant-1.4.csv,4,0.7415730337078652,0.6965329052969502,0.6780066583437371,0.7415730337078652,0.0660926204537223
Random Forest,poi,poi-1.5.csv,poi-2.0.csv,0,0.3853503184713376,0.4626375949924298,0.8053494171373633,0.3853503184713376,0.031132966647423464
Random Forest,poi,poi-1.5.csv,poi-2.0.csv,1,0.35987261146496813,0.4280239981653684,0.820848333794886,0.35987261146496813,0.06165292801762517
Random Forest,poi,poi-1.5.csv,poi-2.0.csv,2,0.34394904458598724,0.41281793877681444,0.7994912744848479,0.34394904458598724,0.01574026293999827
Random Forest,poi,poi-1.5.csv,poi-2.0.csv,3,0.35668789808917195,0.42982540599094626,0.7962446133422983,0.356687898089172,0.009191307330183104
Random Forest,poi,poi-1.5.csv,poi-2.0.csv,4,0.34076433121019106,0.4089748891499511,0.7983504574866038,0.34076433121019106,0.013218056091837814
Random Forest,xerecs,xerces-1.2.csv,xerces-1.3.csv,0,0.847682119205298,0.7894823917565209,0.7986799413307258,0.847682119205298,0.1121017169237961
Random Forest,xerecs,xerces-1.2.csv,xerces-1.3.csv,1,0.8454746136865342,0.7882159519920043,0.787519462392506,0.8454746136865342,0.09631579179675565
Random Forest,xerecs,xerces-1.2.csv,xerces-1.3.csv,2,0.8432671081677704,0.7869510082341309,0.7790776843515143,0.8432671081677704,0.08309184038574886
Random Forest,xerecs,xerces-1.2.csv,xerces-1.3.csv,3,0.8454746136865342,0.7948843865753732,0.7941762172381572,0.8454746136865342,0.13268668289271895
Random Forest,xerecs,xerces-1.2.csv,xerces-1.3.csv,4,0.8432671081677704,0.7869510082341309,0.7790776843515143,0.8432671081677704,0.08309184038574886
Random Forest,synapse,synapse-1.0.csv,synapse-1.1.csv,0,0.7432432432432432,0.6532454922956241,0.7576285963382737,0.7432432432432432,0.18106283852140645
Random Forest,synapse,synapse-1.0.csv,synapse-1.1.csv,1,0.7342342342342343,0.6338869803436732,0.7166481550043193,0.7342342342342343,0.10446916166394601
Random Forest,synapse,synapse-1.0.csv,synapse-1.1.csv,2,0.7477477477477478,0.6625716625716626,0.7691441441441441,0.7477477477477478,0.21131271508686963
Random Forest,synapse,synapse-1.0.csv,synapse-1.1.csv,3,0.7297297297297297,0.6384696384696387,0.6722972972972973,0.7297297297297297,0.08621558775544282
Random Forest,synapse,synapse-1.0.csv,synapse-1.1.csv,4,0.7432432432432432,0.6532454922956241,0.7576285963382737,0.7432432432432432,0.18106283852140645
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.6448598130841121,0.5354603072295627,0.5221849196987569,0.6448598130841121,-0.036055597033708815
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.6495327102803738,0.5305058389170538,0.5054241380852301,0.6495327102803738,-0.044666743444246246
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.6495327102803738,0.5305058389170538,0.5054241380852301,0.6495327102803738,-0.044666743444246246
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.6542056074766355,0.5405114511656568,0.552390366642703,0.6542056074766355,-0.0011198046800974513
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.6495327102803738,0.5305058389170538,0.5054241380852301,0.6495327102803738,-0.044666743444246246
